,s_dur,n_shots,ava_shot_dur,rel_id_loc,rel_t_loc,ava_char_score,is_prot_appear
1,68.23533333333336,22,3.101606060606062,0.0030303030303030303,0.010728459186070073,2212.2514697145566,0
3,20.895333333333326,7,2.985047619047618,0.00909090909090909,0.01760497419078555,3184.548683518938,0
4,66.06633333333335,21,3.1460158730158736,0.012121212121212121,0.019713643210422144,3184.548683518938,0
5,23.64933333333329,13,1.8191794871794837,0.015151515151515152,0.026371707477037997,3263.5942943353,1
6,84.29233333333332,23,3.664884057971014,0.01818181818181818,0.02875774548363926,1184.402239432303,1
7,35.702333333333286,8,4.462791666666661,0.021212121212121213,0.037251440526006006,1748.4536046189191,1
9,12.178333333333285,7,1.7397619047618977,0.02727272727272727,0.04169156004645779,1240.3822527353368,0
10,57.39133333333331,22,2.6086969696969686,0.030303030303030304,0.04292229680052758,1120.2757308430307,0
11,36.57833333333343,14,2.6127380952381025,0.03333333333333333,0.048706658829700274,1254.345262120867,1
12,24.440333333333342,6,4.07338888888889,0.03636363636363636,0.05239484049369666,814.6871727459021,0
13,7.007333333333349,3,2.3357777777777833,0.03939393939393939,0.05486054402995988,1672.5382536747477,1
14,3.2533333333333303,5,0.6506666666666661,0.04242424242424243,0.055570483750044815,1240.3822527353368,0
15,5.255333333333397,2,2.6276666666666983,0.045454545454545456,0.055902339527840225,3342.6399051516623,1
16,12.429333333333375,5,2.485866666666675,0.048484848484848485,0.05643582664619601,1039.5509958977952,1
17,19.311333333333437,7,2.7587619047619194,0.051515151515151514,0.05769184285405234,1657.3380835478222,1
19,16.557333333333304,5,3.311466666666661,0.05757575757575758,0.05964097938445437,512.4425566756858,0
21,13.639333333333298,8,1.7049166666666622,0.06363636363636363,0.061489199529620876,814.6871727459021,0
23,2.502333333333354,3,0.834111111111118,0.0696969696969697,0.06286708083342028,1240.3822527353368,0
25,4.29533333333336,2,2.14766666666668,0.07575757575757576,0.06329975228149588,2272.962415457461,0
26,2.586333333333414,1,2.586333333333414,0.07878787878787878,0.0637365530427398,1811.2441665252318,1
27,10.427333333333308,6,1.7378888888888848,0.08181818181818182,0.06400123194533354,1300.7789203164218,0
28,38.83033333333333,28,1.3867976190476188,0.08484848484848485,0.06505561681262949,1810.0068088298847,1
29,30.322333333333404,27,1.123049382716052,0.08787878787878788,0.06897060855601744,1941.1348035407784,1
30,26.06733333333341,15,1.7378222222222273,0.09090909090909091,0.0720287174595015,2165.221669222514,1
31,38.66333333333341,21,1.841111111111115,0.09393939393939393,0.07465828422807828,2807.8011603045616,1
33,66.5673333333333,27,2.465456790123455,0.1,0.078556456573927,2807.8011603045616,1
34,33.03233333333344,12,2.752694444444453,0.10303030303030303,0.08526497903316059,1679.921616602233,1
36,27.56933333333336,12,2.2974444444444466,0.10909090909090909,0.08952018589563593,1679.921616602233,1
37,29.988333333333458,21,1.428015873015879,0.11212121212121212,0.09230102652711064,1679.9216166022327,1
38,32.44933333333336,17,1.9087843137254916,0.11515151515151516,0.0953254966355162,2807.8011603045616,1
39,21.480333333333306,11,1.9527575757575732,0.11818181818181818,0.09859782624897623,2127.9197059400526,1
40,20.436333333333437,3,6.812111111111146,0.12121212121212122,0.10076541351747786,2127.9197059400526,1
42,14.430333333333238,7,2.061476190476177,0.12727272727272726,0.10403351310281425,2807.8011603045616,1
43,37.95533333333333,12,3.162944444444444,0.1303030303030303,0.10549105993627562,2807.8011603045616,1
45,15.224333333333107,9,1.6915925925925674,0.13636363636363635,0.10974213748558266,2807.8011603045616,1
47,17.60133333333306,11,1.6001212121211872,0.14242424242424243,0.11257756562284345,2807.8011603045616,1
