,s_dur,n_shots,ava_shot_dur,rel_id_loc,rel_t_loc,ava_char_score,is_prot_appear
0,60.14333333333334,6,10.023888888888889,0.0,0.0,175.02816140717056,0
2,14.556333333333328,1,14.556333333333328,0.007142857142857143,0.021002523165198555,2316.7644218743026,1
3,24.191333333333347,1,24.191333333333347,0.010714285714285714,0.02254102053658969,2316.7644218743026,1
4,48.631333333333316,12,4.052611111111109,0.014285714285714285,0.025094959898209188,1219.1561894684976,1
6,10.719333333333338,3,3.5731111111111127,0.02142857142857143,0.03244450454071722,2316.7644218743026,1
7,52.84433333333328,17,3.1084901960784284,0.025,0.033578616762496925,1398.333088609686,1
8,46.75533333333334,16,2.9222083333333337,0.02857142857142857,0.03915232357051114,236.44630269256663,0
14,25.65033333333332,7,3.6643333333333317,0.05,0.04408430476581126,734.9867441489481,0
15,49.216333333333296,18,2.7342407407407388,0.05357142857142857,0.04679200955179434,1130.4311635802867,1
16,45.42033333333342,17,2.671784313725495,0.05714285714285714,0.051983357922803015,734.9867441489481,0
19,17.81033333333346,9,1.97892592592594,0.06785714285714285,0.06259886331623857,708.1096261260456,1
20,15.765333333333274,8,1.9706666666666592,0.07142857142857142,0.06448030290207736,1183.1491506251418,1
24,25.90033333333338,14,1.8500238095238128,0.08571428571428572,0.07282768924292292,1183.1491506251418,1
25,50.133333333333326,9,5.5703703703703695,0.08928571428571429,0.07556174177125755,2316.7644218743026,1
27,36.745333333333406,9,4.082814814814823,0.09642857142857143,0.08106515280267786,1398.333088609686,1
29,8.25833333333344,3,2.7527777777778133,0.10357142857142858,0.08732021222790291,1320.9317701366128,1
30,21.64633333333336,5,4.329266666666672,0.10714285714285714,0.08819495727397406,1320.9317701366128,1
32,9.510333333333392,4,2.377583333333348,0.11428571428571428,0.09447193802083559,1303.8464096328498,1
33,20.353333333333353,5,4.07066666666667,0.11785714285714285,0.09547863256060324,977.5973125548744,1
34,53.01133333333337,15,3.534088888888891,0.12142857142857143,0.09762808138164189,1303.8464096328498,1
35,33.11633333333339,16,2.0697708333333367,0.125,0.10321938848154694,882.3796992676936,0
36,106.06433333333337,30,3.535477777777779,0.12857142857142856,0.10671394224511643,1303.8464096328498,1
38,28.027333333333218,8,3.503416666666652,0.1357142857142857,0.13642882067821407,1303.8464096328498,1
41,81.08133333333308,23,3.5252753623188293,0.14642857142857144,0.14063982225180666,1303.8464096328498,1
43,54.05433333333326,16,3.378395833333329,0.15357142857142858,0.15125100661549656,1398.333088609686,1
45,30.94733333333329,7,4.421047619047613,0.16071428571428573,0.15910611173824593,889.4016178802889,0
50,4.546333333333223,2,2.2731666666666115,0.17857142857142858,0.17245577505098553,2316.7644218743026,1
52,21.48033333333342,6,3.5800555555555698,0.18571428571428572,0.17599427684879737,597.7317130042295,0
54,40.58233333333328,10,4.0582333333333285,0.19285714285714287,0.1796779020114815,2316.7644218743026,1
55,31.78133333333335,9,3.531259259259261,0.19642857142857142,0.1839593047526374,2316.7644218743026,1
56,105.39733333333334,25,4.215893333333334,0.2,0.18731316157204966,1303.8464096328498,1
61,116.99233333333336,41,2.8534715447154477,0.21785714285714286,0.21188938711884173,1187.9461736486232,1
63,138.05533333333324,39,3.5398803418803393,0.225,0.22530502517842957,287.39359369608127,0
65,11.970333333333201,5,2.39406666666664,0.23214285714285715,0.2412042014320736,1216.8117874380719,1
67,30.446333333333314,4,7.6115833333333285,0.2392857142857143,0.2427999260998523,1067.7742094010111,1
69,23.94133333333366,6,3.9902222222222767,0.24642857142857144,0.2460130859751073,1067.7742094010111,1
70,17.392333333333227,8,2.1740416666666533,0.25,0.2485406775943753,1216.8117874380719,1
71,78.70333333333383,29,2.713908045977029,0.25357142857142856,0.25037806375500227,901.5196834994539,1
72,30.614333333333434,6,5.102388888888906,0.2571428571428571,0.25867707564089043,889.4016178802889,0
73,53.46933333333345,32,1.6709166666666704,0.26071428571428573,0.2619079411990057,1732.0676270617112,0
74,79.4963333333335,26,3.0575512820512882,0.2642857142857143,0.2675475173628988,931.2447217828316,1
75,36.578333333333376,11,3.325303030303034,0.26785714285714285,0.275930104287526,1195.4890297768563,1
76,10.093333333333248,3,3.364444444444416,0.2714285714285714,0.27978952158717957,867.7510647255039,0
78,221.0543333333335,43,5.140798449612407,0.2785714285714286,0.28277862026147715,1009.7306103788962,0
82,6.631333333333259,2,3.3156666666666297,0.29285714285714287,0.3060801420333017,2316.7644218743026,1
83,29.029333333333398,10,2.9029333333333396,0.29642857142857143,0.306783415972149,1200.0548560289935,1
84,111.94533333333356,29,3.860183908045985,0.3,0.3098472368437555,934.2886059509229,1
85,33.86633333333339,2,16.933166666666693,0.30357142857142855,0.32164965533464324,1009.7306103788962,0
87,16.59933333333356,4,4.14983333333339,0.3107142857142857,0.3254606981793394,1009.7306103788962,0
88,67.19233333333341,18,3.732907407407412,0.3142857142857143,0.3272145093012273,1009.7306103788962,0
89,14.348333333333358,6,2.391388888888893,0.31785714285714284,0.33430036573828115,1009.7306103788962,0
90,116.99133333333384,46,2.5432898550724747,0.32142857142857145,0.3358169417880358,1009.7306103788962,0
93,53.178333333333285,8,6.647291666666661,0.33214285714285713,0.3537337227599914,1009.7306103788962,0
95,12.304333333333489,5,2.4608666666666976,0.3392857142857143,0.364353654574142,1398.333088609686,1
96,69.94433333333382,30,2.3314777777777937,0.34285714285714286,0.36565481148243045,964.3234069844148,1
97,52.302333333333536,8,6.537791666666692,0.3464285714285714,0.37303070386729004,1398.333088609686,1
98,20.395333333333383,5,4.079066666666677,0.35,0.37854728876988614,869.4683696795869,0
101,14.431333333333441,2,7.215666666666721,0.3607142857142857,0.3818923981388377,356.7706786111741,0
105,31.030333333333147,12,2.5858611111110954,0.375,0.39743999011854275,913.4277200185702,1
106,30.781333333333805,11,2.798303030303073,0.37857142857142856,0.40071469831993095,1009.7306103788962,0
110,58.34933333333356,22,2.6522424242424347,0.39285714285714285,0.4071632555649857,1009.7306103788962,0
111,143.35133333333306,66,2.171989898989895,0.3964285714285714,0.4133171396595809,1009.7306103788962,0
112,25.901333333333696,10,2.5901333333333696,0.4,0.4284294669356385,1009.7306103788962,0
115,24.941333333333205,3,8.313777777777736,0.4107142857142857,0.4360164574322186,1009.7306103788962,0
116,22.522333333333336,5,4.5044666666666675,0.4142857142857143,0.43864944002089273,1183.1491506251418,1
117,53.178333333332375,13,4.090641025640952,0.41785714285714287,0.44102748185457336,1183.1491506251418,1
118,30.98933333333298,7,4.427047619047569,0.42142857142857143,0.44663638924636917,1183.1491506251418,1
120,22.064333333332797,5,4.4128666666665595,0.42857142857142855,0.45912890780492854,1125.7972908641966,1
121,32.657333333332645,8,4.082166666666581,0.43214285714285716,0.46145868057462114,1320.9317701366128,1
122,68.06833333333361,27,2.52104938271606,0.4357142857142857,0.46490485988323316,1320.9317701366128,1
123,53.261333333332914,20,2.6630666666666456,0.4392857142857143,0.4720830388094868,1398.8751786407413,1
124,52.26033333333271,8,6.532541666666589,0.44285714285714284,0.4777006936517434,911.7964776967073,0
125,61.144333333332725,25,2.445773333333309,0.44642857142857145,0.4832128521336244,2024.416024468007,1
126,29.988333333333685,6,4.998055555555614,0.45,0.48966130398770974,1380.1191257559058,1
127,96.01333333333241,32,3.000416666666638,0.45357142857142857,0.4928261947989768,1380.1191257559058,1
128,32.657333333333554,10,3.2657333333333556,0.45714285714285713,0.5029495243652855,2024.416024468007,1
132,5.756333333332805,4,1.4390833333332012,0.4714285714285714,0.5154507903743055,1732.0676270617112,0
134,29.446333333332404,8,3.6807916666665506,0.4785714285714286,0.516826669479903,1732.0676270617112,0
136,25.900333333333037,7,3.700047619047577,0.4857142857142857,0.5215960324094094,977.5973125548744,1
137,32.657333333332645,19,1.7188070175438235,0.48928571428571427,0.524330084937744,1137.1875312000386,1
139,11.428333333333285,1,11.428333333333285,0.49642857142857144,0.5282026761085734,1732.0676270617112,0
141,52.34433333333254,15,3.4896222222221693,0.5035714285714286,0.5305280224575509,1543.2317376005963,1
142,33.65833333333285,14,2.404166666666632,0.5071428571428571,0.5360490337808621,1606.1770340876346,1
143,123.41533333333336,64,1.9283645833333338,0.5107142857142857,0.5396007094498496,2024.416024468007,1
144,30.780333333333147,6,5.130055555555525,0.5142857142857142,0.5526119623598261,2024.416024468007,1
145,24.024333333332834,6,4.004055555555472,0.5178571428571429,0.5558603228188628,2024.416024468007,1
146,45.587333333332936,18,2.5326296296296076,0.5214285714285715,0.5583966618885915,2024.416024468007,1
147,42.79233333333286,18,2.3773518518518255,0.525,0.5632055464316251,2024.416024468007,1
148,28.73733333333348,16,1.7960833333333426,0.5285714285714286,0.5677198632151687,2024.416024468007,1
149,14.347333333333154,5,2.869466666666631,0.5321428571428571,0.5707529099237086,2024.416024468007,1
151,25.150333333333037,8,3.1437916666666297,0.5392857142857143,0.5732364481177648,1162.6108791503693,1
153,19.811333333333096,8,2.476416666666637,0.5464285714285714,0.5765947313578921,2316.7644218743026,1
156,44.54433333333236,11,4.04948484848476,0.5571428571428572,0.5800805376710009,1169.3619323862345,1
157,21.10433333333367,11,1.9185757575757882,0.5607142857142857,0.5847794994329439,1169.3619323862345,1
158,17.85133333333306,9,1.983481481481451,0.5642857142857143,0.5870080968720066,869.0442943735115,0
160,55.264333333332615,17,3.2508431372548596,0.5714285714285714,0.5910609066005206,1009.7306103788962,0
165,14.639333333333525,8,1.8299166666666906,0.5892857142857143,0.6107404569267635,2024.416024468007,1
166,56.097333333333154,21,2.6713015873015786,0.5928571428571429,0.6122877017486154,2024.416024468007,1
167,52.886333333332914,17,3.1109607843137006,0.5964285714285714,0.6182042453801079,2024.416024468007,1
168,79.07933333333312,16,4.94245833333332,0.6,0.6237823786088371,2024.416024468007,1
169,27.569333333332906,11,2.5063030303029916,0.6035714285714285,0.632121017499222,2024.416024468007,1
170,38.95533333333333,14,2.782523809523809,0.6071428571428571,0.6350309675554955,1285.9075551654566,1
171,17.97633333333306,7,2.56804761904758,0.6107142857142858,0.6391408991894276,942.2885995958413,0
172,12.554333333332579,1,12.554333333332579,0.6142857142857143,0.6410398336761878,2024.416024468007,1
177,26.818333333332703,12,2.2348611111110586,0.6321428571428571,0.6478355487744665,1195.4890297768563,1
178,25.400333333333037,9,2.8222592592592264,0.6357142857142857,0.6506663502127159,1732.0676270617112,0
179,21.188333333333503,4,5.297083333333376,0.6392857142857142,0.6533477072563474,1732.0676270617112,0
180,51.30133333333288,21,2.4429206349206134,0.6428571428571429,0.6555851575368403,1177.4131864095064,1
182,62.64533333333293,28,2.2373333333333187,0.65,0.6636512553803408,1177.4131864095064,1
183,46.7553333333326,10,4.67553333333326,0.6535714285714286,0.6702578990795048,1732.0676270617112,0
197,11.01033333333271,2,5.505166666666355,0.7035714285714286,0.7012871082920666,2316.7644218743026,1
202,7.883333333333212,4,1.970833333333303,0.7214285714285714,0.7070761288505777,1732.0676270617112,0
208,95.72033333333275,39,2.4543675213675065,0.7428571428571429,0.7298590216619546,1543.2317376005963,1
