,0
0,Opening Image
1,Opening Image
2,Set-Up
3,Set-Up
4,Theme Stated
5,Set-Up
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
11,Catalyst
12,Set-Up
13,Set-Up
14,Catalyst
15,Set-Up
16,Debate
17,Debate
18,Debate
19,Debate
20,Debate
21,Debate
22,Debate
23,None
24,Debate
25,Debate
26,Debate
27,Debate
28,Debate
30,Debate
31,Debate
32,Debate
33,Break into Two
34,Break into Two
35,Break into Two
36,Break into Two
37,Break into Two
38,Break into Two
39,B Story
40,B Story
41,B Story
42,B Story
43,B Story
44,B Story
45,B Story
46,B Story
47,B Story
48,B Story
49,B Story
50,B Story
51,B Story
52,B Story
54,B Story
55,B Story
56,B Story
57,B Story
58,B Story
59,B Story
60,B Story
61,B Story
62,B Story
63,B Story
64,Midpoint
67,Bad Guys Close In
68,Bad Guys Close In
69,Bad Guys Close In
70,Bad Guys Close In
71,Bad Guys Close In
74,Bad Guys Close In
77,None
78,All Is Lost
79,Dark Night of the Soul
81,Dark Night of the Soul
82,Dark Night of the Soul
83,None
84,None
85,Break into Three
86,Break into Three
87,None
88,Dark Night of the Soul
89,Dark Night of the Soul
90,Dark Night of the Soul
91,Dark Night of the Soul
92,Dark Night of the Soul
95,None
96,Finale
99,Finale
100,Finale
101,Finale
102,Finale
103,Finale
104,Finale
105,Finale
106,Finale
109,Finale
110,Finale
111,Finale
112,Finale
113,Final Image
114,Final Image
115,Final Image
116,Final Image
117,Final Image
118,Final Image
