,0
1,Theme Stated
2,Set-Up
3,Set-Up
5,Set-Up
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
15,Set-Up
16,Set-Up
17,Set-Up
18,Set-Up
19,Set-Up
20,Set-Up
21,Set-Up
22,None
23,Set-Up
24,Set-Up
25,Set-Up
26,None
27,None
28,None
29,None
30,Set-Up
31,Set-Up
32,Set-Up
33,Set-Up
34,Set-Up
35,Set-Up
36,Set-Up
37,Set-Up
38,Set-Up
39,Set-Up
40,Set-Up
41,Set-Up
42,None
43,Set-Up
44,None
45,Set-Up
46,Set-Up
48,Set-Up
50,Set-Up
51,Set-Up
52,Set-Up
55,Set-Up
56,Set-Up
57,Set-Up
59,Set-Up
60,None
61,Set-Up
63,None
65,Set-Up
66,Catalyst
67,None
68,Catalyst
69,Catalyst
70,Catalyst
71,Catalyst
72,Debate
73,None
74,Debate
75,Debate
76,Debate
77,Catalyst
78,Catalyst
80,Debate
81,Fun and Games
82,Debate
83,None
84,B Story
87,Debate
88,Debate
89,Debate
90,Debate
91,Debate
92,Debate
93,Debate
94,Catalyst
95,Catalyst
96,B Story
97,B Story
98,Break into Two
99,B Story
100,B Story
101,B Story
102,Midpoint
104,Midpoint
105,Midpoint
107,Midpoint
108,Midpoint
109,Fun and Games
110,Midpoint
111,Midpoint
114,Bad Guys Close In
115,B Story
116,Bad Guys Close In
117,None
118,None
119,None
120,Bad Guys Close In
121,Bad Guys Close In
122,Bad Guys Close In
123,Bad Guys Close In
124,None
125,B Story
126,Fun and Games
127,B Story
128,B Story
129,B Story
130,B Story
131,B Story
132,B Story
133,None
134,Fun and Games
135,Fun and Games
136,B Story
137,B Story
138,Fun and Games
139,B Story
140,Fun and Games
141,Bad Guys Close In
142,Bad Guys Close In
143,Fun and Games
144,Midpoint
145,Midpoint
146,Midpoint
147,Midpoint
148,B Story
149,Midpoint
150,Midpoint
151,Midpoint
152,Bad Guys Close In
153,Bad Guys Close In
154,Bad Guys Close In
155,Bad Guys Close In
156,Break into Three
157,Finale
158,All Is Lost
159,All Is Lost
160,None
161,Finale
162,Finale
163,Finale
164,Dark Night of the Soul
165,Dark Night of the Soul
166,Dark Night of the Soul
167,Finale
168,Finale
169,Finale
170,Finale
172,Finale
173,Finale
174,Finale
175,Finale
176,Finale
178,Finale
179,Finale
181,Finale
183,Finale
185,Finale
186,Finale
187,Finale
188,Finale
189,Finale
191,Finale
192,Finale
193,Finale
194,Finale
195,Finale
196,Finale
197,Finale
198,Finale
199,Finale
200,Finale
201,Finale
203,Finale
204,Finale
205,Finale
206,Finale
207,Finale
208,Finale
209,Finale
210,Finale
211,Final Image
212,Final Image
