,0
2,Opening Image
3,Opening Image
4,Opening Image
5,Set-Up
6,Set-Up
7,Theme Stated
8,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
15,Set-Up
16,Set-Up
17,Set-Up
18,Set-Up
19,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
23,None
24,None
25,None
26,Debate
27,Debate
28,Debate
29,Debate
30,Debate
31,Debate
32,Debate
33,None
34,Debate
35,Debate
36,Debate
37,Debate
39,None
40,Debate
41,Set-Up
42,Set-Up
43,Debate
44,Debate
45,Debate
46,Set-Up
47,Catalyst
48,Catalyst
49,Catalyst
50,None
51,Debate
52,B Story
53,Fun and Games
54,None
55,Debate
56,None
57,Debate
58,Fun and Games
59,Fun and Games
60,Debate
61,None
62,B Story
63,None
64,B Story
65,B Story
66,Fun and Games
67,B Story
68,Fun and Games
69,Fun and Games
70,Fun and Games
71,Fun and Games
72,B Story
73,B Story
74,Fun and Games
75,None
76,Fun and Games
77,Fun and Games
79,Fun and Games
82,None
83,Fun and Games
85,None
86,Fun and Games
87,Fun and Games
88,Fun and Games
89,Fun and Games
90,Fun and Games
92,None
94,Fun and Games
96,Fun and Games
97,Fun and Games
98,B Story
99,B Story
100,Fun and Games
101,Fun and Games
102,Fun and Games
103,Fun and Games
105,Fun and Games
106,Fun and Games
107,Fun and Games
108,Fun and Games
109,B Story
110,Fun and Games
111,Midpoint
112,Midpoint
113,None
114,None
115,Fun and Games
116,Fun and Games
117,Fun and Games
118,Bad Guys Close In
119,Bad Guys Close In
120,Bad Guys Close In
121,Bad Guys Close In
122,Bad Guys Close In
123,None
124,Fun and Games
125,Bad Guys Close In
126,All Is Lost
128,Dark Night of the Soul
129,Dark Night of the Soul
130,Dark Night of the Soul
131,Bad Guys Close In
132,Bad Guys Close In
133,Dark Night of the Soul
135,None
136,Bad Guys Close In
137,None
138,Dark Night of the Soul
139,Dark Night of the Soul
140,All Is Lost
142,None
143,Dark Night of the Soul
144,None
145,Fun and Games
146,Fun and Games
147,None
148,None
149,None
150,None
151,None
152,Dark Night of the Soul
153,None
154,Break into Three
155,Break into Three
156,Break into Three
157,None
158,Fun and Games
159,Fun and Games
160,Fun and Games
161,Fun and Games
162,None
163,Fun and Games
164,Break into Three
165,Finale
166,None
167,None
168,None
169,None
170,Fun and Games
171,Fun and Games
172,None
173,None
174,Finale
175,Fun and Games
176,Fun and Games
177,Finale
178,Finale
179,None
180,Finale
181,Finale
182,Finale
183,Finale
184,Finale
185,Finale
186,Finale
187,Finale
189,Finale
190,Finale
191,Finale
192,Finale
193,Finale
194,Finale
195,Finale
196,Finale
197,Finale
198,Finale
199,Finale
200,Finale
201,Finale
202,Finale
203,Finale
204,Finale
205,Finale
206,Finale
208,Finale
209,Finale
210,Finale
211,Finale
212,Finale
213,Finale
214,Finale
215,Finale
216,Finale
217,Finale
218,Finale
219,Finale
220,Finale
221,Finale
222,Final Image
223,Final Image
224,Final Image
225,Final Image
226,Final Image
227,Final Image
