,0
1,Opening Image
3,Theme Stated
4,Set-Up
5,Theme Stated
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
10,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
15,Set-Up
16,Set-Up
17,Set-Up
18,Set-Up
19,Set-Up
21,Set-Up
22,Catalyst
23,Catalyst
24,Catalyst
25,Catalyst
27,Catalyst
28,Debate
30,Break into Two
31,Break into Two
32,B Story
33,B Story
34,Break into Two
35,Fun and Games
37,B Story
38,Break into Two
39,Break into Two
40,B Story
41,Break into Two
42,Fun and Games
43,Break into Two
44,Break into Two
45,Break into Two
46,Break into Two
47,Break into Two
49,Fun and Games
50,Fun and Games
52,Fun and Games
53,Fun and Games
54,Fun and Games
56,Fun and Games
58,Fun and Games
60,Fun and Games
62,Fun and Games
63,Fun and Games
64,Fun and Games
65,Fun and Games
66,None
68,B Story
69,B Story
70,B Story
71,B Story
74,B Story
75,B Story
76,Fun and Games
77,Fun and Games
78,Fun and Games
79,Fun and Games
80,Fun and Games
82,B Story
83,Fun and Games
84,Midpoint
85,Midpoint
86,Fun and Games
87,Fun and Games
88,Midpoint
89,B Story
90,Midpoint
91,Midpoint
92,Fun and Games
93,Midpoint
94,Midpoint
95,Midpoint
96,Fun and Games
97,B Story
98,Bad Guys Close In
99,Fun and Games
100,Midpoint
101,Bad Guys Close In
102,Fun and Games
103,Fun and Games
104,Bad Guys Close In
105,Fun and Games
106,Bad Guys Close In
107,Fun and Games
108,Fun and Games
110,None
111,None
112,Bad Guys Close In
113,Bad Guys Close In
114,Fun and Games
116,Bad Guys Close In
117,Fun and Games
118,Fun and Games
119,Fun and Games
120,Fun and Games
121,Midpoint
122,B Story
123,B Story
124,B Story
125,B Story
126,B Story
127,Fun and Games
129,Midpoint
130,Bad Guys Close In
132,Bad Guys Close In
133,Fun and Games
135,B Story
136,Midpoint
139,Bad Guys Close In
140,Bad Guys Close In
142,Bad Guys Close In
144,Fun and Games
145,Bad Guys Close In
146,Fun and Games
148,Bad Guys Close In
150,Bad Guys Close In
151,None
153,Fun and Games
154,B Story
155,Bad Guys Close In
156,Bad Guys Close In
158,Bad Guys Close In
160,Bad Guys Close In
161,Bad Guys Close In
162,Dark Night of the Soul
163,Dark Night of the Soul
164,Bad Guys Close In
165,Bad Guys Close In
166,Fun and Games
167,Fun and Games
168,Bad Guys Close In
169,None
170,Bad Guys Close In
171,Fun and Games
172,Finale
174,Finale
176,Finale
177,Finale
179,Finale
180,Finale
181,Finale
182,Finale
184,Finale
185,Finale
187,Finale
189,Finale
190,Finale
191,Finale
192,Finale
193,Finale
194,Finale
195,Finale
196,Finale
198,Finale
199,Finale
201,Finale
202,Finale
203,Finale
204,Finale
206,Finale
207,Finale
208,Finale
209,Finale
210,Finale
211,Finale
212,Break into Three
214,Finale
215,Finale
216,Finale
217,Finale
218,Finale
220,Finale
222,Finale
223,Finale
224,Finale
225,Finale
226,Finale
227,Finale
228,Finale
229,Finale
230,Final Image
232,Final Image
233,Final Image
