,0
1,Opening Image
3,Opening Image
5,Opening Image
7,Opening Image
9,Opening Image
10,Opening Image
11,Opening Image
12,Set-Up
14,Set-Up
15,Theme Stated
17,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
24,Set-Up
25,Set-Up
27,Set-Up
28,Set-Up
29,Set-Up
30,Set-Up
33,Set-Up
35,Set-Up
37,Set-Up
39,Set-Up
40,Set-Up
42,Set-Up
43,Set-Up
44,Set-Up
45,Set-Up
46,Set-Up
47,Set-Up
48,Set-Up
49,Fun and Games
51,Catalyst
52,Catalyst
53,Catalyst
54,Debate
55,Debate
56,Catalyst
57,Catalyst
59,Catalyst
60,Catalyst
62,Catalyst
66,Set-Up
67,Catalyst
68,Debate
69,Debate
70,Debate
71,Debate
72,Debate
73,Debate
76,Break into Two
78,Break into Two
79,Break into Two
80,Debate
81,Debate
82,Debate
83,Debate
84,Debate
86,Debate
87,None
89,B Story
90,B Story
91,B Story
92,None
93,B Story
94,B Story
96,B Story
97,B Story
98,B Story
99,B Story
100,B Story
102,B Story
103,B Story
104,B Story
105,Bad Guys Close In
106,Bad Guys Close In
107,Bad Guys Close In
108,Bad Guys Close In
111,None
112,B Story
114,Debate
115,Midpoint
116,Midpoint
117,Bad Guys Close In
118,Midpoint
119,Debate
120,Debate
121,Debate
122,Midpoint
124,Debate
125,Midpoint
126,None
127,Midpoint
128,Midpoint
129,Bad Guys Close In
131,Midpoint
132,Midpoint
133,Bad Guys Close In
134,Bad Guys Close In
135,Bad Guys Close In
136,None
138,Midpoint
139,Midpoint
140,Midpoint
141,B Story
143,Bad Guys Close In
145,Bad Guys Close In
146,All Is Lost
147,None
148,Bad Guys Close In
149,Midpoint
151,None
152,Midpoint
154,Dark Night of the Soul
155,All Is Lost
156,Bad Guys Close In
157,None
158,None
160,Dark Night of the Soul
162,Midpoint
163,Dark Night of the Soul
165,Midpoint
166,Break into Three
168,Break into Three
170,Break into Three
172,Fun and Games
173,Break into Three
174,None
175,Break into Three
176,Break into Three
177,Break into Three
178,Break into Three
179,All Is Lost
181,Midpoint
182,None
183,Midpoint
185,Midpoint
187,Finale
189,Finale
192,Finale
193,Bad Guys Close In
194,Finale
195,Finale
196,Finale
197,Bad Guys Close In
198,Finale
199,Finale
201,Finale
202,None
203,Finale
204,Finale
205,Finale
207,Finale
208,Bad Guys Close In
209,Bad Guys Close In
212,Finale
214,Finale
217,Finale
219,Finale
220,Finale
221,Bad Guys Close In
222,Bad Guys Close In
223,Finale
224,Finale
227,Finale
228,Finale
233,Finale
235,Finale
236,Finale
237,Finale
239,Finale
241,Finale
242,Finale
245,Finale
248,Bad Guys Close In
252,Finale
253,Bad Guys Close In
254,Finale
255,Finale
256,Finale
257,Finale
258,Finale
260,Finale
263,Finale
265,Finale
268,Finale
269,Finale
270,Finale
273,Finale
276,Finale
277,Finale
281,Finale
282,Finale
283,Finale
284,Finale
285,Finale
288,Finale
289,Finale
290,Finale
292,Finale
293,Finale
294,Finale
295,Finale
296,Finale
297,Finale
298,Finale
299,Finale
301,Finale
302,Finale
303,Finale
304,Finale
305,Final Image
306,Final Image
307,Final Image
308,Final Image
309,Final Image
