,0
0,Opening Image
2,Opening Image
3,Theme Stated
4,Set-Up
5,Set-Up
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
10,Catalyst
11,Set-Up
14,Debate
16,Debate
17,Debate
18,Debate
19,Debate
20,Debate
22,Debate
23,None
24,Debate
25,None
26,Debate
27,None
29,Debate
30,None
31,B Story
32,B Story
33,B Story
34,Fun and Games
35,Fun and Games
36,None
37,B Story
39,B Story
40,Debate
41,Fun and Games
42,B Story
43,Fun and Games
45,Fun and Games
46,B Story
47,B Story
48,Fun and Games
49,None
50,B Story
52,Midpoint
53,Fun and Games
54,None
56,Fun and Games
57,Bad Guys Close In
58,Bad Guys Close In
59,Fun and Games
60,Bad Guys Close In
61,Bad Guys Close In
62,Bad Guys Close In
63,Bad Guys Close In
64,Fun and Games
65,Bad Guys Close In
66,Bad Guys Close In
67,Bad Guys Close In
68,Bad Guys Close In
69,Bad Guys Close In
70,Bad Guys Close In
71,Bad Guys Close In
72,Bad Guys Close In
74,None
75,Bad Guys Close In
76,Bad Guys Close In
78,Bad Guys Close In
79,Bad Guys Close In
80,All Is Lost
81,Bad Guys Close In
83,All Is Lost
84,All Is Lost
85,None
86,Fun and Games
87,Fun and Games
88,None
89,Dark Night of the Soul
91,Dark Night of the Soul
92,Dark Night of the Soul
93,Dark Night of the Soul
94,Finale
95,Dark Night of the Soul
96,Finale
97,Finale
98,Finale
99,Finale
100,Finale
101,Finale
103,Finale
104,Finale
105,Finale
107,Finale
108,Final Image
