,0
0,Opening Image
1,Set-Up
3,Set-Up
5,Set-Up
6,Set-Up
8,Set-Up
9,Set-Up
12,None
13,Catalyst
15,Set-Up
16,Set-Up
18,Debate
19,Debate
21,Catalyst
22,Debate
23,None
24,None
25,Debate
27,Break into Two
28,Debate
29,None
30,None
31,None
34,B Story
35,B Story
36,Fun and Games
37,Fun and Games
38,None
41,B Story
42,B Story
43,B Story
44,None
45,None
46,Fun and Games
47,B Story
48,B Story
49,B Story
50,B Story
51,B Story
52,B Story
53,None
54,B Story
55,None
56,Fun and Games
57,None
58,Fun and Games
59,None
60,Bad Guys Close In
61,None
63,Bad Guys Close In
64,None
65,Fun and Games
66,Bad Guys Close In
67,Bad Guys Close In
68,All Is Lost
69,None
70,None
71,None
72,Fun and Games
74,Fun and Games
75,All Is Lost
76,None
77,None
78,Fun and Games
79,None
80,None
81,None
82,None
83,None
86,Midpoint
87,Bad Guys Close In
88,None
89,B Story
90,B Story
91,B Story
92,None
93,Fun and Games
95,None
96,None
97,None
98,None
99,Dark Night of the Soul
100,None
101,Dark Night of the Soul
102,Dark Night of the Soul
105,None
106,None
107,None
111,Dark Night of the Soul
112,None
115,Dark Night of the Soul
117,None
118,Fun and Games
119,None
120,None
121,Dark Night of the Soul
123,None
124,None
125,Finale
126,None
127,Finale
130,Finale
131,None
132,B Story
133,None
134,None
135,None
136,Finale
137,Finale
138,Finale
139,None
146,Finale
147,Finale
149,Finale
151,Finale
153,Finale
154,Finale
155,Finale
156,Finale
157,Finale
158,Final Image
159,Final Image
160,Final Image
161,Final Image
