,0
3,Opening Image
5,Opening Image
6,Opening Image
8,Opening Image
9,Opening Image
10,Opening Image
11,Set-Up
12,Set-Up
14,Set-Up
15,Theme Stated
16,Set-Up
17,Set-Up
18,Set-Up
19,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
23,Set-Up
24,Set-Up
25,Set-Up
27,Set-Up
28,Set-Up
29,Set-Up
30,Set-Up
31,Catalyst
32,Set-Up
33,None
34,Set-Up
35,Set-Up
36,None
37,Set-Up
38,Set-Up
39,Set-Up
41,None
42,Debate
43,None
44,None
45,None
46,None
47,Catalyst
48,None
49,Debate
50,Break into Two
51,None
52,None
53,Break into Two
54,Break into Two
56,B Story
58,B Story
59,B Story
60,B Story
61,Fun and Games
62,Break into Two
63,Fun and Games
64,Fun and Games
66,Fun and Games
67,Fun and Games
68,Fun and Games
69,B Story
70,B Story
71,B Story
72,Midpoint
73,Midpoint
75,None
76,Fun and Games
78,B Story
79,Fun and Games
80,Fun and Games
81,Fun and Games
82,B Story
83,Fun and Games
84,B Story
85,B Story
86,Fun and Games
87,Fun and Games
88,Fun and Games
89,Fun and Games
90,Bad Guys Close In
91,Bad Guys Close In
92,Bad Guys Close In
94,Bad Guys Close In
96,Bad Guys Close In
97,None
98,Bad Guys Close In
99,Fun and Games
100,Bad Guys Close In
101,B Story
102,Dark Night of the Soul
104,All Is Lost
105,None
106,Dark Night of the Soul
107,None
108,Fun and Games
109,None
110,Fun and Games
111,Dark Night of the Soul
112,None
113,Dark Night of the Soul
114,Dark Night of the Soul
115,None
117,Dark Night of the Soul
118,Dark Night of the Soul
119,Dark Night of the Soul
120,Dark Night of the Soul
121,None
124,Break into Three
125,All Is Lost
126,Dark Night of the Soul
128,All Is Lost
129,All Is Lost
130,Dark Night of the Soul
131,Dark Night of the Soul
133,Break into Three
134,Break into Three
137,Break into Three
138,None
139,Finale
140,Finale
141,Break into Three
143,None
144,Finale
146,Finale
147,Finale
148,None
149,Finale
150,Finale
151,Finale
152,Finale
153,Finale
154,Finale
156,Finale
157,Finale
158,Finale
159,Finale
160,Finale
161,Finale
162,Finale
163,Finale
164,Finale
165,Finale
166,Finale
167,Finale
168,Finale
169,Final Image
