,0
1,Opening Image
2,None
3,Opening Image
4,Theme Stated
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
15,Set-Up
16,Set-Up
17,None
18,Set-Up
19,None
20,None
21,None
22,None
23,Set-Up
24,None
27,None
29,Set-Up
30,None
31,None
32,None
33,Set-Up
34,None
35,Set-Up
36,None
37,None
38,Set-Up
39,None
40,None
41,None
42,Set-Up
43,None
44,None
45,None
46,Catalyst
48,Catalyst
49,Debate
50,Debate
51,Debate
52,Debate
53,None
54,Debate
56,Break into Two
57,Break into Two
60,None
61,B Story
62,B Story
63,None
64,B Story
65,B Story
66,B Story
67,None
68,B Story
69,Midpoint
70,B Story
75,Bad Guys Close In
77,Bad Guys Close In
78,Bad Guys Close In
79,Bad Guys Close In
80,Bad Guys Close In
81,Bad Guys Close In
82,All Is Lost
83,Bad Guys Close In
84,All Is Lost
85,All Is Lost
86,None
87,Break into Three
88,Break into Three
89,Break into Three
91,Break into Three
93,Break into Three
94,None
95,None
96,None
97,Break into Three
98,None
99,None
100,None
101,None
103,None
104,None
105,None
106,None
107,None
108,None
109,None
110,None
111,None
113,None
115,Finale
116,Finale
117,None
118,Finale
119,Finale
120,Finale
122,Finale
123,Finale
124,Finale
125,Final Image
126,Final Image
127,Final Image
128,Final Image
129,Final Image
130,Final Image
131,Final Image
