,0
1,Theme Stated
3,Theme Stated
6,Set-Up
7,Set-Up
8,Catalyst
9,Catalyst
10,None
11,Set-Up
12,Fun and Games
14,Fun and Games
15,Debate
16,None
17,Fun and Games
18,Set-Up
19,Catalyst
20,Fun and Games
21,Catalyst
23,Catalyst
24,Fun and Games
25,None
27,Debate
28,Fun and Games
29,Catalyst
31,Break into Two
32,Debate
33,Break into Two
34,Break into Two
35,Break into Two
36,Fun and Games
37,Break into Two
38,Break into Two
39,Fun and Games
40,Midpoint
41,Break into Two
42,Bad Guys Close In
43,Fun and Games
45,B Story
46,B Story
47,B Story
48,Fun and Games
49,Bad Guys Close In
50,Bad Guys Close In
51,Bad Guys Close In
52,Fun and Games
53,Fun and Games
54,Bad Guys Close In
56,All Is Lost
57,All Is Lost
58,All Is Lost
59,B Story
60,B Story
61,B Story
62,Fun and Games
63,B Story
65,Bad Guys Close In
66,All Is Lost
67,All Is Lost
68,Bad Guys Close In
70,All Is Lost
71,All Is Lost
73,None
74,All Is Lost
75,All Is Lost
76,Fun and Games
77,Dark Night of the Soul
78,Dark Night of the Soul
79,Fun and Games
80,Dark Night of the Soul
81,Dark Night of the Soul
84,Dark Night of the Soul
85,Dark Night of the Soul
86,Dark Night of the Soul
87,Dark Night of the Soul
89,Dark Night of the Soul
90,B Story
91,B Story
92,B Story
93,Break into Three
94,Break into Three
95,Break into Three
97,Break into Three
98,Finale
99,Break into Three
100,Break into Three
101,Finale
102,Finale
103,Finale
105,Finale
106,Finale
108,Finale
109,Finale
110,Finale
111,Finale
112,Final Image
114,Final Image
