,0
0,Opening Image
1,Opening Image
2,Opening Image
3,Opening Image
4,Set-Up
5,Opening Image
6,Theme Stated
8,Opening Image
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
14,Set-Up
15,Set-Up
16,Set-Up
17,Set-Up
18,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
23,Set-Up
24,Set-Up
25,Set-Up
26,Set-Up
27,Set-Up
28,Set-Up
29,Set-Up
30,Set-Up
31,Set-Up
32,Set-Up
33,Set-Up
34,Catalyst
35,Set-Up
36,Set-Up
37,Set-Up
38,Set-Up
39,Set-Up
40,Set-Up
42,Set-Up
43,Set-Up
44,Set-Up
45,Set-Up
47,Set-Up
48,Set-Up
49,Debate
50,Set-Up
51,Set-Up
52,Set-Up
54,B Story
55,B Story
56,Catalyst
57,Debate
58,Break into Two
59,Break into Two
60,Break into Two
61,Break into Two
62,Break into Two
63,B Story
64,B Story
65,B Story
66,B Story
67,B Story
68,B Story
69,Fun and Games
70,B Story
71,Fun and Games
73,Fun and Games
74,B Story
75,B Story
76,B Story
77,B Story
78,B Story
80,B Story
81,B Story
82,B Story
83,B Story
84,Fun and Games
86,B Story
88,B Story
89,B Story
90,B Story
91,B Story
93,B Story
94,B Story
95,B Story
96,B Story
97,B Story
98,B Story
99,B Story
100,B Story
101,B Story
102,B Story
103,B Story
104,B Story
105,B Story
106,None
107,Midpoint
108,Midpoint
109,Midpoint
110,Fun and Games
112,Midpoint
114,Bad Guys Close In
115,Bad Guys Close In
116,Bad Guys Close In
117,Bad Guys Close In
118,Bad Guys Close In
119,Fun and Games
120,Fun and Games
121,Bad Guys Close In
122,Bad Guys Close In
123,Bad Guys Close In
124,Midpoint
125,Break into Three
126,Break into Three
127,Fun and Games
128,Fun and Games
129,Break into Three
130,Break into Three
131,Break into Three
132,Break into Three
133,Fun and Games
134,Fun and Games
135,Fun and Games
136,Break into Three
137,Break into Three
138,Break into Three
139,Break into Three
141,Break into Three
142,Break into Three
143,Break into Three
144,Break into Three
146,Break into Three
147,Break into Three
148,Finale
149,Finale
150,Finale
151,Finale
152,Finale
153,Finale
154,Finale
155,Finale
156,Finale
157,Finale
158,Finale
159,Finale
160,Finale
161,Finale
162,Finale
163,Finale
164,Finale
165,Finale
166,Finale
167,Finale
168,Finale
169,Finale
170,Finale
171,Finale
172,Finale
173,Finale
174,Finale
175,Finale
176,Finale
177,Finale
178,Finale
179,Finale
180,Finale
181,Finale
182,Finale
183,Finale
184,Final Image
185,Final Image
186,Final Image
187,Final Image
188,Final Image
189,Final Image
190,Final Image
191,Final Image
