,0
1,Opening Image
3,Opening Image
4,Opening Image
5,Set-Up
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
15,Set-Up
16,Set-Up
17,Set-Up
18,Set-Up
19,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
24,Set-Up
25,Theme Stated
26,Set-Up
27,Theme Stated
28,Set-Up
29,Set-Up
31,Set-Up
32,Set-Up
33,Set-Up
34,Set-Up
35,None
36,Set-Up
37,Set-Up
38,None
39,Set-Up
40,Set-Up
41,Set-Up
42,Debate
43,Break into Two
44,Break into Two
45,Catalyst
46,Catalyst
47,None
48,None
49,None
50,None
51,B Story
52,B Story
53,None
54,Fun and Games
55,None
56,None
57,Fun and Games
58,Fun and Games
59,Fun and Games
60,Fun and Games
62,None
64,Fun and Games
66,None
67,Fun and Games
69,Fun and Games
70,B Story
71,B Story
73,B Story
74,None
75,Bad Guys Close In
76,Bad Guys Close In
77,Bad Guys Close In
78,Bad Guys Close In
79,Bad Guys Close In
80,B Story
81,None
82,Midpoint
83,Fun and Games
84,Bad Guys Close In
85,Bad Guys Close In
86,Bad Guys Close In
87,Bad Guys Close In
88,Bad Guys Close In
89,Bad Guys Close In
91,Bad Guys Close In
92,None
93,Bad Guys Close In
94,Bad Guys Close In
95,Bad Guys Close In
97,Bad Guys Close In
98,Bad Guys Close In
99,Fun and Games
100,None
101,Bad Guys Close In
102,Dark Night of the Soul
103,Break into Three
104,Break into Three
105,All Is Lost
106,None
107,None
108,All Is Lost
109,Dark Night of the Soul
110,Dark Night of the Soul
113,Break into Three
115,None
116,Finale
117,Finale
118,None
119,Finale
120,None
121,None
122,None
123,None
124,Finale
125,Finale
126,Finale
127,Finale
128,Finale
130,Finale
131,Finale
132,Final Image
