,0
1,Opening Image
2,Opening Image
5,Opening Image
6,Set-Up
7,Opening Image
8,Opening Image
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
15,Set-Up
16,Theme Stated
18,Set-Up
19,None
20,Debate
21,Set-Up
22,Debate
23,Debate
24,Set-Up
26,Set-Up
27,None
28,Set-Up
29,Set-Up
30,Set-Up
31,Set-Up
32,None
34,Set-Up
35,None
36,Set-Up
37,None
38,Set-Up
39,None
41,Set-Up
42,None
43,Set-Up
45,Set-Up
47,Set-Up
48,None
49,None
50,Set-Up
51,None
52,None
53,Set-Up
54,Fun and Games
55,Set-Up
56,Break into Two
57,Fun and Games
58,Fun and Games
59,Fun and Games
60,Fun and Games
61,Fun and Games
62,Fun and Games
64,Fun and Games
65,Fun and Games
66,None
67,None
68,None
69,None
70,None
71,Fun and Games
72,Set-Up
73,Fun and Games
75,Fun and Games
76,Debate
77,Fun and Games
78,Fun and Games
79,Fun and Games
80,Fun and Games
81,Fun and Games
82,B Story
83,None
84,B Story
86,Fun and Games
87,None
88,B Story
89,B Story
90,B Story
91,B Story
92,None
93,B Story
94,B Story
95,None
96,Fun and Games
97,B Story
99,None
100,Fun and Games
101,Bad Guys Close In
102,Fun and Games
103,Fun and Games
104,Fun and Games
105,Fun and Games
106,Bad Guys Close In
107,Bad Guys Close In
108,Bad Guys Close In
109,None
110,Bad Guys Close In
111,Bad Guys Close In
112,B Story
113,None
114,Bad Guys Close In
117,Bad Guys Close In
118,None
119,Midpoint
120,Bad Guys Close In
121,Bad Guys Close In
122,None
123,None
124,None
126,None
127,Bad Guys Close In
128,Bad Guys Close In
129,Bad Guys Close In
130,Bad Guys Close In
131,Bad Guys Close In
132,Bad Guys Close In
133,Bad Guys Close In
134,Bad Guys Close In
135,Bad Guys Close In
136,None
137,None
139,None
140,Bad Guys Close In
141,Bad Guys Close In
142,Bad Guys Close In
143,Bad Guys Close In
144,None
145,Bad Guys Close In
146,Bad Guys Close In
147,None
148,None
149,None
150,None
152,None
153,None
154,None
155,Finale
157,Finale
158,None
159,Fun and Games
160,None
161,None
162,Finale
163,Finale
164,Finale
165,All Is Lost
166,Fun and Games
167,Finale
168,Finale
169,Finale
170,Finale
171,Finale
172,Finale
173,Finale
177,Finale
178,Finale
179,Finale
181,Finale
182,None
183,Finale
184,Finale
185,Finale
186,Finale
187,Finale
188,Finale
189,Finale
190,Finale
191,Finale
192,Finale
193,Finale
195,Finale
196,Finale
197,Final Image
199,Final Image
200,Final Image
201,Final Image
