,0
1,Opening Image
2,Opening Image
3,Theme Stated
5,Opening Image
6,Set-Up
7,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
16,Set-Up
18,Set-Up
19,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
24,Set-Up
25,Catalyst
26,Catalyst
27,Set-Up
28,None
29,Catalyst
30,Catalyst
31,Catalyst
32,Debate
33,Debate
34,Debate
36,Debate
37,Debate
38,Debate
39,Debate
40,Debate
41,Debate
42,Debate
43,Debate
44,Debate
45,Debate
46,Debate
47,Debate
49,Debate
50,Debate
51,Debate
52,Break into Two
53,Break into Two
55,B Story
56,B Story
58,Fun and Games
59,B Story
60,B Story
61,B Story
62,B Story
63,B Story
64,B Story
65,B Story
66,B Story
67,B Story
68,B Story
69,B Story
70,B Story
71,B Story
72,Fun and Games
73,B Story
74,B Story
75,None
78,B Story
79,B Story
80,B Story
81,Fun and Games
82,Fun and Games
83,B Story
84,Fun and Games
85,B Story
86,Fun and Games
87,B Story
88,Fun and Games
89,B Story
90,B Story
92,B Story
93,Bad Guys Close In
94,Fun and Games
96,Fun and Games
97,Fun and Games
98,Fun and Games
99,None
101,B Story
102,B Story
103,Bad Guys Close In
104,Bad Guys Close In
105,Bad Guys Close In
106,Bad Guys Close In
107,Bad Guys Close In
108,Bad Guys Close In
109,Midpoint
110,Bad Guys Close In
111,Fun and Games
112,Bad Guys Close In
113,Bad Guys Close In
114,Bad Guys Close In
115,Fun and Games
116,Fun and Games
117,Fun and Games
118,Fun and Games
119,Fun and Games
120,Fun and Games
122,Bad Guys Close In
123,None
124,Fun and Games
125,Fun and Games
126,Bad Guys Close In
127,Bad Guys Close In
128,Bad Guys Close In
129,None
130,Bad Guys Close In
132,Bad Guys Close In
133,Bad Guys Close In
134,Bad Guys Close In
135,Bad Guys Close In
136,Bad Guys Close In
137,All Is Lost
138,All Is Lost
139,None
140,Dark Night of the Soul
142,Bad Guys Close In
143,None
144,Bad Guys Close In
145,Bad Guys Close In
146,Dark Night of the Soul
147,Bad Guys Close In
148,Bad Guys Close In
149,Dark Night of the Soul
151,Dark Night of the Soul
152,Dark Night of the Soul
153,Dark Night of the Soul
154,Dark Night of the Soul
155,Break into Three
156,Break into Three
157,Break into Three
158,Break into Three
159,Break into Three
160,Finale
162,Finale
163,Finale
164,Finale
165,Finale
166,Finale
167,Finale
168,Finale
169,Finale
170,Finale
172,Finale
173,Finale
174,Finale
175,Finale
176,Finale
177,Finale
178,Finale
179,Finale
180,Finale
182,Finale
183,Finale
184,Finale
185,Finale
186,Finale
187,Final Image
188,Final Image
189,Final Image
190,Final Image
191,Final Image
