,0
1,Opening Image
2,Theme Stated
4,Set-Up
5,Set-Up
6,Set-Up
7,Set-Up
8,None
10,None
11,Set-Up
12,None
13,None
14,Catalyst
15,Catalyst
16,Debate
17,None
18,None
19,Set-Up
21,Debate
22,None
23,Debate
24,Catalyst
25,Catalyst
26,None
27,None
29,None
30,None
31,None
32,None
33,None
34,None
35,None
36,None
37,B Story
39,Break into Two
40,B Story
41,None
42,B Story
43,Midpoint
44,Break into Two
45,B Story
46,None
47,None
48,Fun and Games
50,None
51,Bad Guys Close In
52,Bad Guys Close In
53,None
54,None
55,Bad Guys Close In
56,Bad Guys Close In
57,Bad Guys Close In
59,None
60,Bad Guys Close In
62,Bad Guys Close In
63,None
65,Bad Guys Close In
66,Bad Guys Close In
67,Bad Guys Close In
69,None
70,None
71,None
72,None
73,None
74,Dark Night of the Soul
75,Dark Night of the Soul
76,None
77,Dark Night of the Soul
78,Break into Three
79,None
80,Finale
81,None
82,Finale
83,Finale
84,Finale
85,Finale
86,Finale
87,Break into Three
88,Finale
89,Finale
90,Final Image
91,None
