,0
1,Set-Up
2,None
4,Set-Up
5,Set-Up
6,Set-Up
7,Theme Stated
10,Set-Up
12,Set-Up
13,Set-Up
15,Set-Up
16,Set-Up
17,Set-Up
18,Set-Up
19,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
23,Set-Up
24,Set-Up
25,Catalyst
26,Set-Up
27,Debate
28,None
29,None
30,None
31,Catalyst
32,Debate
33,Debate
34,Debate
35,Debate
36,Debate
37,Debate
38,Debate
39,Debate
40,Debate
41,Debate
42,Debate
43,Debate
44,None
45,B Story
46,B Story
48,B Story
49,None
50,Debate
51,Debate
52,Break into Two
53,None
56,B Story
57,None
58,B Story
59,None
60,None
61,None
62,None
63,None
64,B Story
65,B Story
67,None
68,B Story
69,B Story
71,B Story
72,None
73,None
74,None
77,None
78,Fun and Games
79,Bad Guys Close In
80,None
82,B Story
83,None
84,None
85,Midpoint
86,None
87,None
88,Bad Guys Close In
89,Bad Guys Close In
90,Bad Guys Close In
91,Bad Guys Close In
92,None
93,None
94,None
95,Bad Guys Close In
97,None
98,None
99,B Story
100,None
101,None
102,Dark Night of the Soul
103,None
104,None
105,Break into Three
106,None
107,None
108,Finale
109,None
110,Finale
111,Finale
112,Finale
114,Finale
116,Finale
118,Finale
119,Finale
120,Finale
121,Finale
122,Finale
123,Final Image
