,0
1,Opening Image
2,Opening Image
3,Opening Image
5,Set-Up
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
15,Catalyst
16,Set-Up
17,Debate
18,Set-Up
19,Set-Up
20,Set-Up
21,Debate
22,Debate
23,Debate
24,Debate
25,Debate
26,Debate
28,Set-Up
29,Set-Up
30,Set-Up
32,Catalyst
33,Debate
34,Debate
35,None
36,B Story
37,B Story
38,Fun and Games
39,Fun and Games
40,B Story
41,B Story
43,B Story
44,B Story
45,B Story
46,B Story
47,B Story
48,B Story
49,B Story
50,B Story
51,B Story
52,B Story
54,B Story
55,Midpoint
56,Midpoint
57,Midpoint
58,Bad Guys Close In
60,Bad Guys Close In
63,Bad Guys Close In
64,Bad Guys Close In
65,Bad Guys Close In
66,Bad Guys Close In
67,Break into Three
68,Bad Guys Close In
69,Bad Guys Close In
70,Bad Guys Close In
71,Bad Guys Close In
72,Dark Night of the Soul
73,None
74,Bad Guys Close In
75,Bad Guys Close In
76,All Is Lost
77,All Is Lost
78,Break into Three
79,None
80,Break into Three
82,All Is Lost
83,Dark Night of the Soul
84,None
85,Dark Night of the Soul
88,Finale
89,Finale
90,Finale
91,Finale
92,Finale
93,Finale
94,Finale
95,Finale
96,Finale
97,Finale
99,Finale
100,Finale
101,Finale
103,Finale
104,Finale
105,Finale
107,Finale
108,Finale
109,Finale
110,Final Image
111,None
