,0
1,Opening Image
2,Opening Image
3,Opening Image
4,Theme Stated
5,Set-Up
7,Set-Up
10,Set-Up
13,Set-Up
16,Set-Up
18,Set-Up
19,Set-Up
20,None
21,Set-Up
24,Set-Up
29,Set-Up
30,Set-Up
31,Set-Up
32,Debate
33,None
35,Set-Up
36,None
37,None
38,None
39,None
40,Set-Up
41,Set-Up
43,Set-Up
44,Set-Up
45,None
46,None
47,Catalyst
49,B Story
53,Debate
55,Break into Two
56,Fun and Games
59,B Story
60,None
62,None
65,B Story
66,Fun and Games
67,Fun and Games
68,None
70,None
71,B Story
72,B Story
73,B Story
74,B Story
75,B Story
76,B Story
79,B Story
82,B Story
83,B Story
84,B Story
85,B Story
86,B Story
87,B Story
88,B Story
90,B Story
91,None
92,B Story
93,Fun and Games
94,B Story
95,B Story
96,Fun and Games
97,B Story
98,B Story
100,B Story
101,Fun and Games
103,B Story
104,B Story
105,B Story
107,Midpoint
108,Midpoint
109,Midpoint
110,Midpoint
111,Midpoint
112,Midpoint
113,Bad Guys Close In
114,Bad Guys Close In
116,Midpoint
117,None
118,Bad Guys Close In
119,Midpoint
120,Bad Guys Close In
121,Fun and Games
123,Bad Guys Close In
124,Bad Guys Close In
125,All Is Lost
126,Bad Guys Close In
127,None
128,None
129,None
130,None
131,None
132,None
133,Bad Guys Close In
134,None
135,None
136,None
137,None
139,None
140,Bad Guys Close In
141,All Is Lost
143,None
144,All Is Lost
146,None
147,Dark Night of the Soul
148,None
149,Dark Night of the Soul
150,Dark Night of the Soul
151,Dark Night of the Soul
153,Dark Night of the Soul
154,Dark Night of the Soul
155,Dark Night of the Soul
156,All Is Lost
158,Dark Night of the Soul
159,Dark Night of the Soul
160,None
161,None
162,Dark Night of the Soul
163,None
164,None
166,None
167,None
168,None
169,None
170,None
171,Break into Three
172,None
173,None
174,None
175,None
176,None
178,None
179,Finale
181,Finale
182,Finale
183,Dark Night of the Soul
184,Finale
187,Finale
190,Finale
191,Finale
192,Finale
195,None
196,Finale
197,Finale
198,Finale
199,Finale
200,Finale
203,Finale
204,Finale
205,Finale
206,Final Image
207,Final Image
