,0
5,Theme Stated
7,Set-Up
9,Set-Up
10,Set-Up
11,Catalyst
13,Catalyst
15,None
16,Catalyst
18,Set-Up
20,Catalyst
22,Catalyst
23,None
25,None
27,None
31,None
33,Break into Two
37,None
39,B Story
41,Break into Two
43,None
45,Fun and Games
47,None
50,B Story
52,B Story
53,None
55,Fun and Games
59,None
61,B Story
63,None
65,B Story
67,Midpoint
68,Bad Guys Close In
70,Bad Guys Close In
72,None
74,Fun and Games
76,None
79,B Story
81,Bad Guys Close In
83,B Story
85,None
86,None
88,All Is Lost
90,Finale
94,Finale
96,Finale
98,B Story
99,B Story
100,Finale
102,Finale
104,Finale
105,Final Image
