,0
1,Opening Image
2,Set-Up
3,Set-Up
4,Set-Up
6,Set-Up
7,Set-Up
9,Theme Stated
10,Set-Up
11,Set-Up
13,Set-Up
14,Set-Up
15,Set-Up
16,Set-Up
17,Set-Up
18,Set-Up
19,Set-Up
20,Catalyst
21,Set-Up
22,Debate
23,Debate
24,Debate
25,Catalyst
26,Debate
27,Debate
28,Debate
29,Debate
30,Debate
31,Break into Two
32,B Story
33,B Story
34,B Story
35,B Story
36,B Story
37,B Story
38,B Story
39,B Story
40,B Story
41,B Story
42,B Story
43,B Story
45,Fun and Games
46,B Story
47,B Story
48,B Story
49,B Story
50,B Story
51,B Story
52,B Story
54,B Story
56,B Story
57,B Story
59,B Story
60,B Story
61,B Story
62,Midpoint
63,Midpoint
64,Bad Guys Close In
66,Bad Guys Close In
67,Bad Guys Close In
68,Bad Guys Close In
69,Bad Guys Close In
70,Bad Guys Close In
71,Bad Guys Close In
72,Fun and Games
73,Bad Guys Close In
74,Bad Guys Close In
75,Bad Guys Close In
76,Bad Guys Close In
77,Bad Guys Close In
78,Bad Guys Close In
79,Bad Guys Close In
80,Bad Guys Close In
81,Break into Three
82,Dark Night of the Soul
83,All Is Lost
84,Dark Night of the Soul
85,Dark Night of the Soul
86,Dark Night of the Soul
87,Finale
88,Finale
89,Finale
90,Finale
91,Finale
92,Finale
93,Finale
95,Finale
99,Finale
100,Finale
101,Finale
103,Finale
104,Finale
105,Finale
106,Finale
107,Finale
109,Final Image
