,0
1,Opening Image
3,Opening Image
4,Opening Image
5,Set-Up
6,Set-Up
8,Set-Up
9,Theme Stated
12,Set-Up
13,Set-Up
14,Set-Up
15,Set-Up
16,Set-Up
18,Set-Up
19,Set-Up
20,Set-Up
21,Catalyst
22,Set-Up
23,Set-Up
24,Catalyst
25,Debate
26,None
27,None
28,None
29,Debate
30,Debate
31,None
32,Debate
33,None
34,Debate
35,Debate
36,Debate
37,Debate
38,None
39,Debate
40,Debate
41,None
42,None
43,None
44,None
45,None
46,None
47,None
48,B Story
49,B Story
50,Debate
52,Catalyst
53,Catalyst
54,B Story
55,B Story
56,Break into Two
57,Break into Two
58,Break into Two
59,Fun and Games
60,B Story
61,None
62,B Story
63,None
64,B Story
65,Fun and Games
66,Fun and Games
67,None
68,Fun and Games
69,Fun and Games
70,B Story
71,Fun and Games
72,Fun and Games
73,Fun and Games
74,Fun and Games
75,B Story
76,Fun and Games
77,B Story
78,B Story
79,Fun and Games
80,B Story
81,B Story
82,B Story
83,B Story
84,B Story
85,Midpoint
86,Fun and Games
87,None
88,Fun and Games
89,None
90,Fun and Games
91,None
92,Fun and Games
93,None
94,Fun and Games
95,Fun and Games
96,Bad Guys Close In
97,Fun and Games
98,Fun and Games
100,Fun and Games
102,None
103,Bad Guys Close In
104,Fun and Games
105,Fun and Games
106,Fun and Games
107,B Story
108,Bad Guys Close In
109,Bad Guys Close In
110,None
111,Bad Guys Close In
112,Bad Guys Close In
113,Bad Guys Close In
114,All Is Lost
116,Dark Night of the Soul
117,Dark Night of the Soul
118,None
119,None
120,None
121,Dark Night of the Soul
122,Bad Guys Close In
123,None
124,All Is Lost
125,All Is Lost
126,All Is Lost
127,None
128,Break into Three
129,Break into Three
130,Break into Three
131,Dark Night of the Soul
132,Break into Three
134,Break into Three
135,None
136,Break into Three
138,Break into Three
139,Break into Three
140,Finale
141,Finale
143,None
145,Finale
147,Finale
150,Finale
152,Finale
154,Finale
155,Finale
156,Finale
157,Finale
158,Finale
159,Finale
160,Finale
161,Finale
162,Finale
163,Finale
164,Finale
165,Final Image
167,Final Image
