,0
0,Opening Image
1,Opening Image
4,Theme Stated
5,None
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,None
16,Catalyst
18,None
19,Catalyst
20,Debate
21,None
22,Debate
23,Debate
24,Debate
25,Debate
27,None
28,None
29,Debate
30,Debate
31,Break into Two
32,Debate
33,B Story
34,B Story
35,B Story
36,B Story
37,B Story
38,B Story
39,B Story
40,None
41,B Story
42,Fun and Games
43,Fun and Games
44,Fun and Games
45,Fun and Games
46,Fun and Games
48,None
49,Fun and Games
50,B Story
51,Fun and Games
52,B Story
53,Fun and Games
54,B Story
55,B Story
56,B Story
58,None
59,B Story
60,B Story
61,B Story
63,Midpoint
65,None
66,Fun and Games
67,Fun and Games
68,B Story
69,B Story
70,B Story
71,None
72,Fun and Games
73,None
74,None
75,None
76,None
77,Bad Guys Close In
78,Bad Guys Close In
79,Bad Guys Close In
80,Bad Guys Close In
81,None
82,Fun and Games
83,Fun and Games
84,Fun and Games
85,Bad Guys Close In
86,B Story
87,Bad Guys Close In
88,None
89,None
90,None
91,None
92,None
94,None
95,None
96,None
98,None
99,Bad Guys Close In
100,None
101,None
103,None
104,None
105,None
106,None
107,Fun and Games
108,None
109,Finale
110,Finale
111,Bad Guys Close In
112,None
113,All Is Lost
114,Dark Night of the Soul
116,None
117,None
118,None
119,Finale
120,None
121,None
122,None
123,None
124,None
125,Finale
127,Finale
128,Finale
129,Finale
130,Finale
131,None
132,Finale
133,Final Image
134,Final Image
