,0
1,Opening Image
2,Opening Image
3,Opening Image
4,Opening Image
5,Opening Image
6,Opening Image
7,Opening Image
8,Set-Up
10,Theme Stated
14,Set-Up
18,None
20,Set-Up
21,Set-Up
22,Set-Up
24,Set-Up
25,Set-Up
27,Set-Up
28,Set-Up
29,Set-Up
30,Set-Up
31,Set-Up
32,Set-Up
33,None
34,Set-Up
37,Set-Up
40,Set-Up
42,Set-Up
43,Set-Up
44,Set-Up
45,Catalyst
46,Catalyst
47,Catalyst
48,Catalyst
49,Debate
50,Debate
51,Debate
52,Debate
53,Debate
54,Debate
55,Debate
57,None
59,Debate
60,Debate
61,None
62,None
63,None
64,Debate
66,None
67,B Story
69,None
70,None
71,None
72,None
73,B Story
74,B Story
76,None
77,B Story
79,B Story
80,Fun and Games
81,Fun and Games
83,None
84,None
85,None
86,None
88,None
90,Fun and Games
92,B Story
94,None
96,Fun and Games
97,None
99,B Story
100,None
101,B Story
102,B Story
103,B Story
104,B Story
105,B Story
106,B Story
107,B Story
108,B Story
109,None
110,None
111,None
112,None
113,Fun and Games
114,Fun and Games
115,Fun and Games
116,Fun and Games
117,Fun and Games
118,Fun and Games
119,B Story
120,B Story
121,B Story
123,None
124,Fun and Games
126,Fun and Games
127,B Story
128,Midpoint
129,None
132,None
133,None
134,Midpoint
135,None
137,Midpoint
138,None
140,Bad Guys Close In
141,None
142,Bad Guys Close In
143,All Is Lost
145,None
146,None
148,B Story
149,B Story
153,None
154,None
155,None
156,None
157,None
158,None
159,None
160,None
161,None
162,None
163,None
164,None
165,Dark Night of the Soul
166,None
167,Break into Three
168,None
169,None
170,None
171,None
172,None
173,Break into Three
174,None
175,Break into Three
176,None
177,Finale
178,Finale
180,None
181,Finale
182,None
183,None
185,None
186,None
187,None
189,Finale
190,Finale
191,Finale
194,Finale
195,Finale
198,Finale
201,None
203,Finale
207,Finale
208,Finale
209,Finale
210,Finale
211,Finale
213,Finale
214,Finale
216,Finale
218,Final Image
220,Final Image
