,0
0,Opening Image
1,Theme Stated
3,Set-Up
4,Set-Up
5,None
8,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
16,None
18,Set-Up
20,Set-Up
26,Set-Up
28,None
29,Catalyst
31,Catalyst
34,Debate
35,Catalyst
36,Catalyst
37,Catalyst
38,None
40,Set-Up
41,Set-Up
42,Set-Up
43,Debate
44,Debate
45,Catalyst
46,Debate
47,Break into Two
48,Break into Two
49,B Story
50,None
51,None
52,Break into Two
53,Break into Two
54,B Story
55,B Story
56,None
57,B Story
58,None
59,B Story
60,B Story
61,B Story
62,B Story
63,B Story
64,B Story
65,B Story
66,B Story
67,B Story
69,B Story
70,B Story
72,B Story
74,B Story
75,B Story
76,None
78,B Story
80,Midpoint
81,Bad Guys Close In
82,Bad Guys Close In
83,Bad Guys Close In
84,Bad Guys Close In
86,None
87,Fun and Games
88,Fun and Games
89,B Story
90,Bad Guys Close In
91,None
93,Bad Guys Close In
94,Fun and Games
95,Fun and Games
96,Fun and Games
97,B Story
98,B Story
99,None
100,Midpoint
101,B Story
102,Bad Guys Close In
103,Bad Guys Close In
104,Fun and Games
105,B Story
106,B Story
107,None
108,None
109,Bad Guys Close In
110,Bad Guys Close In
111,None
112,None
113,None
114,B Story
115,None
116,Fun and Games
119,None
122,B Story
123,B Story
124,None
125,B Story
126,B Story
128,B Story
129,B Story
131,B Story
132,B Story
134,B Story
135,None
136,None
137,None
138,None
139,B Story
140,None
142,None
144,B Story
145,B Story
146,Bad Guys Close In
147,B Story
148,Fun and Games
149,B Story
151,Fun and Games
152,None
153,B Story
154,Fun and Games
155,B Story
158,Fun and Games
159,Fun and Games
160,B Story
161,B Story
164,Fun and Games
165,None
166,None
167,B Story
168,Finale
169,Bad Guys Close In
170,Bad Guys Close In
171,None
172,None
173,B Story
174,Bad Guys Close In
175,None
176,Bad Guys Close In
177,Bad Guys Close In
179,None
180,B Story
182,B Story
183,All Is Lost
184,B Story
185,None
187,B Story
188,B Story
189,B Story
191,B Story
192,B Story
193,B Story
194,Break into Three
195,None
198,Finale
199,Finale
200,Finale
201,Finale
202,Finale
203,Finale
204,None
205,None
207,Finale
208,None
209,Finale
210,Finale
211,Finale
212,Finale
213,Finale
214,Final Image
216,Final Image
