,0
1,Opening Image
2,Opening Image
4,Opening Image
7,Opening Image
8,Opening Image
9,Opening Image
10,Opening Image
11,Theme Stated
12,Set-Up
13,Theme Stated
15,Set-Up
16,Set-Up
17,Set-Up
19,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
23,Set-Up
24,Set-Up
25,Set-Up
26,Catalyst
27,Catalyst
28,Set-Up
29,Set-Up
30,Set-Up
31,Set-Up
33,Set-Up
34,Set-Up
36,Set-Up
37,Set-Up
38,Set-Up
39,Set-Up
40,Catalyst
41,Set-Up
42,Debate
43,Catalyst
44,Set-Up
45,Set-Up
47,Fun and Games
49,Fun and Games
50,None
51,Set-Up
52,Catalyst
53,Debate
54,Catalyst
55,Break into Two
57,Debate
58,Debate
59,Debate
60,Debate
61,Debate
62,Break into Two
63,Break into Two
64,Break into Two
66,Break into Two
67,Fun and Games
71,Break into Two
72,Fun and Games
73,Break into Two
74,Fun and Games
75,Fun and Games
76,B Story
77,B Story
78,B Story
79,Fun and Games
80,B Story
81,Midpoint
82,Fun and Games
84,Midpoint
85,Midpoint
86,Midpoint
87,Bad Guys Close In
88,Midpoint
89,Midpoint
90,Bad Guys Close In
92,Bad Guys Close In
94,Bad Guys Close In
95,Bad Guys Close In
96,Bad Guys Close In
97,Bad Guys Close In
98,Bad Guys Close In
99,Midpoint
101,Midpoint
102,Midpoint
103,Midpoint
105,Midpoint
106,Midpoint
107,Midpoint
108,Bad Guys Close In
109,Fun and Games
110,Fun and Games
111,Fun and Games
112,Bad Guys Close In
114,Bad Guys Close In
115,Midpoint
116,None
117,Bad Guys Close In
119,Bad Guys Close In
120,Bad Guys Close In
121,Bad Guys Close In
122,Bad Guys Close In
123,Dark Night of the Soul
124,All Is Lost
125,All Is Lost
126,All Is Lost
128,All Is Lost
129,All Is Lost
131,All Is Lost
133,None
134,Dark Night of the Soul
136,Dark Night of the Soul
137,Dark Night of the Soul
138,Dark Night of the Soul
139,Break into Three
140,Break into Three
141,Break into Three
142,Break into Three
144,Break into Three
145,Finale
147,Finale
148,Finale
150,Finale
151,Finale
152,Finale
153,Finale
154,Finale
155,Finale
156,Finale
157,Finale
158,Finale
159,Finale
160,Finale
161,Finale
162,Finale
163,Finale
164,Final Image
