,0
1,Opening Image
2,Opening Image
3,Opening Image
4,Opening Image
5,Opening Image
7,Opening Image
8,Opening Image
9,Opening Image
10,Opening Image
11,Set-Up
12,Set-Up
13,Catalyst
15,Catalyst
16,Theme Stated
17,Set-Up
19,Debate
20,None
21,None
22,Theme Stated
23,Debate
24,Debate
25,Break into Two
26,Set-Up
27,Debate
29,Set-Up
30,B Story
31,None
32,Set-Up
33,Fun and Games
34,Fun and Games
35,Fun and Games
36,Fun and Games
37,Break into Two
38,Break into Two
39,Fun and Games
40,Fun and Games
41,Fun and Games
42,Fun and Games
43,None
44,B Story
46,B Story
47,B Story
48,B Story
49,B Story
50,Fun and Games
51,Fun and Games
52,Midpoint
53,B Story
54,Fun and Games
55,Fun and Games
56,Fun and Games
57,Fun and Games
58,Fun and Games
59,B Story
60,B Story
61,B Story
62,B Story
63,B Story
64,Fun and Games
65,Fun and Games
66,Fun and Games
68,Midpoint
69,Fun and Games
70,Midpoint
71,Bad Guys Close In
73,Bad Guys Close In
75,Bad Guys Close In
77,Bad Guys Close In
78,Bad Guys Close In
79,Fun and Games
80,None
81,Bad Guys Close In
82,All Is Lost
83,All Is Lost
84,Bad Guys Close In
85,All Is Lost
87,All Is Lost
88,None
89,B Story
91,Break into Three
92,Finale
93,Bad Guys Close In
94,Finale
95,Dark Night of the Soul
96,Dark Night of the Soul
97,Finale
98,Finale
99,Finale
100,Dark Night of the Soul
101,Dark Night of the Soul
103,Dark Night of the Soul
104,Dark Night of the Soul
105,Finale
106,Finale
107,Finale
108,Finale
109,Finale
110,Final Image
