,0
0,Opening Image
1,Opening Image
2,Opening Image
3,Opening Image
4,Theme Stated
5,Set-Up
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
11,Catalyst
13,Set-Up
14,Set-Up
15,None
16,Debate
17,Break into Two
18,None
19,None
20,Set-Up
22,None
23,None
24,Set-Up
25,None
26,Fun and Games
28,Fun and Games
29,Debate
30,Fun and Games
31,Fun and Games
33,Fun and Games
34,Break into Two
35,None
36,B Story
37,B Story
38,B Story
39,B Story
40,B Story
41,Fun and Games
42,Fun and Games
43,Fun and Games
44,Fun and Games
45,Fun and Games
46,B Story
47,None
48,Fun and Games
49,B Story
50,None
52,B Story
53,B Story
54,Fun and Games
55,Fun and Games
56,B Story
57,Fun and Games
58,Fun and Games
59,B Story
60,B Story
61,B Story
63,None
65,Fun and Games
66,Midpoint
67,Bad Guys Close In
69,Bad Guys Close In
71,None
73,Bad Guys Close In
74,Bad Guys Close In
75,Bad Guys Close In
77,Bad Guys Close In
78,Bad Guys Close In
79,Bad Guys Close In
80,Bad Guys Close In
81,Bad Guys Close In
82,Bad Guys Close In
83,None
84,Bad Guys Close In
85,Bad Guys Close In
86,None
87,All Is Lost
89,None
90,All Is Lost
91,None
92,Dark Night of the Soul
93,All Is Lost
94,Dark Night of the Soul
96,Dark Night of the Soul
97,Dark Night of the Soul
98,Dark Night of the Soul
99,Dark Night of the Soul
100,Dark Night of the Soul
101,Dark Night of the Soul
102,Dark Night of the Soul
103,Dark Night of the Soul
105,Dark Night of the Soul
106,Finale
107,Finale
108,None
109,Finale
111,Finale
112,Finale
113,Finale
114,None
115,Finale
116,Finale
117,Finale
118,None
120,Finale
121,Finale
122,Finale
123,Finale
124,Final Image
125,Final Image
126,Final Image
