,0
2,Theme Stated
3,Set-Up
4,Set-Up
5,Set-Up
8,Set-Up
9,Set-Up
10,Set-Up
11,Set-Up
12,Set-Up
13,Set-Up
14,Set-Up
15,Catalyst
16,Catalyst
17,Debate
18,Set-Up
19,Set-Up
20,Break into Two
21,None
22,None
23,None
24,Debate
25,None
27,Debate
29,Fun and Games
30,Fun and Games
31,Fun and Games
32,B Story
33,B Story
34,B Story
35,B Story
36,B Story
37,B Story
38,B Story
39,Fun and Games
40,Fun and Games
41,Fun and Games
42,Fun and Games
44,B Story
46,B Story
47,B Story
48,B Story
49,B Story
50,None
51,Midpoint
52,None
53,Fun and Games
54,Fun and Games
55,Fun and Games
56,None
57,Midpoint
58,Midpoint
59,Bad Guys Close In
60,Bad Guys Close In
61,Bad Guys Close In
63,Bad Guys Close In
64,Bad Guys Close In
65,Bad Guys Close In
66,All Is Lost
67,All Is Lost
69,All Is Lost
70,Bad Guys Close In
71,Bad Guys Close In
72,Dark Night of the Soul
73,Dark Night of the Soul
74,Dark Night of the Soul
75,Dark Night of the Soul
76,Dark Night of the Soul
77,Break into Three
78,Break into Three
79,Break into Three
81,None
83,None
84,Finale
85,Finale
87,Finale
88,Finale
89,Finale
90,Finale
91,Finale
92,Finale
94,Finale
95,Finale
96,Finale
98,Finale
101,Finale
102,Finale
103,Finale
104,Finale
107,Finale
109,Finale
111,Finale
112,Final Image
113,None
