,start,end
0,0.0,213.171
1,218.76,228.854
2,240.782,240.782
3,282.616,282.616
4,313.563,355.855
5,367.075,406.114
6,413.747,432.599
7,438.605,460.168
8,464.089,513.012
9,544.878,557.599
11,615.49,632.465
12,635.426,663.037
13,669.043,676.551
14,684.225,684.225
15,728.895,761.678
16,771.771,789.872
17,799.549,839.005
18,843.926,843.926
19,863.654,863.654
20,873.998,891.808
21,908.991,944.318
22,948.739,990.573
23,1007.381,1058.224
24,1077.076,1160.618
25,1172.338,1172.505
26,1198.03,1229.186
27,1234.024,1234.024
28,1252.084,1268.309
30,1366.949,1392.975
31,1400.816,1400.816
32,1454.37,1460.459
33,1464.838,1549.339
34,1557.306,1559.057
35,1570.277,1593.8
36,1601.433,1601.433
37,1623.413,1674.798
38,1679.97,1704.036
39,1720.01,1720.01
40,1828.285,1964.296
41,1967.257,1975.557
42,2005.921,2035.825
43,2052.175,2052.175
44,2082.247,2134.883
45,2155.028,2214.17
46,2221.886,2226.307
47,2261.843,2267.64
48,2290.246,2290.246
49,2363.319,2363.319
50,2389.387,2445.693
51,2462.835,2462.835
52,2485.024,2485.024
54,2622.161,2622.161
55,2653.067,2668.249
56,2694.15,2710.583
57,2713.085,2765.805
58,2771.811,2803.217
59,2827.867,2836.75
60,2878.876,2995.743
61,3001.332,3023.187
62,3025.689,3060.14
63,3082.204,3110.19
64,3122.453,3155.652
67,3249.997,3328.158
68,3341.797,3384.006
69,3397.31,3439.394
70,3458.038,3505.919
71,3523.895,3579.534
74,3744.908,3781.528
77,3939.644,3984.939
78,4021.559,4035.656
79,4082.703,4135.423
81,4180.176,4216.379
82,4233.187,4242.905
83,4277.106,4277.106
84,4304.383,4315.269
85,4316.437,4375.287
86,4377.581,4460.289
87,4471.55,4471.55
88,4498.869,4524.436
89,4559.722,4594.715
90,4599.47,4618.155
91,4630.626,4650.354
92,4653.941,4707.453
95,4867.738,4914.743
96,4979.474,5029.399
99,5173.793,5182.135
100,5196.066,5224.219
101,5227.055,5286.656
102,5297.167,5363.775
103,5379.499,5379.499
104,5434.345,5445.106
105,5448.943,5500.787
106,5506.125,5518.346
109,5602.68,5618.863
110,5667.495,5678.506
111,5703.865,5703.865
112,5728.055,5752.371
113,5759.504,5793.454
114,5796.582,5847.049
115,5849.093,5876.954
116,5889.383,5889.383
117,5943.938,5967.878
118,5972.842,5972.842
