,start,end
1,209.84,364.72
2,405.24,411.96
3,418.76,435.4
5,460.2,485.88
6,490.24,490.24
7,498.2,523.4
8,525.84,525.84
9,539.12,545.92
10,552.76,563.76
11,573.76,581.2
12,585.64,585.64
13,594.88,594.88
14,613.32,635.28
15,652.44,701.6
16,710.04,731.6
17,736.64,751.44
18,753.8,782.8
19,784.04,800.32
20,807.44,828.64
21,836.52,880.2
22,885.36,894.28
23,897.96,906.64
24,912.48,912.48
25,922.72,940.4
26,956.84,956.84
27,962.32,987.64
28,991.32,991.32
29,998.16,998.16
30,1001.24,1012.12
31,1015.08,1022.64
32,1040.04,1040.04
33,1048.08,1063.16
34,1067.24,1074.0
35,1082.32,1112.92
36,1115.16,1182.12
37,1184.76,1200.56
38,1203.04,1203.04
39,1252.08,1252.08
40,1274.6,1279.88
41,1299.8,1323.12
42,1330.44,1330.44
43,1336.4,1368.2
44,1424.92,1424.92
45,1438.04,1462.16
46,1474.6,1491.2
48,1585.92,1663.68
50,1679.28,1709.6
51,1728.08,1740.24
52,1752.64,1835.96
55,1955.28,2047.68
56,2051.76,2190.36
57,2225.08,2238.88
59,2259.52,2259.52
60,2265.88,2274.36
61,2302.92,2302.92
63,2343.92,2343.92
65,2384.6,2461.12
66,2462.56,2504.84
67,2508.48,2508.48
68,2539.6,2630.56
69,2634.96,2675.0
70,2687.44,2701.28
71,2726.56,2792.96
72,2818.36,2955.64
73,2972.68,3003.36
74,3021.08,3114.4
75,3116.12,3133.08
76,3143.48,3166.8
77,3169.64,3186.92
78,3189.36,3202.64
80,3276.48,3306.4
81,3338.16,3354.6
82,3370.8,3370.8
83,3415.04,3429.88
84,3433.32,3499.68
87,3601.76,3670.12
88,3683.72,3727.36
89,3731.36,3788.08
90,3798.44,3827.24
91,3832.56,3866.4
92,3868.6,3897.44
93,3904.24,3925.48
94,3928.52,3989.24
95,3995.88,4013.56
96,4022.48,4061.12
97,4075.08,4188.96
98,4192.12,4327.12
99,4335.56,4438.08
100,4443.84,4544.16
101,4551.36,4596.4
102,4603.04,4651.6
104,4684.04,4745.72
105,4752.12,4795.64
107,4828.16,4872.84
108,4880.52,4983.08
109,4990.6,5003.48
110,5010.76,5048.56
111,5066.04,5124.48
114,5264.72,5279.44
115,5284.36,5302.56
116,5306.76,5334.56
117,5338.28,5338.28
118,5353.28,5353.28
119,5362.68,5362.68
120,5367.04,5417.52
121,5423.24,5457.84
122,5471.12,5471.12
123,5517.08,5517.08
124,5548.6,5561.08
125,5577.76,5630.2
126,5684.72,5750.4
127,5777.32,5835.32
128,5837.72,5852.04
129,5864.48,5946.48
130,5948.8,6025.16
131,6037.44,6056.8
132,6059.44,6059.44
133,6089.8,6127.48
134,6139.92,6180.96
135,6185.04,6267.2
136,6273.96,6336.92
137,6342.24,6366.52
138,6378.2,6450.68
139,6460.68,6518.44
140,6540.32,6555.4
141,6560.32,6641.32
142,6656.36,6656.36
143,6689.44,6699.64
144,6718.6,6781.72
145,6794.6,6800.32
146,6852.6,6908.08
147,6946.68,7051.52
148,7071.04,7089.44
149,7103.44,7176.8
150,7186.32,7199.64
151,7203.08,7203.08
152,7221.48,7247.96
153,7267.2,7493.8
154,7498.2,7600.48
155,7610.16,7637.76
156,7645.32,7689.24
157,7719.32,7800.8
158,7814.72,7950.4
159,7952.56,8002.52
160,8013.76,8021.2
161,8026.6,8026.6
162,8056.32,8069.8
163,8078.96,8105.6
164,8139.4,8202.0
165,8205.84,8348.0
166,8350.76,8362.92
167,8370.92,8402.76
168,8429.84,8527.52
169,8637.24,8753.32
170,8765.64,8804.56
172,8829.76,8854.16
173,8880.08,8895.16
174,8897.0,8933.76
175,8942.88,8999.84
176,9003.24,9036.48
178,9061.52,9065.12
179,9074.92,9082.12
181,9088.44,9088.44
183,9112.44,9135.36
185,9150.0,9150.0
186,9158.28,9163.08
187,9168.64,9168.64
188,9172.4,9179.52
189,9183.08,9187.56
191,9206.68,9206.68
192,9213.48,9216.08
193,9218.32,9223.32
194,9224.08,9224.08
195,9225.6,9230.8
196,9234.72,9234.72
197,9236.24,9247.12
198,9250.52,9254.08
199,9255.92,9255.92
200,9259.8,9267.92
201,9274.48,9280.04
203,9288.4,9288.4
204,9292.72,9355.24
205,9363.04,9363.04
206,9372.16,9445.76
207,9451.6,9612.52
208,9641.08,9669.52
209,9678.2,9712.2
210,9724.8,9782.76
211,9789.72,9887.0
212,9896.08,9929.24
