,start,end
2,109.526,136.72
3,143.894,143.894
4,150.859,150.859
5,168.877,237.863
6,248.832,248.832
7,259.217,307.682
8,310.519,345.053
9,347.347,347.347
10,367.2,406.948
11,409.409,460.502
12,465.256,486.069
13,509.175,522.272
14,532.282,569.569
15,575.116,628.92
16,630.255,646.312
17,655.154,662.161
18,667.0,694.444
19,698.156,748.748
20,757.173,792.375
21,797.672,827.243
22,834.0,834.0
23,851.976,851.976
24,863.571,863.571
25,873.998,873.998
26,886.761,944.11
27,947.989,1013.346
28,1031.239,1074.49
29,1088.796,1145.269
30,1147.313,1195.861
31,1200.074,1230.98
32,1232.982,1263.053
33,1267.349,1308.641
34,1315.523,1359.108
35,1361.527,1385.092
36,1387.094,1420.544
37,1428.677,1498.747
39,1506.964,1506.964
40,1519.893,1557.681
41,1569.359,1571.779
42,1581.997,1586.835
43,1600.224,1612.361
44,1618.242,1636.927
45,1643.475,1662.828
46,1663.412,1672.629
47,1679.178,1682.806
48,1699.239,1723.597
49,1737.319,1798.422
50,1802.134,1811.143
51,1823.196,1831.913
52,1836.043,1875.207
53,1883.548,1916.373
54,1923.004,1968.758
55,1970.26,2042.958
56,2047.671,2113.778
57,2118.908,2146.311
58,2149.522,2199.656
59,2201.574,2248.705
60,2260.675,2336.167
61,2355.436,2355.436
62,2376.916,2484.649
63,2488.194,2518.975
64,2523.98,2569.484
65,2575.99,2618.991
66,2620.409,2656.821
67,2659.949,2724.096
68,2732.021,2777.9
69,2779.276,2830.745
70,2833.247,2847.303
71,2851.724,2925.798
72,2929.552,2976.557
73,2982.396,3002.041
74,3014.011,3080.911
75,3085.916,3107.438
76,3109.273,3190.104
77,3193.857,3230.227
79,3234.273,3245.492
82,3254.96,3264.052
83,3271.31,3294.166
85,3312.559,3317.689
86,3319.65,3342.84
87,3344.299,3352.683
88,3355.561,3419.958
89,3423.92,3435.307
90,3436.975,3462.417
92,3488.819,3490.529
94,3504.584,3557.846
96,3565.479,3612.192
97,3616.738,3658.738
98,3664.16,3664.16
99,3688.977,3693.273
100,3706.369,3725.847
101,3729.517,3748.912
102,3752.707,3773.436
103,3777.357,3784.322
105,3789.661,3801.214
106,3803.883,3807.637
107,3808.805,3853.975
108,3872.077,3882.212
109,3884.089,3893.556
110,3910.532,3922.836
111,3927.757,3981.853
112,3989.944,3992.197
113,4016.638,4035.532
114,4042.08,4060.723
115,4063.935,4106.06
116,4112.567,4166.329
117,4169.04,4184.889
118,4192.814,4239.777
119,4246.617,4307.22
120,4308.846,4327.698
121,4336.749,4395.141
122,4398.978,4510.548
123,4513.718,4594.381
124,4603.849,4637.174
125,4640.928,4669.415
126,4670.624,4693.772
128,4698.027,4707.661
129,4713.417,4741.07
130,4743.28,4752.373
131,4760.506,4861.982
132,4865.694,4884.004
133,4886.465,4935.389
135,4942.688,4987.774
136,5015.385,5047.918
137,5056.551,5068.063
138,5072.442,5090.502
139,5095.924,5121.95
140,5137.424,5187.557
142,5210.414,5210.414
143,5222.3,5222.3
144,5226.638,5251.663
145,5254.249,5282.944
146,5284.196,5305.717
147,5312.766,5360.313
148,5374.452,5378.081
149,5382.544,5397.934
150,5400.437,5400.437
151,5432.218,5443.313
152,5451.529,5498.159
153,5512.257,5530.358
154,5533.486,5568.897
155,5572.567,5606.851
156,5619.239,5628.665
157,5631.709,5664.534
158,5667.162,5687.599
159,5707.744,5723.301
160,5733.311,5788.491
161,5792.328,5792.328
162,5801.004,5801.004
163,5813.516,5844.881
164,5848.509,5863.733
165,5870.615,5890.76
166,5896.349,5913.95
167,5915.868,5937.765
168,5944.939,5944.939
169,5962.331,5969.755
170,5973.009,5997.158
171,6004.123,6019.847
172,6026.437,6026.437
173,6031.776,6037.698
174,6040.826,6062.348
175,6078.906,6081.826
176,6084.453,6109.353
177,6111.355,6138.591
178,6140.092,6177.63
179,6181.717,6201.821
180,6205.991,6234.895
181,6238.774,6264.8
182,6267.97,6298.751
183,6301.42,6364.316
184,6372.032,6451.779
185,6460.663,6508.252
186,6512.84,6532.276
187,6549.376,6571.315
189,6644.721,6677.754
190,6680.799,6710.162
191,6715.918,6723.008
192,6725.26,6738.065
193,6742.486,6759.086
194,6762.13,6769.179
195,6775.435,6794.162
196,6796.164,6830.49
197,6837.164,6847.049
198,6854.681,6885.629
199,6888.423,6918.12
200,6919.538,6938.098
201,6939.516,6969.671
202,6970.922,7017.844
203,7020.305,7066.351
204,7068.478,7102.929
205,7105.515,7137.297
206,7142.427,7147.682
208,7164.908,7183.301
209,7185.637,7189.599
210,7191.476,7206.116
211,7209.411,7225.385
212,7226.469,7231.099
213,7232.475,7234.561
214,7238.523,7249.075
215,7252.37,7261.171
216,7270.221,7273.6
217,7276.644,7310.512
218,7332.2,7332.2
219,7381.124,7405.69
220,7407.358,7445.271
221,7452.987,7512.505
222,7520.596,7562.013
223,7579.572,7615.066
224,7617.735,7715.082
225,7744.612,7744.612
226,7749.325,7818.019
227,7819.687,7849.3
