,start,end
1,113.739,120.829
3,145.937,230.856
4,235.902,240.073
5,245.12,283.492
6,285.243,348.682
7,355.272,420.712
8,426.635,483.233
9,487.445,523.148
10,525.358,588.046
12,607.023,631.464
13,638.68,687.145
14,689.689,702.368
15,707.04,747.246
16,750.083,843.426
17,846.929,908.491
18,910.368,910.368
19,948.239,978.477
21,1008.549,1026.192
22,1037.411,1122.621
23,1132.256,1165.414
24,1173.839,1295.461
25,1296.837,1318.734
27,1349.431,1401.025
28,1414.913,1453.41
30,1471.345,1471.345
31,1489.446,1505.379
32,1510.008,1564.104
33,1566.774,1610.15
34,1617.533,1742.616
35,1746.37,1779.861
37,1791.748,1794.126
38,1813.562,1835.417
39,1863.528,1881.088
40,1886.176,1918.834
41,1923.338,1958.123
42,1965.463,1985.734
43,1994.784,2004.586
44,2009.174,2031.238
45,2040.413,2071.194
46,2072.112,2117.032
47,2124.372,2130.295
49,2143.058,2180.72
50,2189.562,2189.562
52,2213.294,2216.339
53,2218.174,2268.808
54,2270.727,2303.718
56,2307.639,2310.892
58,2321.277,2339.838
60,2343.174,2358.439
62,2363.653,2396.06
63,2396.811,2401.774
64,2403.693,2403.693
65,2414.621,2433.681
66,2436.976,2452.533
68,2478.267,2547.462
69,2550.465,2550.465
70,2611.776,2611.776
71,2644.1,2663.578
74,2703.075,2719.55
75,2723.054,2763.886
76,2768.015,2768.599
77,2771.602,2771.602
78,2797.503,2797.503
79,2826.532,2846.218
80,2850.848,2863.194
82,2868.866,2878.751
83,2884.715,2923.462
84,2935.474,3012.801
85,3021.727,3037.326
86,3039.787,3073.195
87,3075.322,3086.375
88,3093.09,3117.948
89,3119.867,3134.715
90,3136.717,3140.929
91,3160.324,3160.324
92,3175.422,3184.014
93,3193.44,3218.006
94,3220.05,3264.011
95,3271.727,3271.727
96,3285.532,3291.705
97,3300.631,3316.355
98,3323.07,3337.125
99,3355.894,3364.319
100,3367.864,3367.864
101,3389.136,3431.345
102,3433.93,3486.692
103,3496.326,3496.326
104,3497.869,3538.66
105,3544.041,3572.652
106,3578.2,3607.771
107,3614.11,3639.886
108,3641.263,3645.433
110,3650.522,3655.694
111,3657.696,3675.589
112,3676.673,3680.385
113,3681.177,3686.141
114,3687.475,3712.792
116,3721.718,3738.568
117,3741.905,3749.996
118,3756.086,3756.086
119,3781.987,3802.007
120,3804.718,3919.624
121,3929.384,3993.948
122,3999.412,4055.301
123,4058.68,4123.619
124,4126.497,4137.633
125,4140.553,4158.988
126,4188.226,4201.572
127,4204.992,4233.146
129,4256.085,4283.07
130,4288.117,4303.925
132,4315.686,4364.527
133,4368.072,4383.004
135,4414.327,4518.222
136,4523.978,4557.303
139,4588.292,4612.066
140,4615.11,4701.03
142,4707.703,4718.672
144,4735.105,4740.986
145,4742.863,4762.716
146,4763.968,4786.865
148,4792.329,4814.226
150,4827.906,4850.763
151,4854.058,4854.058
153,4882.044,4882.044
154,4923.919,4948.986
155,4968.38,4968.38
156,4979.892,4988.567
158,5028.19,5051.213
160,5077.698,5091.92
161,5098.218,5128.29
162,5132.127,5151.188
163,5154.399,5164.159
164,5169.289,5175.253
165,5182.928,5204.408
166,5206.993,5209.871
167,5216.086,5226.972
168,5230.725,5269.765
169,5271.141,5279.107
170,5282.903,5297.542
171,5301.63,5479.975
172,5487.023,5522.642
174,5536.239,5544.205
176,5554.424,5574.527
177,5575.278,5585.413
179,5594.964,5608.478
180,5611.022,5617.821
181,5619.239,5621.866
182,5622.992,5624.661
184,5626.704,5690.184
185,5691.352,5696.733
187,5701.446,5711.873
189,5727.221,5758.044
190,5759.796,5767.595
191,5769.973,5780.525
192,5781.693,5781.693
193,5792.787,5798.751
194,5801.671,5822.608
195,5825.653,5825.653
196,5851.054,5860.688
198,5879.332,5912.99
199,5915.535,5923.292
201,5934.387,5944.897
202,5949.61,6016.636
203,6023.142,6037.99
204,6039.533,6072.733
206,6084.745,6086.08
207,6090.584,6109.061
208,6114.483,6169.747
209,6179.715,6211.58
210,6213.749,6221.048
211,6227.304,6337.498
212,6352.054,6413.782
214,6423.834,6536.113
215,6541.869,6572.858
216,6578.53,6638.465
217,6643.512,6717.419
218,6719.922,6743.028
220,6762.256,6797.666
222,6809.052,6849.634
223,6865.192,6938.348
224,6940.767,6972.674
225,6975.343,6987.105
226,6989.524,7008.585
227,7011.463,7039.074
228,7040.367,7075.402
229,7078.113,7101.72
230,7106.474,7139.299
232,7156.149,7181.132
233,7185.637,7218.837
