,start,end
1,29.905,29.905
2,65.065,65.065
3,103.186,103.186
4,120.871,155.364
6,166.875,194.486
10,274.733,295.42
14,323.949,349.057
17,407.324,436.811
20,464.214,473.848
21,478.103,515.473
22,520.937,539.622
23,566.483,578.036
24,581.956,611.069
25,612.487,626.584
26,630.672,649.816
27,655.572,676.092
28,683.266,724.14
29,725.85,740.031
30,741.574,760.468
31,764.097,814.939
32,819.318,885.134
34,913.371,962.003
35,964.589,975.725
36,1017.808,1037.245
37,1054.887,1084.0
38,1092.425,1092.425
39,1102.601,1127.835
40,1131.213,1169.96
41,1181.764,1223.973
42,1245.286,1274.273
43,1275.9,1315.064
44,1329.537,1344.051
45,1377.751,1406.947
46,1411.535,1435.601
47,1437.269,1470.594
48,1476.517,1551.842
50,1570.152,1598.68
52,1605.979,1636.385
53,1644.935,1735.692
54,1741.073,1741.073
56,1751.75,1775.983
57,1778.694,1778.694
59,1788.996,1788.996
60,1795.919,1830.787
61,1832.372,1865.739
62,1870.869,1958.832
63,1962.21,2008.757
64,2022.562,2084.082
65,2087.419,2185.1
66,2191.189,2238.57
67,2248.705,2331.037
68,2335.416,2358.356
70,2390.138,2410.992
71,2414.412,2474.764
72,2484.19,2505.878
73,2512.051,2545.418
74,2559.098,2614.862
75,2620.368,2680.72
77,2693.733,2771.102
78,2775.982,2805.177
79,2817.773,2823.07
80,2841.13,2874.038
81,2876.332,2892.807
82,2895.893,2895.893
83,2905.069,2905.069
85,2941.105,2987.651
86,2992.114,3040.12
87,3050.089,3103.35
88,3110.065,3152.566
89,3155.319,3202.908
90,3204.743,3228.559
91,3230.561,3286.867
93,3295.959,3340.045
94,3341.505,3381.712
95,3387.718,3434.723
97,3455.952,3464.461
98,3474.221,3474.221
99,3490.237,3542.706
100,3547.794,3613.068
102,3637.3,3637.3
103,3669.124,3689.853
104,3694.19,3694.19
105,3734.606,3770.642
106,3792.622,3808.638
107,3811.558,3845.967
108,3854.934,3854.934
109,3870.742,3870.742
110,3898.228,3911.324
111,3913.118,3913.118
113,3925.463,3995.325
115,4014.135,4014.135
116,4041.663,4094.424
118,4124.162,4124.162
119,4133.546,4146.184
120,4151.481,4153.107
121,4178.758,4191.187
123,4199.07,4200.446
124,4258.129,4275.897
125,4278.858,4283.613
126,4287.408,4296.959
127,4300.213,4322.652
128,4329.992,4415.786
129,4419.957,4427.048
130,4429.175,4475.429
131,4484.021,4566.896
132,4584.705,4638.968
133,4640.719,4725.763
134,4738.859,4833.037
136,4839.918,4839.918
137,4869.406,4940.018
138,4942.896,4959.538
140,4980.559,4980.559
142,5024.519,5024.519
143,5037.824,5095.132
145,5166.953,5213.792
146,5220.173,5223.135
148,5252.873,5252.873
149,5281.776,5281.776
150,5300.003,5315.852
152,5366.486,5453.657
153,5527.605,5582.452
154,5586.081,5644.764
155,5658.027,5673.459
156,5729.224,5763.091
157,5765.51,5778.606
159,5783.111,5823.693
160,5826.654,5864.484
161,5867.57,5928.089
162,5930.55,5962.248
163,5963.207,5995.74
164,6002.163,6088.916
165,6091.043,6117.862
166,6121.449,6123.242
167,6126.412,6140.968
168,6143.721,6162.99
169,6198.984,6249.201
170,6250.661,6304.548
171,6307.635,6342.002
172,6350.719,6416.869
173,6419.204,6511.964
174,6519.68,6564.892
176,6581.575,6581.575
177,6609.436,6609.436
178,6669.83,6738.69
179,6754.539,6816.184
180,6821.648,6821.648
182,6842.044,6861.646
183,6865.692,6963.29
