,start,end
1,57.182,67.609
3,74.533,95.512
5,106.606,111.486
7,141.016,141.016
9,158.909,176.259
10,183.225,235.068
11,236.445,270.687
12,271.605,345.22
14,367.576,378.336
15,391.683,441.441
17,473.056,481.439
20,519.352,532.198
21,540.749,562.896
22,564.397,579.037
24,586.211,620.411
25,622.622,629.129
27,657.907,701.326
28,704.078,740.615
29,744.869,770.728
30,772.397,785.91
33,852.31,882.298
35,894.018,903.778
37,915.123,915.123
39,934.934,936.644
40,941.44,955.079
42,990.865,990.865
43,998.706,1022.688
44,1027.318,1044.293
45,1046.337,1064.105
46,1066.023,1092.425
47,1095.386,1111.736
48,1113.779,1133.09
49,1135.426,1202.743
51,1209.792,1254.628
52,1263.637,1286.41
53,1291.457,1320.611
54,1326.659,1364.446
55,1366.031,1370.286
56,1371.537,1410.701
57,1416.54,1471.47
59,1514.263,1539.747
60,1542.791,1564.688
62,1585.959,1667.583
66,1755.087,1783.824
67,1785.409,1821.695
68,1830.746,1938.562
69,1941.314,1950.949
70,1957.956,1980.395
71,1985.233,2066.064
72,2072.195,2112.986
73,2116.99,2137.677
76,2174.381,2212.752
78,2222.762,2265.555
79,2268.475,2356.437
80,2357.939,2403.693
81,2413.244,2441.648
82,2446.402,2537.201
83,2541.289,2614.07
84,2617.156,2736.067
86,2747.787,2765.846
87,2767.807,2775.564
89,2787.076,2830.494
90,2833.873,2859.607
91,2862.026,2880.294
92,2887.051,2900.481
93,2905.402,2905.402
94,2925.548,2988.319
96,3002.458,3024.772
97,3028.15,3069.942
98,3081.37,3100.764
99,3102.266,3133.714
100,3136.717,3136.717
102,3170.334,3217.631
103,3221.051,3267.431
104,3274.438,3304.551
105,3308.305,3324.238
106,3327.157,3359.856
107,3360.44,3402.983
108,3403.859,3420.834
111,3446.151,3458.914
112,3460.874,3494.157
114,3504.543,3515.554
115,3518.557,3551.715
116,3554.551,3611.733
117,3616.863,3672.794
118,3675.964,3695.358
119,3697.861,3714.044
120,3724.471,3775.271
121,3780.235,3782.904
122,3815.02,3842.881
124,3851.848,3869.24
125,3874.037,3880.919
126,3883.421,3919.416
127,3924.087,3937.559
128,3938.601,3944.774
129,3952.949,3996.784
131,4010.048,4018.973
132,4021.601,4057.762
133,4060.974,4099.345
134,4101.889,4130.752
135,4136.924,4234.772
136,4244.907,4244.907
138,4291.12,4309.889
139,4311.224,4348.052
140,4351.18,4371.409
141,4375.037,4396.642
143,4414.035,4506.46
145,4510.089,4546.167
146,4552.131,4702.031
147,4704.658,4720.507
148,4724.386,4752.79
149,4754.583,4782.695
151,4789.743,4789.743
152,4803.09,4837.166
154,4843.839,4875.537
155,4881.835,5032.194
156,5038.7,5105.767
157,5110.814,5132.669
158,5137.007,5137.007
160,5153.065,5201.029
162,5212.374,5256.334
163,5261.131,5264.718
165,5300.337,5304.591
166,5306.218,5352.973
168,5363.567,5371.658
170,5386.298,5412.115
172,5420.54,5462.624
173,5466.586,5493.446
174,5494.864,5519.973
175,5525.228,5578.782
176,5583.536,5637.59
177,5638.925,5657.193
178,5659.07,5669.622
179,5675.42,5707.285
181,5740.318,5771.933
182,5775.186,5788.199
183,5792.745,5814.809
185,5821.024,5833.87
187,5865.234,5885.838
189,5896.307,5909.07
192,5916.035,5933.136
193,5934.595,5968.754
194,5970.256,5981.559
195,5986.397,5986.397
196,5994.78,6030.65
197,6038.741,6091.168
198,6097.508,6129.749
199,6131.917,6171.749
201,6202.947,6208.786
202,6212.54,6243.028
203,6247.032,6286.78
204,6291.827,6314.058
205,6316.936,6347.258
207,6366.777,6409.612
208,6415.159,6456.075
209,6458.16,6540.534
212,6568.687,6605.724
214,6627.287,6666.076
217,6706.617,6719.713
219,6731.767,6756.124
220,6760.879,6760.879
221,6780.44,6809.928
222,6848.425,6902.02
223,6903.855,6952.779
224,6958.91,6976.052
227,7000.327,7014.382
228,7017.177,7023.975
233,7069.396,7126.703
235,7140.842,7156.733
236,7159.486,7211.621
237,7213.415,7271.764
239,7280.231,7302.879
241,7318.645,7320.897
242,7324.317,7324.317
245,7358.017,7358.017
248,7373.199,7391.926
252,7415.366,7441.809
253,7444.103,7469.045
254,7474.384,7477.845
255,7479.097,7509.252
256,7510.92,7519.47
257,7520.054,7520.054
258,7531.149,7588.706
260,7599.967,7599.967
263,7638.256,7644.178
265,7660.486,7676.21
268,7695.146,7695.146
269,7708.284,7719.086
270,7722.715,7727.386
273,7741.734,7753.454
276,7769.428,7781.482
277,7786.153,7826.193
281,7910.945,7931.465
282,7936.971,7952.319
283,7954.53,7968.252
284,7973.424,8010.628
285,8014.632,8039.406
288,8107.224,8136.67
289,8139.715,8198.982
290,8203.404,8242.735
292,8253.12,8274.141
293,8276.101,8296.371
294,8298.54,8332.533
295,8333.909,8456.073
296,8457.407,8484.559
297,8486.019,8531.732
298,8534.359,8573.19
299,8575.317,8592.0
301,8600.133,8622.113
302,8624.407,8645.053
303,8650.308,8777.644
304,8779.521,8829.529
305,8833.825,8889.13
306,8891.257,8935.718
307,8938.221,8956.614
308,8958.158,9002.494
309,9005.872,9005.872
