,start,end
0,0.0,0.0
2,80.873,96.18
3,98.432,196.613
4,200.367,200.367
5,327.536,374.499
6,396.73,405.739
7,422.548,473.056
8,482.191,521.939
9,525.442,538.914
10,541.75,706.164
11,711.42,711.42
14,898.649,982.065
16,1052.97,1100.726
17,1107.399,1118.285
18,1128.962,1178.22
19,1182.85,1220.762
20,1229.938,1296.213
22,1344.178,1421.004
23,1424.716,1461.92
24,1464.965,1464.965
25,1477.436,1516.433
26,1520.521,1583.333
27,1585.919,1639.64
29,1718.385,1791.875
30,1794.503,1794.503
31,1852.186,1879.88
32,1884.635,1892.309
33,1925.175,1977.519
34,1979.313,2014.431
35,2016.642,2016.642
36,2053.47,2053.47
37,2070.32,2097.014
39,2254.046,2295.587
40,2305.931,2331.999
41,2337.88,2337.88
42,2382.216,2429.388
43,2435.143,2476.476
45,2495.204,2560.477
46,2577.786,2686.395
47,2691.4,2769.52
48,2793.335,2824.408
49,2842.342,2870.662
50,2875.459,2983.901
52,3064.94,3078.704
53,3088.881,3193.777
54,3198.866,3198.866
56,3230.147,3283.2
57,3297.005,3336.712
58,3339.423,3374.75
59,3377.711,3393.352
60,3397.397,3409.284
61,3411.286,3433.475
62,3439.398,3489.364
63,3492.868,3502.461
64,3525.526,3539.915
65,3549.466,3576.869
66,3579.705,3626.543
67,3643.435,3699.199
68,3703.829,3763.388
69,3768.268,3776.026
70,3787.246,3814.106
71,3816.65,3816.65
72,3827.744,3827.744
74,3846.597,3846.597
75,3874.917,3964.965
76,3970.721,4024.9
78,4130.255,4183.392
79,4192.317,4232.524
80,4236.945,4293.21
81,4295.045,4326.66
83,4331.874,4356.19
84,4367.492,4454.538
85,4490.157,4543.46
86,4548.799,4638.597
87,4658.867,4700.742
88,4704.788,4744.411
89,4748.749,4778.57
91,4799.883,4799.883
92,4831.999,4912.579
93,4921.171,4996.413
94,5024.816,5070.32
95,5096.763,5147.022
96,5153.028,5206.79
97,5213.422,5244.912
98,5246.997,5251.251
99,5264.014,5295.045
100,5299.383,5334.459
101,5358.817,5386.72
103,5414.54,5491.742
104,5496.33,5594.386
105,5599.474,5668.252
107,5705.914,5791.416
108,5839.298,5982.441
