,start,end
0,176.718,176.718
1,285.285,314.856
3,359.15,380.005
5,454.496,535.66
6,540.415,550.717
8,639.681,689.063
9,699.616,723.556
12,753.628,776.275
13,778.444,805.68
15,826.284,877.21
16,884.967,911.035
18,939.689,996.037
19,1002.043,1018.184
21,1035.034,1063.688
22,1072.071,1131.047
23,1134.717,1159.158
24,1173.339,1185.768
25,1194.735,1244.493
27,1254.587,1290.122
28,1295.503,1350.975
29,1355.396,1437.102
30,1439.688,1456.58
31,1467.049,1474.223
34,1536.577,1556.138
35,1613.737,1749.957
36,1760.217,1775.732
37,1780.988,1817.315
38,1826.033,1837.294
41,1873.705,1899.147
42,1901.9,1908.49
43,1923.463,1989.112
44,2004.044,2004.044
45,2042.916,2042.916
46,2094.134,2105.437
47,2121.536,2158.573
48,2167.415,2245.118
49,2248.413,2281.279
50,2285.408,2341.881
51,2348.638,2409.157
52,2414.037,2425.465
53,2440.188,2484.607
54,2510.174,2582.163
55,2602.767,2611.943
56,2658.114,2722.345
57,2724.305,2753.668
58,2757.964,2816.731
59,2821.986,2920.876
60,2928.384,3011.008
61,3012.676,3028.442
63,3058.973,3114.903
64,3126.165,3139.386
65,3141.639,3176.006
66,3185.557,3222.761
67,3230.185,3327.783
68,3339.586,3369.116
69,3388.26,3402.774
70,3423.837,3456.912
71,3472.594,3497.536
72,3504.459,3504.459
74,3570.901,3570.901
75,3589.377,3696.776
76,3725.805,3725.805
77,3742.53,3751.665
78,3769.891,3808.054
79,3812.267,3838.96
80,3848.428,3891.429
81,3894.599,3899.187
82,3920.458,3941.521
83,3961.624,3974.554
86,4022.06,4055.134
87,4066.437,4082.203
88,4130.084,4187.433
89,4191.145,4193.856
90,4247.535,4274.27
91,4282.32,4385.172
92,4387.216,4407.069
93,4414.076,4456.494
95,4467.338,4510.631
96,4527.44,4585.289
97,4587.833,4598.928
98,4622.827,4727.181
99,4728.307,4829.366
100,4863.567,4863.567
101,4896.225,4952.197
102,4955.826,5007.878
105,5092.004,5114.234
106,5150.937,5171.458
107,5209.746,5227.722
111,5227.722,5298.084
112,5298.084,5352.472
115,5386.464,5458.119
117,5495.907,5522.225
118,5528.481,5583.286
119,5598.301,5633.962
120,5657.318,5666.286
121,5673.585,5746.157
123,5773.101,5781.651
124,5788.825,5855.767
125,5858.77,5891.302
126,5905.691,5912.073
127,5935.596,5957.285
130,6116.777,6180.091
131,6189.183,6209.829
132,6232.893,6309.762
133,6317.144,6317.144
134,6333.744,6333.744
135,6354.932,6407.568
136,6435.012,6481.308
137,6508.419,6578.989
138,6582.451,6630.874
139,6642.511,6670.414
146,6890.383,6960.745
147,6966.501,7007.0
149,7041.868,7105.599
151,7141.426,7192.394
153,7290.992,7423.791
154,7430.173,7480.682
155,7488.564,7488.564
156,7528.146,7601.219
157,7603.679,7619.278
158,7634.126,7754.997
159,7757.833,7952.778
160,7979.471,8028.354
161,8029.813,8050.542
