,start,end
3,98.599,102.769
5,123.415,123.415
6,143.769,143.769
8,187.396,211.086
9,218.468,218.468
10,226.268,254.546
11,257.215,288.121
12,290.582,290.582
14,311.436,319.986
15,321.78,338.755
16,350.058,361.653
17,366.575,405.614
18,414.039,429.846
19,434.267,492.742
20,495.662,577.368
21,579.662,587.629
22,589.422,610.318
23,617.742,624.249
24,640.431,640.431
25,652.277,669.169
27,690.94,709.375
28,715.506,726.935
29,730.98,730.98
30,754.17,767.809
31,774.524,806.306
32,812.395,870.578
33,872.747,910.118
34,917.458,917.458
35,929.846,939.355
36,956.164,971.637
37,980.021,980.021
38,990.531,1001.667
39,1005.338,1113.946
41,1133.299,1172.296
42,1175.341,1228.978
43,1235.818,1242.241
44,1255.087,1274.982
45,1291.624,1310.601
46,1314.605,1336.877
47,1345.135,1467.466
48,1485.651,1520.227
49,1532.489,1532.489
50,1604.436,1658.657
51,1664.163,1737.444
52,1741.448,1757.589
53,1769.81,1837.336
54,1841.298,1921.711
56,1971.761,2097.304
58,2107.939,2111.693
59,2113.403,2161.368
60,2164.788,2167.207
61,2181.638,2205.453
62,2207.664,2263.887
63,2266.473,2307.096
64,2314.354,2363.82
66,2409.282,2478.101
67,2480.687,2497.787
68,2507.714,2542.498
69,2546.127,2546.127
70,2571.652,2595.259
71,2599.972,2599.972
72,2609.44,2642.765
73,2656.529,2686.934
75,2710.875,2710.875
76,2727.433,2745.326
78,2798.546,2805.553
79,2808.139,2880.503
80,2883.923,2941.522
81,2943.941,2943.941
82,2960.458,2982.146
83,2987.61,3032.404
84,3036.325,3050.422
85,3061.1,3079.66
86,3085.749,3085.749
87,3106.437,3163.077
88,3171.377,3221.093
89,3230.352,3297.085
90,3297.878,3359.982
91,3371.243,3374.663
92,3389.052,3417.247
94,3427.799,3449.488
96,3495.617,3548.045
97,3561.725,3602.557
98,3609.981,3632.963
99,3651.398,3711.124
100,3716.713,3928.007
101,3935.849,4008.254
102,4014.135,4145.183
104,4189.102,4250.997
105,4259.255,4274.937
106,4279.984,4279.984
107,4297.877,4308.304
108,4315.728,4315.728
109,4383.004,4383.004
110,4413.743,4445.733
111,4449.82,4486.649
112,4488.901,4488.901
113,4516.22,4574.653
114,4582.411,4620.449
115,4706.785,4706.785
117,4764.718,4781.318
118,4800.713,4849.803
119,4865.361,4914.41
120,4919.039,4940.06
121,4946.024,4946.024
124,5024.394,5034.238
125,5050.837,5062.224
126,5072.401,5257.586
128,5322.734,5369.197
129,5374.828,5374.828
130,5397.475,5497.075
131,5509.17,5529.733
133,5544.998,5544.998
134,5593.63,5627.33
137,5640.135,5679.174
138,5681.467,5681.467
139,5695.398,5695.398
140,5718.338,5718.338
141,5744.614,5754.666
143,5806.592,5806.592
144,5817.729,5821.19
146,5828.031,5832.452
147,5841.085,5841.085
148,5850.97,5855.641
149,5862.648,5880.458
150,5917.745,5922.291
151,5935.721,6003.748
152,6022.016,6068.02
153,6074.151,6074.151
154,6092.336,6092.336
156,6161.947,6166.786
157,6178.339,6178.339
158,6242.361,6254.832
159,6259.003,6278.314
160,6281.734,6281.734
161,6294.497,6313.557
162,6320.564,6337.206
163,6347.758,6354.64
164,6359.562,6410.195
165,6418.913,6551.336
166,6553.714,6570.814
167,6572.274,6649.351
168,6650.686,6650.686
169,6661.905,6798.625
