,start,end
1,30.239,158.575
2,165.04,165.04
3,180.555,255.922
4,258.049,273.899
6,426.384,509.426
7,527.819,527.819
8,550.675,595.678
9,622.539,663.121
10,825.908,865.531
11,866.783,1035.117
12,1039.789,1092.258
13,1099.849,1138.929
14,1142.6,1200.825
15,1207.456,1261.552
16,1401.442,1437.269
17,1459.166,1459.166
18,1472.096,1523.856
19,1559.975,1570.986
20,1591.548,1614.196
21,1620.661,1634.216
22,1636.718,1658.115
23,1660.576,1660.576
24,1763.345,1799.715
27,1935.809,1979.019
29,2051.883,2076.074
30,2093.341,2108.023
31,2110.775,2110.775
32,2177.342,2196.277
33,2199.823,2263.178
34,2270.977,2292.29
35,2295.877,2375.582
36,2387.093,2424.339
37,2429.802,2470.843
38,2473.638,2554.719
39,2556.179,2571.903
40,2576.949,2585.416
41,2592.59,2627.291
42,2628.584,2790.204
43,2800.673,2843.507
44,2844.884,2949.363
45,2961.208,3058.472
46,3060.474,3207.955
48,3265.387,3265.387
49,3289.411,3392.097
50,3392.848,3410.157
51,3453.325,3453.325
52,3535.699,3660.365
53,3664.87,3673.837
54,3676.59,3784.614
56,3829.2,4045.667
57,4087.0,4098.553
60,4180.093,4186.516
61,4191.062,4191.062
62,4241.946,4395.224
63,4422.835,4428.341
64,4493.197,4537.491
65,4543.205,4714.877
66,4722.343,4722.343
67,4964.168,5024.728
68,5033.612,5059.555
69,5104.141,5177.089
70,5216.128,5265.51
75,5467.003,5531.192
77,5667.036,5689.267
78,5699.694,5724.802
79,5726.554,5753.998
80,5758.378,5821.816
81,5825.194,5839.5
82,5852.138,5883.586
83,5919.205,5948.317
84,5975.678,6032.693
85,6035.363,6127.997
86,6141.385,6181.55
87,6189.6,6270.181
88,6293.829,6371.115
89,6374.243,6549.376
91,6575.944,6677.129
93,6709.369,6769.262
94,6773.725,6806.591
95,6819.229,6903.146
96,6911.53,6951.444
97,6956.867,7022.766
98,7027.771,7035.904
99,7102.804,7217.711
100,7227.47,7289.741
101,7295.288,7332.158
103,7346.214,7385.67
104,7393.595,7552.295
105,7565.057,7565.057
106,7574.442,7657.066
107,7676.335,7676.335
108,7729.722,7737.939
109,7758.209,7857.224
110,7862.021,7910.653
111,7919.203,7948.524
113,7991.775,7991.775
115,8005.956,8083.367
116,8094.712,8211.829
117,8214.832,8214.832
118,8217.751,8259.835
119,8270.095,8312.471
120,8313.472,8336.745
122,8365.941,8370.487
123,8382.833,8394.469
124,8423.415,8473.966
125,8480.097,8535.694
126,8538.321,8584.117
127,8618.819,8676.626
128,8677.502,8712.829
129,8728.678,8793.743
130,8803.003,8936.594
131,8945.645,8960.493
