,start,end
2,92.175,101.143
3,105.939,116.45
5,119.661,146.229
6,146.938,153.82
8,169.961,182.974
9,187.02,187.02
11,201.993,209.918
12,216.007,226.935
13,228.937,278.653
14,281.114,315.232
16,351.518,358.024
17,362.737,366.324
19,386.928,461.461
21,480.939,501.543
23,517.767,537.871
24,549.966,614.239
26,622.122,622.122
27,629.504,640.515
28,648.314,746.204
29,747.83,747.83
30,764.806,815.064
31,822.53,831.414
32,832.457,902.276
33,905.488,944.193
34,946.612,958.082
35,963.087,976.058
36,977.852,995.828
37,999.999,1033.282
38,1037.453,1050.466
39,1052.468,1066.482
40,1071.904,1095.678
41,1097.013,1169.168
42,1173.881,1185.351
43,1187.728,1203.411
44,1208.624,1242.867
45,1246.203,1294.627
46,1298.881,1324.448
48,1334.208,1341.632
49,1343.592,1409.575
50,1419.543,1434.475
51,1438.27,1490.322
52,1494.076,1519.81
53,1525.774,1593.759
54,1595.594,1652.734
55,1656.405,1750.29
56,1754.336,1835.542
57,1842.507,1886.009
58,1889.262,1911.076
59,1916.415,1960.041
60,1974.389,1974.389
61,2002.667,2025.273
63,2062.227,2086.751
64,2093.675,2120.702
65,2122.537,2129.127
66,2139.429,2182.013
70,2197.07,2253.543
71,2255.128,2277.233
72,2278.943,2289.245
73,2292.874,2332.163
74,2335.625,2382.672
75,2385.466,2443.274
76,2444.901,2459.916
77,2463.92,2477.183
78,2479.519,2491.531
79,2495.118,2508.506
80,2512.802,2554.093
81,2556.387,2579.952
83,2586.292,2594.759
84,2597.386,2662.41
85,2667.832,2683.222
86,2686.142,2701.115
87,2702.909,2744.408
88,2747.203,2786.033
89,2787.493,2903.275
90,2912.493,2946.819
91,2948.404,2974.847
92,2978.058,3033.697
93,3036.534,3046.627
94,3052.55,3052.55
95,3056.136,3058.305
97,3080.786,3094.425
98,3100.222,3145.392
99,3149.271,3203.158
100,3203.617,3225.18
101,3231.437,3265.095
102,3266.263,3286.867
103,3291.83,3299.588
104,3303.926,3317.898
105,3321.485,3357.604
106,3361.441,3372.327
107,3374.788,3412.159
108,3421.585,3448.946
109,3450.781,3487.567
110,3489.486,3534.114
111,3536.158,3548.92
112,3550.714,3637.801
113,3641.596,3659.322
114,3668.623,3720.133
115,3731.019,3745.367
116,3752.249,3790.662
117,3795.166,3857.145
118,3858.73,3877.624
119,3884.297,3913.284
121,3921.543,3921.543
122,3940.979,3959.873
123,3964.127,3999.871
124,4003.666,4024.062
125,4029.4,4059.055
126,4060.265,4072.61
127,4075.321,4130.71
128,4132.17,4203.324
130,4214.836,4214.836
131,4219.173,4223.761
132,4225.012,4244.615
133,4248.286,4308.137
134,4312.391,4315.102
135,4317.855,4346.676
136,4357.812,4365.945
137,4367.53,4407.82
138,4408.863,4430.801
140,4434.972,4459.038
141,4460.247,4481.435
142,4491.32,4531.235
143,4534.572,4547.96
145,4568.23,4636.882
146,4644.181,4684.68
147,4688.976,4688.976
148,4735.314,4776.605
149,4787.783,4880.417
150,4899.228,4899.228
151,4920.124,4993.53
152,4997.075,5041.411
153,5067.479,5067.479
155,5097.843,5097.843
156,5103.807,5112.733
157,5114.359,5133.503
158,5135.714,5202.531
159,5207.994,5217.045
160,5218.797,5259.671
161,5264.426,5279.399
162,5285.906,5318.355
163,5321.024,5371.116
164,5376.329,5391.303
165,5395.098,5487.232
166,5489.734,5510.422
167,5513.299,5547.5
168,5549.586,5634.879
169,5641.427,5688.558
170,5691.436,5723.218
171,5729.474,5788.95
172,5794.497,5867.653
173,5871.324,5939.142
174,5947.15,5978.264
176,5992.028,6017.678
177,6022.975,6048.459
178,6060.68,6087.415
180,6096.299,6116.652
182,6123.868,6139.342
183,6144.472,6173.0
184,6182.551,6246.449
185,6262.923,6340.709
187,6375.035,6377.788
189,6400.06,6421.04
190,6424.084,6440.267
191,6449.61,6465.0
192,6468.045,6517.553
193,6518.679,6534.319
194,6545.205,6545.205
195,6569.396,6603.43
196,6606.35,6736.104
197,6738.398,6761.088
198,6763.715,6827.404
201,6868.695,6868.695
203,6893.47,6952.446
204,6955.907,6955.907
210,6979.097,6994.779
213,7009.085,7009.085
216,7030.482,7077.112
219,7147.974,7168.62
221,7182.509,7205.573
222,7209.16,7261.379
223,7263.798,7275.31
224,7277.103,7344.754
225,7348.424,7407.817
226,7415.992,7435.845
227,7438.89,7459.535
228,7460.828,7480.515
229,7481.224,7490.024
230,7493.027,7507.917
231,7508.167,7538.197
232,7539.24,7546.914
233,7552.128,7578.112
234,7579.864,7592.585
235,7595.671,7606.808
236,7624.075,7698.9
237,7701.194,7754.789
238,7758.417,7809.01
240,7815.391,7864.899
241,7866.734,7935.344
242,7939.598,7975.468
243,8000.659,8000.659
