,start,end
1,137.262,204.454
3,221.304,335.544
6,454.788,598.056
7,603.394,715.548
8,720.47,889.389
9,895.353,899.607
10,904.195,909.45
11,914.413,986.444
12,988.863,991.073
14,1051.509,1121.537
15,1130.755,1198.239
16,1202.868,1202.868
17,1254.295,1289.288
18,1294.418,1294.418
19,1321.403,1321.403
20,1325.366,1385.634
21,1392.349,1459.583
23,1475.474,1475.474
24,1504.753,1595.761
25,1613.529,1621.078
27,1625.749,1700.991
28,1721.345,1762.219
29,1769.059,1784.95
31,1894.81,1894.81
32,1932.389,1990.572
33,1994.451,2067.941
34,2081.83,2113.945
35,2122.746,2173.505
36,2175.423,2199.864
37,2203.993,2227.809
38,2240.071,2240.071
39,2314.896,2363.111
40,2374.08,2383.715
41,2434.39,2438.728
42,2461.542,2555.845
43,2559.724,2626.958
45,2658.489,2726.474
46,2733.356,2858.606
47,2864.361,2888.01
48,2893.432,2925.423
49,2931.428,2951.949
50,2954.535,3099.263
51,3100.848,3163.702
52,3170.459,3170.459
53,3229.977,3269.766
54,3275.647,3288.744
56,3385.966,3451.531
57,3458.956,3458.956
58,3606.436,3673.003
59,3673.003,3701.448
60,3701.448,3732.938
61,3769.224,3856.686
62,3858.229,3884.881
63,3888.885,3888.885
65,4020.308,4116.321
66,4145.433,4161.949
67,4171.584,4185.515
68,4189.811,4237.692
70,4255.585,4311.599
71,4319.815,4402.773
73,4409.78,4409.78
74,4425.796,4428.716
75,4468.422,4493.406
76,4497.368,4525.062
77,4551.589,4619.532
78,4621.033,4658.445
79,4662.449,4708.746
80,4710.956,4791.745
81,4795.499,4816.228
84,5055.551,5055.551
85,5065.352,5111.148
86,5144.097,5161.865
87,5166.161,5210.163
89,5249.244,5276.73
90,5280.901,5287.449
91,5355.934,5438.391
92,5439.976,5466.169
93,5472.509,5477.597
94,5487.691,5504.165
95,5537.365,5668.746
97,5681.426,5681.426
98,5714.042,5753.665
99,5764.884,5811.848
100,5820.773,5824.318
101,5840.501,5859.437
102,5861.189,5923.709
103,5925.711,5968.045
105,5992.153,5992.153
106,6033.236,6064.976
108,6078.447,6182.134
109,6183.677,6233.477
110,6237.815,6251.996
111,6269.388,6385.17
112,6389.091,6513.507
114,6607.476,6607.476
