,start,end
2,177.928,205.288
3,208.291,279.738
4,287.746,304.721
5,329.663,371.329
6,387.596,512.679
7,518.309,537.62
8,574.824,640.723
9,647.188,720.762
10,735.61,735.61
11,802.385,894.519
13,964.547,1000.416
14,1003.127,1047.63
15,1048.631,1073.281
16,1120.995,1151.4
17,1169.335,1237.57
18,1282.865,1372.496
19,1374.999,1499.79
20,1509.091,1579.411
21,1581.58,1624.957
22,1628.794,1709.625
23,1710.459,1792.708
24,1804.261,1923.046
25,1927.384,1962.752
27,1976.933,1996.161
28,2016.306,2043.542
31,2107.522,2322.487
33,2334.874,2376.207
34,2385.341,2438.019
35,2440.313,2449.864
36,2474.764,2571.11
37,2576.073,2623.955
38,2628.251,2642.139
40,2667.29,2667.29
41,2718.841,2848.095
42,2925.965,2984.356
43,3007.338,3062.559
44,3066.063,3273.27
45,3286.533,3414.62
47,3453.7,3468.09
48,3490.654,3516.888
49,3638.802,3760.382
50,3763.677,3958.371
51,3974.095,4173.378
52,4185.181,4355.977
53,4357.27,4366.779
54,4382.795,4383.713
55,4450.905,4560.598
56,4562.933,4704.575
57,4708.996,4898.018
58,4945.107,4988.4
59,4994.781,5292.829
60,5297.834,5556.509
62,5586.247,5816.06
63,5819.856,5872.617
64,5883.086,6159.987
65,6202.822,6244.488
66,6246.532,6315.643
67,6335.829,6335.829
68,6371.657,6525.644
69,6530.566,6566.518
