,start,end
0,25.359,36.245
1,44.294,100.434
2,112.863,158.992
3,163.163,179.554
4,183.975,192.109
5,195.779,201.785
6,204.579,213.964
8,282.699,288.079
9,294.544,316.816
10,318.276,326.66
11,328.119,330.455
12,333.166,344.553
14,379.087,390.348
15,392.767,411.411
16,415.624,510.01
17,527.819,557.057
18,563.73,604.646
20,641.516,649.44
21,658.324,670.92
22,674.382,680.722
23,684.684,689.397
24,696.446,702.869
25,704.913,708.082
26,711.961,711.961
27,718.509,723.306
28,732.273,732.273
29,735.944,746.12
30,746.913,755.255
31,757.298,781.531
32,787.745,796.129
33,801.968,810.268
34,818.234,871.579
35,878.503,945.319
36,948.447,967.592
37,971.345,982.481
38,983.649,1007.84
39,1012.094,1015.139
40,1020.478,1075.825
42,1102.476,1125.916
43,1134.216,1146.604
44,1171.67,1207.79
45,1215.548,1272.354
47,1284.116,1304.887
48,1307.348,1333.207
49,1341.882,1397.021
50,1402.151,1437.394
51,1444.568,1448.072
52,1450.074,1458.374
54,1465.255,1488.904
55,1491.615,1505.337
56,1525.858,1535.451
57,1537.995,1542.124
58,1557.222,1572.362
59,1573.363,1595.677
60,1601.1,1601.1
61,1609.858,1617.449
62,1619.451,1672.045
63,1675.34,1802.676
64,1806.722,1814.104
65,1829.161,1840.047
66,1843.175,1889.763
67,1893.642,1932.889
68,1934.641,1949.489
69,1966.548,1994.159
70,1998.872,2075.282
71,2080.662,2131.921
73,2162.619,2175.382
74,2180.97,2236.776
75,2243.742,2290.371
76,2313.603,2344.092
77,2347.428,2369.409
78,2373.329,2401.357
80,2457.163,2500.581
81,2510.341,2522.228
82,2528.985,2574.697
83,2577.575,2630.253
84,2635.299,2646.769
86,2703.659,2792.206
88,2825.031,2841.338
89,2855.436,2900.856
90,2910.366,2943.858
91,2945.484,3005.503
93,3041.08,3072.903
94,3077.241,3120.242
95,3129.918,3160.324
96,3164.745,3168.207
97,3170.459,3180.677
98,3184.348,3202.282
99,3204.368,3207.454
100,3226.724,3269.391
101,3272.186,3307.304
102,3309.181,3349.68
103,3351.39,3362.192
104,3372.035,3464.836
105,3473.053,3506.461
106,3511.717,3522.811
107,3531.445,3554.426
108,3559.89,3589.795
109,3590.462,3640.137
110,3643.139,3748.078
112,3838.334,4014.761
114,4051.714,4138.593
115,4147.727,4181.886
116,4187.433,4223.052
117,4226.889,4366.362
118,4376.998,4376.998
119,4409.113,4409.113
120,4430.718,4459.121
121,4462.917,4545.666
122,4548.794,4563.934
123,4567.563,4600.221
124,4603.057,4743.238
125,4748.494,4819.148
126,4822.526,4832.87
127,4842.296,4842.296
128,4861.732,4916.286
129,4925.17,4934.43
130,4937.641,4956.326
131,4973.177,4991.111
132,4995.157,5069.94
133,5073.318,5098.844
134,5101.596,5124.995
135,5153.482,5198.527
136,5203.281,5321.942
137,5344.506,5406.484
138,5408.778,5445.69
139,5447.901,5457.786
141,5487.232,5505.083
142,5506.126,5527.439
143,5536.531,5590.168
144,5601.137,5683.428
146,5692.395,5709.537
147,5712.332,5723.343
148,5742.403,5776.896
149,5781.317,5816.352
150,5818.229,5856.392
151,5858.978,5933.803
152,5936.681,5952.738
153,5963.04,6034.445
154,6042.703,6074.318
155,6078.531,6096.549
156,6099.593,6142.636
157,6154.732,6203.197
158,6207.41,6258.711
159,6263.048,6263.048
160,6310.471,6361.772
161,6383.752,6499.493
162,6502.621,6541.326
163,6546.373,6588.499
164,6590.459,6653.063
165,6659.653,6722.007
166,6728.221,6759.836
167,6762.589,6775.435
168,6780.399,6829.281
169,6829.614,6864.274
170,6866.401,6893.22
171,6898.475,6905.482
172,6916.076,6936.805
173,6940.225,6973.008
174,6989.232,7058.718
175,7067.644,7067.644
176,7091.459,7124.743
177,7125.785,7146.348
178,7158.443,7280.148
179,7287.739,7392.635
180,7394.971,7472.924
181,7480.431,7540.074
182,7545.58,7568.311
183,7573.191,7607.225
184,7614.065,7623.908
185,7626.911,7660.111
186,7671.205,7719.503
187,7731.39,7787.571
188,7794.996,7914.532
189,7918.953,7927.962
190,7933.3,7954.53
191,7966.167,7976.886
