,start,end
1,78.954,85.585
3,106.69,111.069
4,116.116,166.208
5,174.549,209.709
6,217.384,217.384
7,248.999,259.676
8,298.465,298.465
9,344.553,381.965
10,384.759,393.685
11,395.687,404.904
12,406.615,429.012
13,431.222,439.731
14,443.568,477.56
15,479.854,543.168
16,548.423,548.423
17,572.28,593.718
18,647.438,658.032
19,661.077,680.221
20,684.726,684.726
21,690.44,700.366
22,715.214,738.404
24,790.248,806.014
25,808.641,926.259
26,929.053,949.365
27,951.367,1068.067
28,1074.198,1107.273
29,1108.274,1150.066
31,1160.534,1179.345
32,1181.305,1184.058
33,1207.498,1287.912
34,1294.084,1294.084
35,1314.48,1327.785
36,1331.163,1427.426
37,1429.094,1458.415
38,1481.48,1497.788
39,1500.749,1557.431
40,1559.475,1596.762
41,1605.771,1624.998
42,1629.086,1674.756
43,1675.841,1675.841
44,1690.397,1728.936
45,1731.563,1827.826
46,1832.581,1849.431
47,1866.49,1906.863
48,1913.578,1961.585
49,1966.381,2012.51
50,2017.224,2023.271
51,2033.615,2159.407
52,2160.825,2219.759
53,2225.849,2225.849
54,2239.362,2249.831
55,2281.154,2314.812
56,2319.818,2341.548
57,2344.968,2391.556
58,2393.85,2402.233
59,2437.685,2449.489
60,2451.491,2451.491
62,2517.89,2521.019
64,2552.967,2552.967
66,2621.202,2627.291
67,2635.466,2635.466
69,2716.339,2720.927
70,2724.43,2739.82
71,2747.161,2764.053
73,2805.511,2812.643
74,2815.271,2815.271
75,2821.61,2821.61
76,2840.338,2840.338
77,2861.4,2881.462
78,2883.631,2883.631
79,2894.642,2894.642
80,2958.33,3038.786
81,3050.923,3050.923
82,3092.715,3194.233
83,3204.451,3311.558
84,3312.726,3335.666
85,3337.668,3387.092
86,3395.434,3409.99
87,3413.827,3427.758
88,3458.705,3483.73
89,3486.024,3507.963
91,3515.637,3515.637
92,3553.383,3553.383
93,3601.264,3601.264
94,3632.212,3652.148
95,3675.797,3729.267
97,3741.863,3741.863
98,3766.888,3766.888
99,3782.445,3898.228
100,3902.065,3946.943
101,3956.828,4051.589
102,4059.681,4109.939
103,4120.617,4175.505
104,4209.038,4287.617
105,4298.836,4338.668
106,4343.714,4343.714
107,4374.12,4392.889
108,4395.725,4484.563
109,4495.574,4649.937
110,4657.57,4684.263
113,4711.498,4778.399
115,4811.849,4839.626
116,4860.647,4880.376
117,4884.296,4893.555
118,4896.767,4927.422
119,4933.679,5003.707
120,5014.76,5039.326
121,5041.787,5041.787
122,5072.776,5082.244
123,5086.123,5091.295
124,5101.555,5153.315
125,5158.195,5182.928
126,5202.406,5242.779
127,5247.033,5256.626
128,5271.308,5335.622
130,5348.802,5361.189
131,5364.859,5443.146
132,5449.694,5537.407
