,start,end
2,133.884,186.937
4,197.572,219.594
6,232.983,247.664
7,249.791,258.383
8,261.052,338.63
9,340.632,409.326
10,412.162,447.155
12,456.289,479.104
13,486.569,508.55
14,514.264,547.297
15,548.882,568.276
16,569.486,590.632
17,592.05,616.241
18,618.743,654.195
19,657.073,683.6
20,686.895,767.767
21,769.936,795.586
22,804.762,824.699
23,828.244,840.715
24,849.682,905.947
25,908.449,1042.458
26,1043.918,1061.727
28,1070.653,1085.501
29,1086.794,1132.965
30,1134.425,1134.425
31,1159.158,1233.858
32,1238.112,1314.647
33,1318.317,1323.03
34,1336.961,1378.919
35,1380.629,1406.03
36,1407.781,1436.936
38,1445.986,1467.341
39,1468.634,1572.571
40,1576.325,1618.784
41,1620.953,1725.307
42,1727.226,1841.923
43,1843.675,1850.39
44,1861.109,1870.41
45,1875.874,1912.16
46,1913.412,1978.768
47,1980.812,2023.813
48,2035.742,2087.043
49,2093.258,2114.112
52,2173.838,2210.834
53,2230.311,2319.067
54,2327.2,2360.9
55,2362.652,2449.489
56,2451.157,2532.53
57,2542.04,2584.916
59,2589.295,2652.775
60,2656.487,2669.667
61,2671.127,2718.966
62,2720.551,2752.708
63,2758.506,2800.047
64,2804.135,2847.053
65,2849.597,2947.027
66,2959.039,2979.185
67,2987.943,3018.474
68,3021.852,3117.448
69,3122.911,3132.254
70,3135.633,3138.886
72,3147.519,3154.068
73,3165.663,3176.173
74,3184.973,3205.661
75,3208.539,3241.53
76,3243.198,3260.591
77,3264.178,3334.665
78,3337.334,3379.918
79,3381.795,3408.822
80,3411.366,3453.2
81,3456.036,3473.303
84,3526.982,3545.792
85,3547.627,3570.067
87,3593.048,3627.457
88,3629.376,3642.681
89,3643.932,3668.707
90,3671.084,3674.171
91,3681.72,3685.432
92,3693.315,3730.56
93,3733.521,3774.437
94,3775.563,3819.274
95,3824.821,3851.556
96,3853.808,3861.024
98,3867.155,3888.635
99,3890.178,3916.121
100,3918.873,3948.82
102,3998.453,4020.767
103,4024.604,4024.604
105,4046.751,4067.772
108,4105.143,4128.666
109,4130.835,4202.824
110,4204.909,4223.052
112,4230.935,4270.767
113,4272.393,4299.086
114,4301.088,4312.725
116,4327.281,4356.477
117,4373.119,4393.389
118,4394.974,4452.031
119,4457.787,4472.718
120,4475.972,4475.972
121,4489.735,4502.039
122,4503.457,4525.021
124,4543.247,4597.885
125,4607.394,4650.729
126,4653.399,4697.484
127,4699.153,4709.914
128,4710.915,4719.048
129,4722.218,4727.723
130,4731.894,4736.732
131,4739.652,4762.508
132,4768.097,4786.031
133,4788.242,4805.134
137,4860.064,4895.391
138,4897.017,4910.656
139,4913.951,4993.53
140,4996.2,5133.128
141,5144.806,5176.713
143,5203.407,5248.702
145,5270.557,5311.014
148,5339.376,5361.94
150,5408.528,5445.065
151,5448.985,5504.374
152,5510.046,5514.884
153,5531.985,5600.804
155,5615.652,5623.409
157,5714.959,5714.959
158,5720.465,5720.465
159,5731.434,5758.67
160,5764.384,5771.349
162,5930.675,6002.622
163,6005.374,6013.216
164,6015.009,6057.927
165,6062.64,6088.124
166,6103.014,6115.693
167,6128.247,6226.303
