,start,end
1,17.351,93.677
2,103.353,137.429
5,161.87,177.427
6,182.391,204.454
7,218.385,250.083
8,257.466,285.66
9,293.084,371.913
10,379.713,460.335
11,465.715,488.071
12,498.248,555.638
13,559.1,653.945
14,656.573,669.252
15,676.384,676.384
16,692.901,720.219
18,738.321,799.966
19,801.551,808.057
20,817.15,864.28
21,867.075,902.36
22,911.369,955.621
23,964.964,987.695
24,999.957,1100.516
26,1113.779,1143.601
27,1144.56,1169.21
28,1172.88,1208.124
29,1212.878,1229.854
30,1233.274,1266.14
31,1271.187,1310.851
32,1313.938,1327.201
34,1337.753,1379.044
35,1390.264,1390.264
36,1408.824,1427.009
37,1462.252,1472.805
38,1475.015,1501.917
39,1510.926,1538.287
41,1557.222,1557.222
42,1574.281,1601.892
43,1607.397,1641.974
45,1649.857,1697.112
47,1741.156,1747.871
48,1751.083,1751.083
49,1758.966,1758.966
50,1770.477,1799.756
51,1803.302,1824.948
52,1831.288,1861.943
53,1866.823,1913.036
54,1927.217,1936.309
55,1938.812,1971.178
56,1972.679,2020.018
57,2020.352,2020.352
58,2033.865,2048.546
59,2053.677,2060.976
60,2076.825,2082.455
61,2110.483,2120.41
62,2123.747,2132.672
64,2160.2,2169.918
65,2190.814,2201.116
66,2206.371,2248.413
67,2249.789,2249.789
68,2256.254,2256.254
69,2273.48,2275.19
70,2284.407,2306.262
71,2307.972,2339.337
72,2347.72,2347.72
73,2376.499,2460.708
75,2469.425,2475.974
76,2494.158,2508.631
77,2517.682,2523.104
78,2533.781,2547.879
79,2559.098,2607.73
80,2614.153,2627.708
81,2660.95,2676.132
82,2703.284,2750.998
83,2795.793,2819.775
84,2822.445,2851.14
86,2861.108,2882.38
87,2884.09,2920.376
88,2924.797,2963.46
89,2965.045,2979.977
90,2987.026,3005.211
91,3010.758,3064.061
92,3070.943,3105.477
93,3117.656,3164.536
94,3166.455,3232.438
95,3240.946,3241.613
96,3261.925,3266.221
97,3272.311,3304.676
99,3308.972,3324.196
100,3330.41,3391.889
101,3399.104,3437.976
102,3443.357,3492.197
103,3506.753,3528.525
104,3532.404,3593.381
105,3596.218,3603.683
106,3605.477,3667.831
107,3669.666,3681.72
108,3684.222,3684.222
109,3696.776,3706.411
110,3712.334,3738.944
111,3741.863,3798.586
112,3807.554,3807.554
113,3844.215,3882.504
114,3886.091,3919.624
117,3949.696,3949.696
118,3962.167,3971.593
119,3986.274,4001.414
120,4021.768,4043.748
121,4048.253,4095.8
122,4111.316,4111.316
123,4130.501,4150.605
124,4153.524,4153.524
126,4171.542,4185.556
127,4187.85,4199.32
128,4204.45,4223.845
129,4226.431,4226.431
130,4245.408,4245.408
131,4264.135,4320.399
132,4328.574,4345.633
133,4389.594,4396.642
134,4400.271,4473.344
135,4476.514,4482.52
136,4532.236,4545.166
137,4551.881,4558.971
139,4583.662,4618.364
140,4628.374,4666.453
141,4670.708,4704.575
142,4708.871,4708.871
143,4719.757,4747.952
144,4751.288,4759.755
145,4770.14,4798.585
146,4800.004,4823.152
147,4825.32,4843.797
148,4846.008,4850.554
149,4855.184,4878.665
150,4881.752,4886.131
152,4904.149,4912.741
153,4917.788,4957.953
154,4960.998,4966.795
155,4988.942,5021.433
157,5031.735,5064.017
158,5067.354,5080.909
159,5083.036,5094.59
160,5095.841,5109.98
161,5111.523,5127.205
162,5129.916,5150.27
163,5161.281,5197.943
164,5200.32,5269.181
165,5272.684,5309.095
166,5310.514,5367.946
167,5373.994,5398.31
168,5434.012,5460.58
169,5463.208,5518.888
170,5529.274,5553.631
171,5564.017,5606.226
172,5609.562,5660.697
173,5664.325,5680.3
177,5727.847,5727.847
178,5738.483,5743.571
179,5747.158,5805.883
181,5827.03,5845.757
182,5848.885,5848.885
183,5855.308,5855.308
184,5885.922,5894.347
185,5897.642,5933.136
186,5936.514,5945.982
187,5950.278,5971.966
188,5996.866,6000.494
189,6005.666,6056.008
190,6066.143,6082.451
191,6093.504,6151.27
192,6156.567,6238.816
193,6253.831,6286.447
195,6345.756,6345.756
196,6372.533,6423.792
197,6424.877,6509.878
199,6578.447,6594.421
200,6602.304,6650.519
201,6655.19,6663.866
