,start,end
1,37.955,120.287
2,125.709,161.828
3,168.835,230.981
5,245.245,280.906
6,292.334,331.122
7,335.669,355.605
9,362.07,417.042
10,422.255,465.215
11,465.674,487.821
12,491.199,512.137
13,514.931,535.243
14,542.876,567.108
16,582.54,599.39
18,603.394,617.867
19,619.661,630.38
20,632.507,677.177
21,678.344,704.454
22,706.623,737.153
24,745.453,770.019
25,773.272,800.967
26,801.175,826.2
27,829.62,849.891
28,852.977,870.036
29,870.578,878.377
30,880.755,903.277
31,904.695,955.913
32,958.332,1018.351
33,1019.393,1077.493
34,1079.87,1101.726
36,1108.733,1127.043
37,1133.632,1200.95
38,1210.334,1235.484
39,1238.154,1309.725
40,1317.858,1386.135
41,1388.22,1478.769
42,1481.689,1500.666
43,1502.876,1538.746
44,1550.591,1600.682
45,1603.31,1726.767
46,1729.519,1775.065
47,1777.734,1856.146
49,1872.788,1903.485
50,1905.904,1934.724
51,1941.106,1981.229
52,1984.608,2013.053
53,2032.53,2042.999
55,2062.102,2092.549
56,2093.967,2109.608
58,2117.866,2173.171
59,2174.714,2197.028
60,2200.907,2240.822
61,2244.075,2267.557
62,2269.642,2302.217
63,2305.428,2351.266
64,2358.147,2431.971
65,2435.391,2480.52
66,2489.487,2536.075
67,2539.537,2568.483
68,2572.195,2614.32
69,2617.865,2682.638
70,2684.432,2768.975
71,2773.479,2816.981
72,2825.489,2880.419
73,2882.88,2933.389
74,2938.352,2978.809
75,2981.187,3007.588
78,3032.279,3078.826
79,3081.078,3142.139
80,3147.102,3198.779
81,3201.782,3221.343
82,3222.886,3255.502
83,3257.171,3302.174
84,3304.343,3351.306
85,3354.059,3371.159
86,3380.335,3437.267
87,3440.938,3495.242
88,3496.743,3554.76
89,3556.762,3587.375
90,3589.252,3649.896
92,3699.195,3741.196
93,3746.952,3775.313
94,3778.149,3818.44
96,3828.45,3907.779
97,3917.997,3949.362
98,3956.327,4046.084
99,4049.17,4064.769
101,4094.215,4106.019
102,4107.52,4121.117
103,4121.367,4127.415
104,4128.499,4154.609
105,4159.113,4176.464
106,4177.757,4192.939
107,4195.9,4222.593
108,4223.72,4252.331
109,4253.082,4341.504
110,4342.213,4385.131
111,4386.841,4427.298
112,4429.258,4455.952
113,4459.038,4489.86
114,4490.736,4528.566
115,4531.527,4564.602
116,4566.854,4600.805
117,4602.807,4654.775
118,4659.947,4698.527
119,4700.321,4760.297
120,4762.883,4817.896
122,4838.292,4883.879
123,4886.298,4919.331
124,4920.916,4967.713
125,4970.591,5015.719
126,5034.571,5109.104
127,5111.481,5121.366
128,5127.164,5202.447
129,5206.868,5247.701
130,5250.871,5307.219
132,5370.24,5433.887
133,5439.851,5489.442
134,5502.455,5552.756
135,5561.306,5620.99
136,5622.909,5635.255
137,5637.799,5676.129
138,5707.744,5795.873
139,5802.63,5820.857
140,5853.598,5917.787
142,5931.676,5976.721
143,5985.479,6054.423
144,6058.302,6086.831
145,6090.126,6105.182
146,6110.354,6152.48
147,6154.857,6184.929
148,6188.557,6221.298
149,6223.843,6250.244
151,6282.151,6338.374
152,6340.501,6402.313
153,6405.107,6444.772
154,6448.233,6541.91
155,6544.997,6600.469
156,6605.641,6650.227
157,6655.19,6698.525
158,6700.944,6741.526
159,6744.029,6796.415
160,6801.545,6856.808
162,6888.84,6940.892
163,6943.186,6979.556
164,6981.433,7034.528
165,7035.737,7078.863
166,7089.708,7146.681
167,7148.808,7225.176
168,7228.054,7292.076
169,7293.995,7332.116
170,7335.119,7376.369
172,7428.463,7466.542
173,7469.712,7569.604
174,7571.314,7611.646
175,7616.108,7709.827
176,7717.96,7789.323
177,7791.367,7855.347
178,7857.266,7931.841
179,7933.342,7991.775
180,7996.447,8025.017
182,8058.801,8102.219
183,8105.055,8171.497
184,8178.42,8244.528
185,8249.575,8270.596
186,8273.015,8345.254
187,8347.339,8452.402
188,8454.696,8500.409
189,8504.663,8522.472
190,8526.852,8595.337
191,8597.38,8625.45
