,start,end
1,123.665,194.611
2,213.755,302.344
4,395.77,402.068
5,444.611,456.539
6,509.092,567.108
7,586.711,666.207
8,679.512,679.512
10,718.176,732.065
11,737.445,797.588
12,803.219,803.219
13,804.679,814.605
14,819.193,819.193
15,871.162,889.43
16,901.442,901.442
17,937.353,942.233
18,967.216,967.216
19,996.495,996.495
21,1048.923,1153.986
22,1156.238,1156.238
23,1162.661,1202.493
24,1212.711,1229.687
25,1232.273,1280.988
26,1292.041,1360.067
27,1381.255,1397.938
29,1414.455,1438.938
30,1452.076,1455.871
31,1479.103,1533.574
32,1537.953,1604.937
33,1611.61,1683.849
34,1693.525,1720.677
35,1727.184,1727.184
36,1753.919,1753.919
37,1766.306,1820.36
39,1842.549,1934.891
40,1936.852,2059.849
41,2066.773,2148.563
42,2167.374,2299.714
43,2312.31,2312.31
44,2369.409,2383.506
45,2394.517,2441.147
46,2476.516,2767.181
47,2780.319,2810.224
48,2812.768,2907.446
50,2957.663,3089.169
51,3103.892,3103.892
52,3124.955,3124.955
53,3146.018,3155.069
54,3184.056,3342.256
55,3368.365,3429.968
56,3437.225,3527.774
57,3532.237,3700.28
59,3716.588,3791.621
60,3821.234,3920.416
62,4010.715,4077.323
63,4101.556,4101.556
65,4101.556,4232.729
66,4232.729,4341.128
67,4341.128,4387.174
69,4387.174,4432.762
70,4432.762,4506.419
71,4506.419,4559.722
72,4561.766,4620.282
73,4633.671,4633.671
74,4693.063,4722.468
75,4724.428,4818.188
76,4843.13,4843.13
77,4877.456,4929.508
78,4940.602,4992.112
79,5005.417,5152.147
80,5167.704,5234.396
81,5255.167,5308.428
82,5333.37,5386.548
83,5441.77,5499.619
84,5499.619,5579.324
85,5579.324,5646.432
86,5649.185,5720.757
87,5728.348,5736.648
88,5748.534,5813.391
89,5815.184,5844.464
90,5855.266,5891.177
91,5899.644,5899.644
