,start,end
1,61.687,155.03
2,192.943,197.864
4,217.134,232.19
5,243.66,265.307
6,276.985,281.698
7,297.756,310.352
10,391.641,401.234
12,447.864,471.054
13,473.139,493.993
15,545.879,562.771
16,568.86,578.703
17,596.971,644.352
18,647.522,647.522
19,682.098,704.078
20,706.039,734.609
21,738.154,751.084
22,751.834,815.69
23,819.652,832.79
24,837.42,848.973
25,866.741,879.045
26,891.182,923.464
27,926.759,941.274
28,942.65,957.54
29,962.587,1004.837
30,1007.924,1042.124
31,1044.46,1104.562
32,1110.735,1148.773
33,1153.861,1201.075
34,1205.371,1281.739
35,1283.866,1298.339
36,1307.932,1346.178
37,1350.85,1374.54
38,1376.959,1401.108
39,1407.448,1409.783
40,1411.91,1489.655
41,1494.118,1541.707
42,1544.793,1565.981
43,1596.553,1615.614
44,1618.367,1618.367
45,1626.917,1648.814
46,1666.623,1785.701
48,1818.567,1852.184
49,1855.52,1895.477
50,1898.855,1955.912
51,1957.664,2000.832
52,2003.001,2071.736
53,2075.782,2109.524
56,2149.856,2242.907
57,2248.663,2250.415
58,2251.875,2277.358
59,2289.329,2289.329
60,2317.941,2338.211
61,2341.548,2404.861
62,2407.488,2415.204
63,2417.582,2417.582
64,2420.668,2474.013
65,2474.597,2483.856
67,2522.937,2525.523
68,2529.569,2606.187
69,2610.066,2629.71
71,2663.828,2694.4
72,2708.331,2735.316
73,2739.445,2739.445
74,2764.387,2795.96
77,2872.87,2898.896
78,2903.818,2904.443
79,2907.613,2948.863
80,2951.657,3000.164
82,3027.733,3045.751
83,3056.387,3064.436
84,3067.022,3074.488
85,3077.574,3159.573
86,3163.66,3172.378
87,3179.093,3191.146
88,3193.273,3216.755
89,3220.592,3266.054
90,3269.349,3333.121
91,3335.123,3349.137
92,3350.889,3379.084
93,3384.131,3409.364
94,3411.867,3479.309
95,3483.397,3563.727
97,3665.453,3683.471
98,3687.142,3687.142
99,3748.912,3775.814
100,3782.529,3815.103
101,3817.397,3847.427
102,3849.22,3905.193
103,3908.571,3939.185
104,3948.528,3993.031
105,3995.45,4045.917
106,4051.798,4080.535
107,4082.704,4127.874
108,4129.334,4239.527
109,4241.279,4270.224
110,4273.853,4284.363
111,4303.883,4303.883
112,4318.898,4340.628
114,4381.961,4435.931
116,4588.918,4603.182
118,4640.97,4738.901
119,4739.234,4778.315
120,4781.819,4832.077
121,4833.162,4853.515
122,4857.061,4867.78
123,4939.351,4989.318
