,start,end
1,155.422,221.121
2,221.988,254.02
3,256.99,334.184
5,361.061,417.317
6,418.485,466.282
7,468.118,514.748
8,519.252,532.265
9,537.02,569.602
10,584.451,597.747
11,600.533,624.874
12,626.242,678.628
13,680.597,710.743
14,715.832,726.593
15,729.929,834.367
16,839.238,855.755
17,863.012,921.621
18,923.923,970.92
19,976.559,1043.376
20,1045.244,1111.177
21,1113.346,1182.031
22,1184.784,1216.615
23,1219.201,1287.486
24,1288.988,1354.436
25,1355.671,1394.076
26,1397.346,1507.322
28,1535.184,1616.865
29,1618.484,1729.428
30,1731.43,1803.068
32,1837.452,1903.268
33,1907.439,1987.652
34,1991.723,2087.319
35,2104.052,2111.86
36,2117.365,2208.957
37,2210.658,2288.653
38,2294.159,2298.863
39,2301.032,2325.256
40,2326.841,2391.256
41,2392.473,2392.473
43,2497.445,2532.447
44,2538.102,2554.535
45,2563.928,2586.651
46,2603.468,2634.832
47,2637.335,2689.303
48,2691.722,2776.757
49,2787.318,2851.966
50,2855.97,2947.761
51,2951.465,3005.286
52,3035.266,3141.872
54,3174.955,3196.193
55,3197.644,3301.748
56,3307.504,3379.86
57,3389.319,3416.697
58,3419.399,3485.232
60,3506.536,3523.837
63,3611.391,3652.832
64,3656.436,3716.196
65,3718.365,3775.889
66,3779.225,3857.303
67,3859.422,3914.611
68,3918.782,3964.277
69,3977.273,4043.823
70,4049.279,4188.785
71,4192.088,4275.138
72,4287.183,4327.139
73,4335.481,4361.54
74,4367.013,4392.538
75,4395.324,4471.917
76,4473.536,4516.412
77,4517.213,4551.497
78,4555.835,4706.435
79,4716.579,4764.877
80,4776.588,4807.953
82,4843.205,4925.287
83,4927.456,4984.763
84,4998.61,5031.76
85,5035.681,5035.681
88,5197.392,5293.788
89,5299.744,5375.186
90,5377.305,5411.89
91,5467.562,5484.629
92,5496.358,5533.862
93,5536.481,5550.228
94,5554.449,5564.659
95,5568.513,5615.226
96,5618.179,5660.889
97,5669.23,5704.098
99,5711.689,5809.871
100,5817.211,5948.476
101,5949.694,6006.834
103,6019.797,6037.181
104,6063.808,6075.102
105,6095.706,6095.706
107,6130.908,6138.799
108,6145.506,6257.318
109,6262.857,6294.522
110,6298.242,6410.054
111,6420.614,6445.839
