,start,end
1,151.693,216.341
2,223.432,249.708
3,265.724,271.813
4,274.483,382.716
5,384.718,384.718
7,423.048,492.492
10,519.519,546.254
13,640.056,658.032
16,674.591,692.4
18,699.324,735.568
19,740.114,758.8
20,764.18,770.061
21,778.903,778.903
24,822.739,850.475
29,938.98,951.117
30,957.54,971.971
31,982.023,993.326
32,994.994,1013.054
33,1020.228,1029.278
35,1056.305,1109.233
36,1127.043,1147.521
37,1151.442,1151.442
38,1181.389,1181.389
39,1201.534,1212.545
40,1219.26,1336.418
41,1339.588,1371.912
43,1416.874,1416.874
44,1451.575,1496.954
45,1502.251,1502.251
46,1559.6,1605.229
47,1621.245,1722.971
49,1779.361,1802.384
53,1889.221,1942.357
55,1971.803,2046.461
56,2053.718,2053.718
59,2075.699,2124.706
60,2132.297,2143.475
62,2171.294,2182.263
65,2252.834,2308.348
66,2315.104,2358.94
67,2362.735,2409.032
68,2415.163,2428.092
70,2447.737,2466.589
71,2472.136,2535.992
72,2537.91,2560.933
73,2564.687,2604.56
74,2618.825,2637.885
75,2643.099,2666.164
76,2669.834,2683.848
79,2723.012,2793.374
82,2832.872,2832.872
83,2846.594,2870.284
84,2876.165,2915.579
85,2985.858,2997.161
86,3023.229,3045.668
87,3052.132,3103.475
88,3107.354,3112.568
90,3134.256,3143.807
91,3145.434,3150.564
92,3152.191,3173.379
93,3175.506,3208.539
94,3212.334,3246.493
95,3251.415,3259.173
96,3264.72,3305.844
97,3313.185,3343.84
98,3348.387,3359.064
100,3367.656,3389.386
101,3419.791,3479.935
103,3493.782,3546.126
104,3550.756,3572.652
105,3576.615,3619.95
107,3647.769,3687.767
108,3696.568,3706.411
109,3725.221,3758.421
110,3762.926,3785.949
111,3790.078,3803.967
112,3807.429,3819.065
113,3822.193,3833.413
114,3847.761,3908.488
116,3921.793,3967.505
117,3978.975,4018.348
118,4040.662,4104.1
119,4106.936,4127.874
120,4139.927,4147.977
121,4156.444,4181.01
123,4189.143,4287.366
124,4293.247,4333.955
125,4335.581,4385.881
126,4394.265,4423.21
127,4428.257,4433.846
128,4441.02,4441.02
129,4449.737,4460.039
130,4463.959,4486.565
131,4491.904,4530.526
132,4535.698,4561.807
133,4565.561,4609.396
134,4619.573,4640.97
135,4646.809,4657.486
136,4659.905,4665.202
137,4669.164,4671.584
139,4686.724,4699.862
140,4703.657,4741.779
141,4758.629,4773.769
143,4796.25,4818.939
144,4840.961,4909.488
146,4951.572,4984.98
147,5003.498,5026.188
148,5028.857,5045.666
149,5061.682,5085.122
150,5093.088,5142.012
151,5147.768,5193.105
153,5211.206,5224.428
154,5232.352,5290.16
155,5292.996,5317.312
156,5318.647,5323.527
158,5346.841,5365.193
159,5366.778,5408.903
160,5422.626,5452.197
161,5459.287,5490.068
162,5496.783,5521.057
163,5571.149,5590.21
164,5598.343,5632.085
166,5661.072,5680.091
167,5684.22,5696.149
168,5708.286,5718.546
169,5724.052,5724.052
170,5743.196,5743.196
171,5752.664,5822.775
172,5829.657,5829.657
173,5839.25,5854.64
174,5859.854,5908.82
175,5912.115,5935.43
176,5939.058,6004.248
178,6029.44,6112.815
179,6116.569,6138.716
181,6152.938,6208.369
182,6213.04,6484.144
183,6488.649,6497.241
184,6499.201,6544.079
187,6601.678,6700.527
190,6738.106,6795.414
191,6801.003,6808.844
192,6809.678,6890.592
195,6961.663,6983.101
196,6987.272,7018.553
197,7023.225,7089.791
198,7095.755,7117.819
199,7125.243,7230.265
200,7276.436,7323.608
203,7392.302,7406.024
204,7445.313,7490.108
205,7507.667,7545.747
206,7561.804,7579.864
207,7587.872,7674.75
