,start,end
1,132.674,142.1
2,149.408,192.067
4,198.206,198.206
5,237.913,237.913
6,243.952,252.844
7,255.68,255.68
8,266.475,301.726
9,305.43,366.207
11,374.215,374.215
13,414.706,414.706
14,449.074,464.756
15,481.69,535.043
16,545.97,545.97
18,643.818,674.265
19,688.313,719.928
20,724.399,783.041
21,786.127,818.409
22,868.042,868.042
23,875.166,875.166
24,884.509,884.509
25,905.947,905.947
26,967.642,967.642
28,984.525,984.525
29,1044.001,1054.178
30,1194.452,1232.573
31,1247.538,1278.369
32,1281.455,1312.77
33,1314.438,1385.759
34,1389.229,1391.899
35,1420.794,1420.794
36,1475.766,1555.179
38,1571.278,1571.278
39,1594.968,1594.968
40,1615.989,1615.989
41,1689.897,1689.897
42,1771.695,1819.359
43,1848.638,1913.253
44,1931.888,1936.56
45,1974.264,2015.639
47,2050.924,2050.924
48,2077.584,2077.584
50,2134.09,2134.09
51,2149.689,2149.689
52,2157.614,2263.219
53,2276.232,2309.766
57,2348.388,2367.04
58,2405.194,2405.194
59,2434.057,2434.057
61,2448.905,2448.905
62,2495.702,2495.702
63,2566.189,2566.189
64,2656.028,2656.028
65,2695.701,2764.52
67,2771.694,2771.694
68,2790.496,2790.496
69,2854.41,2864.87
70,2933.439,2933.439
71,2955.461,2955.461
72,2994.833,3045.884
73,3047.052,3047.052
74,3069.775,3069.775
75,3112.117,3112.117
77,3193.115,3218.59
78,3255.01,3309.765
79,3312.568,3355.477
80,3365.12,3369.625
81,3407.579,3426.715
82,3430.469,3430.469
83,3456.094,3456.094
84,3483.276,3483.276
85,3526.069,3571.531
86,3578.755,3596.306
87,3609.035,3609.035
88,3631.758,3631.758
89,3657.784,3657.784
90,3687.73,3717.26
91,3757.934,3801.177
92,3815.291,3815.291
93,3845.722,3859.035
94,3907.784,3907.784
95,3963.339,3963.339
96,4024.484,4024.484
97,4076.335,4100.443
98,4131.257,4131.257
99,4161.203,4181.357
100,4196.238,4213.639
101,4237.863,4237.863
102,4300.559,4300.559
103,4471.48,4545.804
104,4551.427,4623.165
105,4647.856,4680.055
107,4696.071,4696.071
108,4748.04,4802.344
109,4809.434,4843.769
110,4848.523,4869.711
111,4898.407,4898.407
112,4977.402,4977.402
114,5048.34,5057.065
115,5088.346,5141.933
116,5152.077,5159.134
117,5205.046,5205.046
118,5309.434,5329.504
119,5342.934,5342.934
120,5391.633,5391.633
121,5401.409,5401.409
122,5426.517,5479.237
123,5509.55,5559.434
124,5572.83,5625.133
125,5646.738,5710.051
127,5718.759,5732.49
129,5741.916,5759.967
130,5765.89,5818.909
131,5831.789,5858.449
132,5863.788,5893.217
133,5894.068,5903.361
134,5907.198,5917.792
135,5942.9,5942.9
136,5970.561,5970.561
138,5986.026,6004.211
139,6021.896,6021.896
140,6102.843,6111.535
141,6123.247,6142.233
142,6173.264,6200.708
143,6218.258,6255.879
144,6291.081,6291.081
145,6349.189,6360.567
146,6393.567,6421.929
147,6424.264,6457.831
148,6483.156,6545.085
149,6548.805,6611.485
150,6637.761,6680.103
151,6686.56,6751.541
152,6775.198,6803.143
153,6811.735,6858.782
154,6891.264,6969.809
155,6974.647,7034.908
156,7037.66,7037.66
157,7092.882,7113.453
158,7121.995,7121.995
159,7129.168,7129.168
160,7229.485,7229.485
