,start,end
1,106.523,115.115
3,174.8,194.319
4,195.737,260.344
5,261.845,282.616
6,285.536,367.618
7,369.87,399.024
9,413.956,425.008
10,426.176,474.683
11,483.609,514.097
12,520.229,543.335
13,544.711,550.259
14,551.76,554.429
15,555.055,557.766
16,560.352,571.196
17,572.823,578.579
19,592.176,603.812
21,610.527,612.863
23,624.208,625.792
25,628.504,629.421
26,632.841,632.841
27,635.469,643.31
28,645.938,683.851
29,684.81,712.129
30,715.174,735.527
31,741.283,759.968
33,779.988,844.303
34,846.597,873.498
36,888.847,913.288
37,916.458,945.237
38,946.488,977.269
39,978.979,995.579
40,1000.501,1012.554
42,1032.95,1046.088
43,1047.422,1083.667
45,1089.84,1103.729
47,1117.784,1133.967
49,1139.973,1165.999
50,1168.46,1197.99
51,1200.993,1229.271
52,1230.731,1248.957
53,1250.709,1269.853
55,1285.452,1321.822
56,1325.158,1347.222
60,1408.825,1446.321
61,1447.948,1507.424
62,1509.301,1575.033
63,1576.41,1617.534
65,1623.04,1651.276
66,1654.613,1673.674
67,1676.635,1718.927
68,1720.47,1778.737
69,1781.114,1789.998
70,1792.334,1826.743
71,1828.704,1851.56
72,1853.437,1914.122
73,1916.25,1945.237
74,1953.328,1976.935
75,1983.859,2075.242
76,2079.079,2105.939
77,2113.405,2168.377
78,2173.298,2247.039
79,2249.875,2284.952
80,2286.203,2329.496
81,2333.083,2398.69
82,2402.319,2420.42
83,2425.133,2462.296
84,2484.86,2486.486
85,2491.7,2540.499
86,2543.961,2583.125
87,2584.209,2601.768
88,2603.604,2603.604
89,2608.317,2619.077
90,2623.165,2626.335
92,2637.429,2653.195
93,2654.696,2686.854
94,2692.526,2722.055
95,2724.725,2772.856
97,2808.225,2849.391
99,2858.817,2904.112
100,2906.99,3064.356
101,3068.61,3135.677
102,3144.102,3186.144
103,3188.23,3258.3
105,3307.516,3331.915
107,3356.94,3394.186
108,3398.941,3437.646
110,3450.409,3460.919
112,3494.786,3520.062
113,3522.022,3552.135
114,3559.268,3605.981
117,3627.294,3638.722
118,3642.476,3670.796
119,3671.797,3694.57
120,3696.989,3784.701
121,3786.245,3789.414
122,3790.999,3826.368
123,3829.288,3880.464
124,3882.466,3928.887
125,3933.058,4039.289
126,4048.257,4129.963
127,4132.216,4151.902
128,4156.657,4185.06
129,4189.982,4189.982
131,4246.288,4291.083
132,4296.296,4350.142
133,4353.854,4366.2
134,4368.744,4489.114
135,4498.498,4558.016
136,4563.021,4605.397
137,4608.275,4641.183
138,4678.72,4703.161
139,4707.666,4720.971
140,4724.85,4740.073
141,4742.367,4761.553
142,4763.013,4788.622
143,4790.666,4835.169
144,4836.545,4896.188
145,4897.731,4902.861
146,4906.657,4961.67
147,4963.839,4984.193
148,4988.947,5061.353
149,5062.813,5124.041
150,5127.961,5149.233
151,5152.611,5161.161
153,5178.762,5185.018
155,5195.904,5240.699
156,5242.451,5337.171
157,5341.175,5379.004
159,5426.76,5454.037
160,5460.794,5460.794
161,5473.348,5473.348
162,5477.352,5481.106
163,5496.538,5502.419
164,5504.88,5509.218
165,5511.22,5568.36
166,5569.319,5594.052
167,5595.971,5619.119
168,5620.913,5699.783
169,5702.911,5720.345
170,5731.69,5777.152
171,5782.032,5811.895
172,5815.357,5830.622
173,5833.292,5833.292
174,5835.46,5860.402
175,5864.323,5873.207
176,5883.05,5883.05
177,5900.234,5946.822
178,5949.867,5966.842
179,5968.135,5975.684
180,5984.234,5984.234
183,6007.758,6007.758
184,6011.22,6011.22
185,6016.016,6027.319
186,6030.28,6054.179
188,6064.356,6117.826
190,6157.032,6159.284
193,6172.798,6177.094
196,6197.197,6203.912
197,6207.249,6207.249
199,6215.924,6215.924
201,6241.491,6252.169
205,6287.746,6315.482
206,6317.609,6343.177
207,6343.969,6442.401
208,6444.82,6448.031
209,6453.412,6462.921
210,6469.094,6484.109
211,6491.575,6512.346
212,6514.014,6557.516
213,6562.187,6562.187
214,6578.328,6648.815
216,6655.781,6669.086
217,6670.003,6677.261
218,6679.638,6692.943
219,6695.487,6703.954
220,6705.873,6721.93
222,6729.146,6737.905
225,6756.757,6834.793
226,6837.004,6868.994
227,6874.166,6900.984
228,6904.029,6910.244
229,6912.496,6921.046
230,6924.132,6929.763
235,6977.186,6983.192
236,6989.489,6991.45
237,6994.286,7000.709
238,7001.418,7010.761
239,7013.055,7028.028
240,7029.863,7031.49
242,7042.501,7058.1
243,7060.227,7070.529
244,7072.531,7075.2
245,7076.368,7082.583
246,7084.626,7103.812
247,7105.439,7125.375
248,7127.002,7167.459
249,7170.921,7202.286
255,7269.394,7316.233
256,7319.361,7395.145
257,7408.033,7416.208
260,7451.994,7454.997
261,7469.094,7469.094
264,7514.389,7533.408
266,7562.563,7573.699
267,7582.374,7599.224
269,7609.568,7621.58
272,7637.346,7656.031
274,7698.365,7744.161
275,7745.954,7783.116
276,7784.91,7800.259
277,7802.261,7843.677
278,7848.724,7994.661
279,7997.414,8031.323
280,8040.332,8072.406
281,8076.201,8106.148
282,8109.443,8113.03
283,8118.493,8156.406
284,8159.034,8219.344
285,8221.889,8273.065
286,8278.445,8305.639
287,8312.98,8312.98
288,8320.195,8341.466
289,8344.094,8377.503
291,8394.811,8397.439
292,8404.821,8441.149
293,8442.526,8488.947
295,8522.856,8526.485
298,8558.642,8588.755
300,8597.931,8602.686
302,8615.49,8625.876
305,8663.956,8684.643
307,8689.648,8756.34
308,8756.548,8791.208
309,8793.71,8829.413
310,8836.461,8893.143
311,8903.904,8929.596
312,8930.931,8947.99
313,8951.577,8964.298
314,8967.092,8974.057
315,8976.101,9009.134
317,9026.318,9032.574
319,9047.84,9072.447
321,9077.327,9128.003
322,9129.546,9152.611
323,9155.697,9176.426
324,9182.391,9182.391
326,9197.03,9197.03
328,9240.657,9252.753
329,9258.926,9424.299
