,start,end
3,249.424,285.21
5,316.658,344.936
7,416.675,495.837
8,500.008,508.016
9,523.732,544.636
11,584.459,605.23
13,618.243,672.881
14,679.52,688.73
16,705.546,747.705
17,750.591,758.633
18,760.184,765.473
20,796.087,830.671
21,835.009,840.131
22,845.77,845.77
24,912.87,917.508
27,953.461,993.668
28,995.503,1046.137
30,1071.746,1109.367
31,1113.404,1125.416
32,1127.418,1151.025
34,1165.206,1242.75
35,1251.759,1298.672
37,1317.691,1363.32
38,1370.16,1409.917
39,1413.504,1461.969
40,1467.474,1476.934
42,1541.582,1569.91
43,1575.082,1617.04
45,1683.724,1711.418
46,1716.673,1733.49
47,1737.661,1753.76
48,1756.964,1800.39
49,1805.479,1809.85
51,1903.577,1905.495
52,1910.917,1929.136
53,1931.054,1949.239
55,1998.622,2022.946
56,2036.66,2094.384
57,2096.136,2129.085
58,2132.555,2167.757
59,2171.177,2171.177
60,2178.718,2241.781
62,2266.389,2281.454
64,2322.996,2353.109
65,2360.567,2416.422
66,2418.341,2452.742
67,2455.328,2477.817
68,2481.07,2481.07
70,2537.627,2616.572
71,2620.126,2628.801
72,2675.181,2713.219
74,2751.34,2761.467
76,2849.438,2885.424
77,2898.938,2956.495
78,2961.8,2982.438
79,2985.107,3095.601
81,3116.238,3131.136
82,3135.307,3143.065
84,3162.117,3203.075
85,3230.319,3272.561
86,3278.484,3286.792
87,3289.661,3377.049
88,3387.292,3396.151
89,3402.357,3439.528
90,3453.909,3462.501
91,3466.722,3482.02
93,3503.175,3575.614
98,3637.976,3669.841
99,3671.259,3714.002
101,3723.561,3779.985
102,3783.705,3813.735
103,3820.025,3930.852
105,3969.424,3969.424
106,3990.278,4032.82
107,4040.995,4070.858
108,4076.914,4113.952
109,4117.071,4164.702
110,4165.753,4228.516
111,4234.155,4251.372
112,4258.262,4293.998
113,4300.671,4318.906
114,4321.526,4384.255
118,4512.266,4544.298
119,4547.084,4571.992
121,4604.358,4617.538
123,4670.341,4697.818
124,4702.489,4812.349
125,4818.272,4835.456
128,4871.075,4890.177
130,4920.04,4982.319
131,4990.577,5020.023
132,5022.609,5048.919
133,5071.325,5071.325
134,5083.42,5102.689
135,5110.647,5147.768
136,5154.191,5154.191
137,5173.877,5192.729
138,5204.041,5216.67
139,5222.392,5222.392
140,5251.838,5281.902
142,5322.192,5333.37
144,5370.29,5374.377
