,start,end
1,22.481,58.725
3,64.439,69.027
4,71.488,82.583
6,101.435,108.984
8,120.162,162.204
9,165.207,197.322
10,198.907,220.846
11,223.89,268.393
12,279.696,329.83
13,336.837,410.744
14,419.085,424.09
15,426.301,520.52
16,527.902,549.924
17,553.011,574.324
18,578.328,578.328
19,593.093,593.093
20,598.223,631.965
21,640.223,664.122
22,667.834,705.83
23,715.048,736.903
24,742.742,774.232
25,780.571,793.418
26,801.676,829.787
27,840.131,885.301
28,888.221,902.151
29,904.445,904.445
30,909.617,930.638
31,935.143,935.143
32,939.772,942.233
33,946.487,1008.424
35,1027.318,1091.215
36,1092.717,1125.833
37,1132.423,1176.759
38,1178.678,1322.488
39,1329.745,1341.048
40,1352.351,1382.256
42,1391.557,1435.809
43,1437.853,1505.254
44,1525.315,1574.865
45,1578.118,1590.923
46,1594.218,1641.807
47,1645.06,1675.007
48,1677.05,1697.529
49,1698.864,1741.49
50,1743.533,1752.918
51,1754.711,1818.483
52,1825.365,1916.373
53,1920.001,2018.6
54,2021.895,2042.415
56,2172.045,2247.996
57,2253.334,2297.045
58,2299.923,2363.152
59,2385.258,2477.558
60,2481.145,2517.849
61,2521.394,2525.732
62,2529.193,2529.193
63,2531.529,2594.634
64,2596.427,2618.533
65,2619.617,2619.617
66,2621.077,2643.141
67,2645.351,2654.61
68,2661.826,2693.191
69,2699.572,2699.572
70,2704.869,2735.107
71,2740.238,2825.364
72,2867.114,2908.781
73,2911.033,2959.331
74,2961.75,2974.847
75,2977.475,3024.688
76,3028.609,3072.57
77,3079.118,3079.118
78,3085.666,3104.643
79,3110.858,3151.815
80,3154.985,3202.866
81,3208.038,3220.843
82,3222.386,3227.307
83,3231.353,3239.445
84,3241.029,3241.029
85,3249.204,3255.377
86,3258.13,3262.009
87,3271.769,3281.069
88,3286.033,3287.284
89,3292.706,3321.026
91,3338.71,3390.554
92,3397.895,3477.224
93,3479.267,3485.482
94,3490.278,3490.278
95,3500.706,3555.052
96,3557.304,3600.305
97,3601.765,3641.012
98,3436.35,3674.171
99,3678.466,3706.244
100,3707.913,3811.016
101,3813.31,3874.371
102,3877.207,3917.163
103,3919.29,3933.346
105,3940.228,3971.551
106,3977.474,4096.175
107,4104.142,4251.33
108,4256.669,4288.868
109,4337.083,4338.501
110,4343.464,4398.561
112,4412.533,4456.494
113,4461.082,4502.123
114,4506.419,4510.089
115,4525.271,4579.742
116,4582.411,4599.053
117,4600.763,4640.678
118,4644.098,4648.018
119,4655.818,4751.872
120,4755.709,4811.307
121,4815.519,4904.691
122,4920.207,5040.327
123,5042.371,5042.371
125,5056.76,5103.181
126,5105.976,5147.392
127,5150.062,5213.667
128,5217.629,5223.635
129,5224.886,5271.308
130,5277.063,5288.366
131,5296.708,5385.714
132,5394.347,5464.334
133,5467.587,5481.935
134,5484.854,5526.438
135,5530.066,5554.716
136,5571.357,5615.652
137,5632.377,5679.34
138,5683.595,5798.793
139,5801.129,5803.506
140,5820.606,5853.931
141,5860.355,5875.995
142,5885.171,5905.65
143,5913.95,5989.15
144,5998.951,6009.962
145,6012.965,6043.246
146,6052.129,6056.425
147,6062.64,6062.64
148,6068.437,6071.482
149,6072.483,6096.716
150,6100.761,6100.761
151,6105.808,6139.091
152,6147.266,6154.607
153,6157.526,6157.526
154,6162.365,6165.66
155,6168.245,6171.499
156,6186.514,6186.514
157,6195.648,6195.648
159,6222.258,6318.437
160,6328.781,6347.758
162,6371.156,6426.879
163,6429.256,6477.304
164,6487.731,6578.238
166,6589.083,6661.738
167,6663.657,6674.96
168,6683.552,6712.748
169,6716.21,6748.158
170,6753.288,6853.388
171,6857.934,6864.816
172,6872.157,6907.442
173,6909.986,6920.08
174,6924.042,6960.579
175,6962.664,6975.469
176,6996.907,7003.83
177,7010.045,7090.125
178,7093.044,7136.046
179,7140.383,7159.653
180,7165.742,7209.661
181,7213.081,7235.895
182,7240.316,7260.503
183,7262.839,7268.72
184,7270.513,7309.385
185,7312.347,7336.204
186,7347.507,7397.765
187,7401.269,7421.122
188,7425.084,7450.151
189,7451.611,7469.17
190,7470.922,7472.674
191,7476.511,7519.178
192,7525.309,7563.056
193,7565.475,7587.955
194,7594.921,7605.098
195,7609.519,7628.663
196,7634.418,7634.418
197,7641.467,7665.95
198,7667.994,7667.994
199,7703.029,7703.029
200,7706.407,7706.407
201,7710.077,7710.077
202,7715.75,7715.75
203,7719.962,7719.962
204,7725.801,7725.801
205,7731.474,7731.474
206,7735.311,7737.688
