,start,end
3,121.037,160.16
4,161.828,181.264
5,189.022,234.192
6,235.944,255.213
7,257.34,274.691
8,277.318,293.46
9,296.254,355.772
10,359.442,375.041
12,381.339,393.768
13,402.485,461.002
14,463.254,495.578
16,498.039,519.018
17,521.395,562.103
18,563.563,582.623
19,586.21,628.586
20,645.728,664.372
21,698.948,711.585
23,714.088,775.691
24,777.902,800.674
25,811.268,863.654
26,874.79,899.731
27,902.943,934.85
28,941.189,947.946
29,950.532,1036.201
30,1039.371,1039.371
31,1058.807,1120.619
32,1121.62,1144.1
33,1147.604,1189.521
34,1193.233,1259.924
35,1262.218,1297.545
36,1303.509,1333.831
37,1339.754,1371.494
38,1375.039,1381.337
39,1399.272,1424.797
40,1431.345,1431.345
41,1436.1,1477.099
42,1479.268,1485.65
44,1495.743,1495.743
45,1541.789,1583.456
46,1594.842,1594.842
48,1613.736,1648.771
50,1655.444,1687.768
51,1689.687,1710.708
53,1716.672,1737.943
55,1742.948,1776.356
57,1787.91,1853.976
58,1855.644,1886.925
59,1890.22,1951.365
60,1955.285,2016.179
61,2017.973,2081.62
62,2086.458,2112.15
63,2115.737,2159.114
64,2162.7,2198.611
65,2209.08,2212.167
67,2219.299,2272.894
69,2296.25,2308.763
70,2314.769,2344.298
71,2348.302,2409.28
72,2416.871,2474.553
74,2496.242,2549.837
76,2563.642,2576.822
77,2579.909,2591.17
78,2602.932,2608.27
79,2613.651,2630.084
80,2636.84,2676.714
81,2679.174,2790.536
82,2792.913,2815.602
83,2816.853,2821.316
84,2823.527,2834.913
85,2840.627,2859.771
86,2864.86,2864.86
87,2894.264,2947.234
88,2953.323,2963.875
89,3028.44,3038.241
90,3040.744,3045.04
91,3048.168,3089.584
92,3091.878,3104.057
93,3108.895,3120.615
94,3124.744,3124.744
95,3142.512,3175.837
96,3181.175,3218.296
97,3220.465,3231.726
99,3238.107,3250.453
100,3261.714,3269.514
101,3275.103,3332.368
102,3337.874,3337.874
103,3356.142,3369.196
104,3371.115,3423.626
105,3427.505,3456.283
106,3465.292,3540.659
107,3548.542,3563.682
108,3572.274,3604.932
109,3610.479,3624.576
110,3628.247,3641.301
111,3644.263,3678.63
114,3695.939,3695.939
115,3701.153,3759.753
116,3764.216,3796.164
117,3799.167,3816.268
118,3818.895,3845.797
119,3850.343,3862.272
120,3871.74,3871.74
121,3892.511,3924.125
122,3928.672,3999.868
123,4006.041,4032.275
124,4036.821,4049.918
126,4071.272,4074.984
128,4077.153,4078.696
130,4082.534,4087.664
134,4103.346,4121.698
135,4125.243,4139.507
136,4143.803,4163.573
137,4171.205,4191.851
138,4192.769,4192.769
139,4212.622,4225.134
140,4240.525,4260.086
141,4266.968,4276.477
142,4279.897,4318.102
143,4321.772,4325.192
144,4327.945,4332.033
145,4357.683,4367.276
146,4376.911,4397.181
147,4407.274,4408.609
148,4443.727,4462.621
149,4472.089,4499.533
150,4512.004,4540.491
151,4545.788,4594.294
152,4597.589,4635.669
153,4641.508,4656.732
155,4679.88,4686.011
156,4689.473,4701.36
157,4716.708,4773.598
158,4778.603,4791.074
161,4817.601,4828.236
162,4833.241,4833.241
163,4852.26,4864.731
164,4866.983,4918.076
165,4928.628,4938.221
166,4942.684,4994.11
168,5001.117,5003.995
169,5005.038,5011.753
170,5016.466,5023.431
171,5029.062,5029.062
172,5034.859,5038.238
173,5050.333,5116.816
174,5122.905,5151.184
175,5156.939,5160.902
176,5167.408,5193.184
177,5201.817,5240.606
178,5252.285,5298.247
179,5305.588,5385.251
180,5386.585,5426.834
183,5451.108,5460.993
184,5464.413,5494.86
185,5498.197,5498.197
186,5505.37,5519.593
187,5537.736,5549.331
188,5556.088,5565.973
189,5568.433,5593.709
190,5599.256,5615.105
191,5617.941,5640.255
192,5657.814,5694.226
193,5701.608,5711.91
194,5712.828,5748.905
197,5774.639,5802.25
199,5816.681,5830.57
200,5835.158,5869.859
201,5882.622,5947.604
202,5955.32,6001.574
203,6015.004,6021.344
204,6030.561,6062.593
205,6064.345,6073.563
206,6074.981,6100.548
207,6108.431,6133.122
208,6137.668,6154.31
209,6155.311,6181.545
210,6186.676,6280.519
211,6325.022,6348.796
212,6355.636,6369.65
213,6379.243,6397.511
214,6402.808,6417.114
215,6419.825,6446.477
216,6447.811,6459.99
218,6482.638,6482.638
220,6499.655,6571.893
221,6574.396,6574.396
224,6589.161,6609.264
226,6629.701,6677.999
227,6682.504,6686.675
