,start,end
1,51.343,77.035
2,83.625,156.907
4,239.698,263.555
6,271.021,346.722
7,349.516,382.967
9,405.489,496.288
10,500.543,605.815
11,612.78,719.261
12,723.641,757.216
13,758.968,814.106
14,816.984,853.187
16,988.531,1062.188
17,1066.609,1099.225
18,1100.852,1136.888
19,1139.849,1208.668
20,1214.298,1247.582
21,1249.208,1313.689
22,1343.428,1348.433
24,1376.878,1494.454
26,1554.264,1566.568
27,1570.113,1593.428
29,1599.35,1669.504
30,1671.673,1746.748
32,1936.062,2055.098
33,2057.6,2077.495
34,2082.667,2114.115
35,2116.993,2184.394
36,2189.733,2227.27
37,2230.941,2269.771
38,2273.066,2273.066
39,2309.186,2346.556
40,2351.645,2413.373
41,2415.083,2489.116
42,2492.202,2553.43
43,2557.809,2557.809
44,2587.297,2638.557
45,2659.703,2702.955
46,2707.709,2782.91
47,2795.172,2856.024
48,2860.112,2909.328
50,2923.175,2949.535
52,2987.239,2993.746
54,3287.289,3362.364
56,3378.088,3412.54
57,3430.641,3430.641
59,3450.953,3475.895
61,3482.359,3598.1
62,3602.563,3652.071
64,3693.571,3721.223
65,3765.393,3793.004
67,3837.465,3837.465
69,3892.395,3919.13
70,3930.892,3975.937
72,4053.89,4137.932
73,4144.731,4208.628
74,4212.548,4333.878
75,4346.14,4362.323
77,4369.956,4447.283
78,4451.162,4514.309
79,4523.359,4564.4
80,4578.081,4601.354
81,4604.482,4642.812
82,4644.773,4684.521
84,4710.672,4730.358
85,4755.967,4897.567
87,4916.044,4961.506
89,5028.156,5028.156
90,5047.801,5062.983
91,5065.277,5101.229
93,5154.783,5173.844
94,5179.141,5254.132
95,5259.137,5309.229
96,5313.15,5378.09
97,5382.01,5416.878
99,5456.752,5558.395
101,5685.647,5734.196
103,5759.763,5858.612
105,5899.778,5951.956
107,6015.185,6039.168
109,6058.854,6116.787
110,6119.081,6162.458
111,6170.633,6190.903
112,6194.198,6245.458
113,6249.753,6380.426
115,6400.529,6476.105
117,6530.576,6645.566
