,start,end
5,333.583,348.932
7,369.119,393.643
9,416.041,468.885
10,472.18,472.18
11,509.592,546.254
13,586.461,626.668
15,652.318,652.318
16,658.366,704.287
18,761.844,774.148
20,843.968,875.291
22,881.631,917.5
23,935.101,943.234
25,953.703,992.116
27,1000.208,1024.357
31,1450.115,1471.887
33,1477.434,1502.334
37,1744.826,1806.138
39,1814.646,1893.558
41,1912.369,2056.346
43,2177.884,2252.917
45,2316.689,2391.889
47,2519.851,2519.851
50,2675.965,2694.984
52,2727.35,2760.675
53,2772.311,2843.924
55,2876.207,2896.352
59,3093.424,3105.06
61,3184.348,3234.565
63,3292.623,3357.354
65,3569.941,3595.342
67,3676.006,3784.948
68,3786.783,3837.417
70,3920.75,3952.949
72,4063.017,4069.816
74,4114.402,4162.7
76,4180.927,4194.524
79,4289.66,4350.304
81,4368.906,4370.825
83,4434.472,4454.241
85,4509.797,4531.277
86,4533.487,4570.191
88,4611.941,4638.3
90,4849.553,4864.318
94,4959.246,4997.91
96,5015.26,5052.506
98,5095.257,5154.566
99,5166.953,5234.02
100,5237.566,5323.235
102,5394.556,5466.711
104,5500.704,5572.901
105,5575.445,5689.017
