,start,end
2,70.654,98.39
3,102.644,124.333
4,125.751,139.056
5,167.959,167.959
6,169.544,171.38
7,171.38,182.724
8,182.724,193.318
9,203.203,203.203
10,223.89,236.027
11,238.738,246.538
12,248.79,263.472
13,271.813,282.616
15,295.962,302.594
16,307.224,307.224
17,317.192,326.785
18,332.832,335.752
19,339.631,355.146
20,357.19,363.738
21,370.287,384.05
23,402.11,406.323
26,422.672,422.672
27,432.933,432.933
29,450.325,453.912
30,460.669,487.278
31,489.656,501.292
32,511.052,531.781
33,534.159,536.327
34,540.957,549.674
35,553.136,553.136
37,575.617,611.736
38,618.159,621.788
39,631.381,664.539
40,667.417,671.88
41,678.511,683.641
42,685.184,711.794
45,771.938,810.393
46,815.398,821.237
47,825.366,852.977
48,855.229,865.49
49,867.742,867.742
51,885.259,918.835
52,925.925,973.389
53,975.016,996.454
54,1000.333,1000.333
55,1003.002,1014.472
56,1016.682,1016.682
57,1027.36,1047.964
58,1050.091,1065.731
59,1099.307,1099.307
60,1101.309,1101.309
61,1103.311,1103.311
62,1105.521,1109.609
64,1121.912,1127.418
65,1128.669,1128.669
67,1161.285,1178.844
68,1183.682,1187.978
69,1207.123,1225.683
70,1231.689,1257.84
71,1263.137,1288.621
74,1302.176,1327.952
75,1329.578,1347.221
76,1356.23,1378.168
77,1383.674,1392.933
78,1394.852,1423.255
79,1436.894,1462.67
80,1464.922,1464.922
81,1478.018,1494.118
82,1497.329,1510.259
83,1513.846,1524.982
84,1526.9,1543.459
85,1544.585,1561.143
86,1567.816,1592.174
87,1592.174,1599.056
88,1599.056,1603.727
89,1613.904,1630.379
90,1636.844,1642.015
92,1727.017,1755.545
93,1757.422,1799.464
94,1806.221,1831.496
95,1840.338,1877.834
96,1879.044,1885.3
97,1887.094,1899.481
98,1900.816,1926.675
100,1933.223,1938.186
102,1945.318,1951.867
103,1950.448,1983.857
104,1991.823,2010.592
105,2012.26,2025.607
106,2026.942,2044.96
107,2049.089,2060.308
108,2062.352,2066.106
109,2107.981,2119.659
110,2134.049,2156.571
111,2163.37,2166.664
112,2184.849,2203.368
113,2205.036,2213.711
114,2206.704,2221.803
115,2224.722,2224.722
116,2240.113,2242.74
117,2251.249,2258.256
118,2262.552,2267.474
119,2276.357,2285.95
120,2288.203,2300.465
121,2302.008,2316.773
122,2322.529,2348.471
123,2349.973,2361.526
127,2386.759,2406.279
128,2411.409,2419.959
129,2422.42,2441.23
130,2447.945,2482.772
131,2483.94,2492.156
132,2495.076,2495.076
133,2501.374,2520.309
134,2521.686,2546.002
135,2549.338,2555.219
136,2561.267,2561.267
137,2570.443,2579.869
138,2594.008,2605.728
139,2616.405,2640.304
140,2645.476,2645.476
141,2654.694,2658.114
142,2654.694,2693.524
143,2696.152,2707.914
144,2712.919,2716.213
145,2744.2,2766.806
146,2777.274,2799.672
147,2800.923,2800.923
148,2810.391,2831.829
149,2845.885,2861.734
150,2866.489,2867.865
152,2877.625,2904.527
153,2907.238,2910.324
154,2911.784,2930.302
155,2934.098,2944.608
156,2945.985,2966.255
157,2972.344,3001.582
158,3003.834,3038.369
159,3043.207,3048.337
160,3049.255,3063.31
161,3083.038,3086.458
162,3089.586,3115.362
163,3118.032,3149.938
164,3153.317,3162.326
165,3166.33,3199.53
166,3200.656,3216.672
168,3229.226,3232.104
169,3233.647,3234.94
170,3236.233,3239.111
171,3241.28,3242.823
172,3246.827,3268.724
174,3274.354,3279.359
175,3281.403,3284.99
176,3285.991,3296.21
177,3297.127,3301.173
179,3303.133,3310.182
181,3322.319,3353.1
182,3357.062,3360.607
183,3362.651,3372.16
184,3373.745,3388.844
185,3390.929,3400.564
187,3424.254,3441.605
188,3446.36,3453.408
189,3456.662,3471.51
190,3478.058,3493.448
191,3518.14,3529.901
192,3539.953,3565.437
193,3571.401,3595.634
194,3600.222,3600.222
195,3605.435,3631.253
196,3635.215,3675.046
197,3677.924,3691.771
198,3693.189,3693.189
199,3714.544,3736.858
200,3740.028,3764.928
201,3766.554,3779.401
202,3782.153,3801.423
203,3804.634,3826.948
204,3830.285,3865.862
205,3877.749,3893.348
206,3899.27,3919.541
207,3931.136,3938.101
208,3954.492,3987.233
209,3995.158,3997.035
210,4004.709,4026.439
211,4031.069,4033.404
212,4040.161,4086.916
213,4096.884,4106.686
214,4119.324,4132.67
215,4138.176,4148.644
216,4150.772,4170.5
217,4175.63,4213.126
218,4215.753,4215.753
219,4216.921,4230.226
220,4246.993,4246.993
221,4256.836,4271.809
223,4303.466,4324.779
224,4328.282,4338.584
225,4346.008,4350.304
226,4352.515,4371.659
227,4373.077,4378.082
228,4382.461,4383.337
229,4383.838,4389.677
230,4396.767,4413.659
231,4422.376,4438.559
232,4445.691,4456.869
233,4460.957,4473.886
234,4477.89,4483.729
235,4487.191,4527.356
236,4528.524,4553.716
237,4558.804,4568.689
238,4572.359,4574.278
239,4580.409,4594.965
240,4597.468,4612.566
241,4613.901,4630.835
242,4633.921,4653.941
243,4655.86,4679.633
244,4681.343,4690.227
245,4693.272,4732.519
248,4773.269,4788.075
249,4791.078,4810.514
250,4814.351,4831.827
251,4836.373,4836.373
252,4843.005,4855.142
253,4857.478,4862.316
254,4864.193,4882.711
255,4886.09,4892.429
256,4894.264,4912.699
257,4914.91,4920.249
258,4922.543,4927.965
259,4930.384,4938.016
260,4940.352,4972.259
261,4974.928,4985.772
262,4987.649,5000.329
263,5002.164,5013.842
264,5015.844,5045.999
265,5050.17,5052.089
266,5053.715,5091.753
267,5095.507,5098.427
268,5100.345,5113.025
269,5115.277,5116.486
270,5119.865,5151.897
271,5158.987,5174.419
272,5175.754,5209.579
273,5215.335,5263.091
274,5267.554,5275.437
275,5290.41,5311.932
276,5323.527,5331.868
277,5337.707,5347.259
278,5352.973,5371.616
279,5376.204,5397.434
280,5400.186,5467.629
281,5471.925,5494.406
283,5564.517,5575.487
284,5579.949,5606.893
285,5614.442,5623.576
286,5629.958,5663.032
287,5665.994,5675.128
288,5684.22,5700.862
289,5705.325,5717.045
290,5726.679,5736.23
292,5742.82,5742.82
293,5746.282,5757.502
294,5759.671,5780.775
295,5782.944,5794.372
297,5803.965,5822.108
298,5828.197,5828.197
300,5844.088,5858.227
302,5865.359,5892.47
303,5895.681,5897.308
