,start,end
1,37.0,60.32
2,60.88,112.12
3,112.72,127.04
4,127.6,131.72
6,138.2,147.24
7,149.52,185.4
9,192.04,339.16
10,345.0,365.48
11,366.92,456.76
13,470.88,500.48
14,507.24,534.6
15,535.52,548.2
16,572.0,604.96
17,607.96,657.84
18,660.64,698.48
19,700.76,763.72
20,765.88,823.76
21,832.48,858.32
22,862.96,888.48
23,890.88,938.2
24,943.36,959.64
25,963.92,1053.88
26,1054.8,1130.32
27,1131.52,1171.16
28,1175.8,1298.28
29,1308.96,1341.6
30,1348.08,1427.32
31,1431.52,1476.84
32,1482.04,1529.2
33,1532.08,1598.8
34,1600.84,1621.08
35,1624.36,1706.84
36,1708.4,1790.68
37,1794.24,1854.36
38,1861.28,1905.6
39,1910.84,1990.04
40,1990.88,2053.48
41,2055.44,2083.96
42,2085.16,2127.04
43,2130.8,2160.12
45,2182.64,2302.68
46,2304.8,2351.68
47,2352.36,2388.56
48,2390.92,2428.2
49,2430.08,2518.88
50,2520.8,2574.64
51,2577.12,2613.76
52,2615.52,2651.6
54,2690.48,2737.36
56,2749.16,2808.24
57,2811.88,2862.72
59,2935.92,2993.12
60,2995.8,3098.2
61,3100.48,3189.56
62,3190.6,3317.6
63,3322.48,3348.88
64,3351.48,3398.12
66,3425.8,3463.72
67,3482.52,3557.2
68,3564.28,3606.8
69,3610.48,3701.72
70,3706.12,3816.2
71,3823.4,3862.24
72,3870.92,3931.12
73,3934.08,3970.88
74,3972.32,4088.32
75,4089.04,4158.36
76,4160.68,4249.92
77,4255.0,4339.2
78,4342.36,4429.04
79,4432.16,4480.32
80,4483.44,4595.56
81,4596.64,4640.92
82,4642.52,4745.48
83,4746.8,4792.24
84,4796.4,4846.24
85,4854.2,4954.92
86,4956.04,5008.56
87,5020.28,5106.96
88,5114.08,5392.12
89,5395.4,5453.0
90,5457.24,5492.84
91,5496.88,5510.64
92,5527.76,5598.16
93,5604.4,5689.24
95,5720.6,5720.6
99,5849.64,5918.6
100,5920.52,6008.72
101,6014.96,6079.0
103,6093.6,6202.72
104,6205.6,6239.2
105,6239.96,6258.08
106,6261.68,6315.32
107,6317.48,6375.96
109,6405.64,6477.64
