,start,end
1,51.301,72.114
3,81.623,87.796
4,89.84,101.893
5,109.651,121.747
6,123.415,123.415
8,144.227,200.867
9,210.627,267.851
12,288.997,318.86
13,325.742,371.288
14,376.793,410.952
15,425.175,455.747
16,457.374,503.086
18,513.68,546.88
19,549.299,617.367
20,618.618,649.607
21,652.944,711.502
22,714.005,777.568
23,779.237,831.456
24,835.209,900.608
25,908.491,930.805
26,932.723,983.649
27,984.567,994.911
28,997.163,1009.175
29,1011.01,1040.498
30,1042.792,1097.93
31,1102.268,1108.941
32,1110.192,1185.393
33,1188.813,1207.081
34,1212.795,1242.074
35,1242.867,1267.975
36,1272.062,1350.015
37,1352.476,1377.96
38,1380.004,1417.499
39,1419.585,1467.675
40,1471.47,1533.407
41,1535.242,1556.597
42,1557.848,1607.731
43,1609.358,1639.555
44,1642.808,1662.077
45,1663.829,1694.943
46,1700.824,1761.551
47,1765.931,1779.736
48,1782.447,1869.367
49,1872.454,1887.594
50,1891.723,1968.383
52,1979.144,1995.285
53,1996.244,2020.143
54,2021.978,2055.804
55,2057.681,2114.404
56,2120.952,2134.841
57,2139.971,2145.101
58,2148.813,2155.779
59,2170.377,2214.963
60,2217.507,2262.177
61,2267.891,2309.432
62,2311.1,2413.494
63,2423.129,2433.556
64,2438.811,2462.794
65,2467.924,2476.516
66,2480.186,2516.264
67,2521.31,2532.572
68,2540.955,2600.014
69,2605.144,2640.847
70,2643.766,2670.626
71,2677.55,2758.047
72,2776.107,2822.695
73,2827.324,2917.331
74,2918.749,2939.812
75,2941.689,2967.965
76,2970.467,3008.672
77,3010.674,3097.511
78,3101.265,3135.424
79,3142.097,3210.29
80,3216.255,3264.261
81,3269.475,3336.75
82,3341.213,3392.347
83,3398.937,3446.652
84,3448.57,3464.586
85,3468.882,3525.772
86,3532.362,3550.13
87,3552.632,3602.474
88,3611.942,3650.146
89,3653.275,3672.127
90,3674.838,3742.781
91,3744.449,3770.225
92,3772.894,3825.613
93,3827.365,3836.082
94,3842.505,3889.928
95,3898.77,3962.792
96,3965.044,4025.355
97,4032.237,4047.293
98,4073.57,4088.71
100,4116.487,4152.315
102,4192.063,4210.164
103,4214.377,4253.416
104,4255.084,4294.123
105,4303.007,4356.811
106,4359.814,4396.309
107,4398.811,4458.162
108,4478.891,4526.856
109,4536.574,4580.409
110,4587.708,4600.054
111,4610.689,4651.021
112,4653.19,4680.384
113,4685.014,4750.371
114,4754.875,4900.437
116,4918.789,4952.614
117,4954.241,4978.39
118,4979.349,4993.155
119,4993.989,5033.153
120,5034.112,5057.761
121,5060.43,5080.659
122,5087.541,5139.551
123,5140.177,5148.185
124,5151.355,5195.565
125,5197.526,5227.347
126,5228.89,5302.214
127,5305.467,5359.271
128,5362.774,5429.966
129,5431.593,5507.752
130,5511.131,5580.867
131,5584.662,5626.204
132,5629.541,5758.378
134,5788.241,5811.305
135,5818.187,5839.0
136,5841.044,5907.944
138,5920.039,5971.507
139,5976.262,6009.962
140,6014.425,6030.983
141,6037.448,6068.437
143,6095.631,6100.761
145,6120.448,6122.158
147,6163.115,6182.968
150,6212.456,6229.682
152,6270.806,6298.25
154,6324.818,6340.417
155,6344.922,6396.181
156,6397.308,6468.545
157,6478.43,6525.185
158,6530.107,6585.579
159,6587.79,6598.05
160,6606.892,6666.034
161,6669.538,6678.589
162,6688.974,6697.9
163,6700.11,6743.57
164,6752.663,6788.24
165,6789.95,6870.155
167,6912.572,6959.327
