,start,end
0,67.317,90.507
1,95.512,95.512
4,193.985,209.084
5,211.169,253.754
6,260.177,285.786
7,290.582,339.798
8,343.552,344.386
9,384.718,399.065
10,401.735,429.554
11,434.184,482.19
12,485.485,519.144
13,521.479,592.175
14,604.354,616.032
16,687.478,740.24
18,752.335,752.335
19,757.256,811.644
20,814.397,847.847
21,849.14,863.071
22,864.906,884.3
23,887.47,927.718
24,931.43,931.43
25,956.455,969.719
27,988.196,1033.032
28,1037.286,1092.717
29,1095.511,1145.436
30,1147.396,1210.126
31,1212.545,1235.693
32,1239.238,1272.062
33,1277.526,1314.688
34,1317.274,1334.124
35,1348.556,1359.775
36,1371.412,1429.261
37,1431.847,1476.058
38,1480.229,1502.918
39,1513.011,1556.764
40,1564.772,1564.772
41,1584.708,1642.516
42,1644.184,1682.598
43,1688.52,1716.798
44,1718.342,1747.245
45,1762.803,1804.803
46,1811.435,1842.132
48,1850.307,1855.312
49,1882.714,1918.333
50,1922.838,2006.087
51,2007.13,2043.458
52,2047.545,2140.889
53,2143.6,2161.951
54,2171.586,2204.744
55,2208.373,2263.344
56,2299.756,2331.579
58,2341.256,2391.097
59,2398.229,2466.923
60,2468.925,2482.939
61,2486.985,2504.001
63,2514.971,2550.214
65,2558.931,2563.394
66,2571.652,2601.307
67,2608.856,2648.604
68,2656.737,2688.186
69,2692.356,2717.965
70,2721.719,2759.048
71,2762.927,2799.714
72,2802.258,2808.681
73,2813.728,2834.248
74,2834.248,2911.45
75,2911.45,2957.83
76,2965.129,3073.362
77,3080.995,3101.181
78,3105.477,3125.706
79,3134.548,3165.662
80,3170.959,3185.974
81,3187.267,3196.985
82,3199.321,3257.171
83,3260.257,3304.885
84,3306.553,3342.172
85,3348.72,3381.587
86,3404.443,3471.343
87,3477.974,3514.261
88,3521.601,3543.915
89,3547.711,3588.126
90,3593.173,3668.79
91,3678.8,3700.906
92,3704.826,3733.605
94,3753.5,3765.595
95,3769.432,3796.209
96,3805.093,3839.002
98,3850.805,3889.969
99,3895.016,3957.328
100,3982.478,4009.339
101,4013.509,4074.779
103,4107.937,4154.317
104,4160.114,4214.919
105,4220.383,4220.383
106,4231.811,4243.489
107,4246.451,4344.215
108,4345.007,4345.007
109,4371.409,4437.642
110,4471.425,4556.844
111,4563.1,4603.182
112,4607.52,4628.582
113,4636.131,4719.882
114,4729.808,4874.495
116,4889.551,4907.027
117,4927.464,4935.848
118,4941.228,4941.228
119,4984.313,5028.524
120,5030.776,5040.702
121,5042.454,5060.43
122,5065.978,5086.79
123,5088.125,5094.881
124,5096.174,5098.01
125,5106.184,5117.613
127,5129.458,5179.841
128,5185.639,5215.127
129,5238.65,5257.752
130,5269.431,5289.117
131,5290.41,5306.76
132,5312.516,5373.702
133,5376.079,5448.693
134,5470.632,5490.068
