,start,end
3,168.168,191.124
4,195.495,242.859
6,251.334,260.677
7,263.43,298.632
8,306.089,335.418
9,342.425,365.532
10,370.904,374.824
12,399.149,437.887
13,441.558,441.558
14,458.742,493.526
15,499.332,585.835
16,589.372,595.795
20,638.505,680.763
21,684.851,702.368
22,704.988,723.473
24,728.344,773.356
26,786.486,810.893
27,814.263,820.436
28,826.743,862.895
29,867.283,877.543
30,883.666,918.084
31,919.535,932.515
32,937.937,956.372
36,995.494,1003.92
41,1029.896,1068.351
42,1072.571,1072.571
43,1127.827,1127.827
45,1182.264,1182.264
46,1194.56,1203.736
47,1205.454,1205.454
48,1214.663,1234.733
49,1241.524,1260.593
50,1265.714,1284.7
51,1287.036,1337.119
53,1379.795,1395.728
54,1398.48,1423.172
56,1432.715,1450.566
58,1472.888,1482.231
61,1493.192,1499.915
63,1510.592,1514.68
64,1516.348,1524.523
66,1551.8,1590.372
67,1595.961,1631.296
68,1632.08,1644.476
69,1645.894,1658.023
70,1658.774,1676.008
72,1692.024,1726.725
73,1730.679,1763.629
75,1785.734,1812.511
76,1821.236,1835.617
77,1844.092,1925.874
79,1938.553,1943.809
80,1953.702,1953.702
81,1970.135,2003.668
83,2014.379,2017.716
84,2020.435,2057.722
87,2094.592,2148.313
88,2151.433,2179.961
89,2184.549,2246.911
91,2279.31,2298.329
93,2307.722,2307.722
94,2318.266,2342.507
95,2346.344,2395.843
96,2406.571,2420.918
97,2424.088,2467.498
98,2470.835,2493.524
99,2512.794,2535.199
100,2540.405,2576.19
102,2586.584,2626.991
103,2634.298,2653.484
106,2748.779,2816.647
107,2818.766,2875.906
110,2913.778,2953.784
112,3003.951,3011.425
115,3036.617,3092.957
116,3095.793,3116.196
118,3164.194,3226.64
119,3229.476,3255.586
120,3260.174,3301.965
122,3320.484,3363.143
123,3376.073,3376.073
125,3422.786,3478.809
126,3483.73,3537.234
127,3549.496,3588.201
128,3594.958,3646.726
129,3649.312,3660.857
130,3663.443,3678.174
131,3680.093,3680.093
132,3730.343,3767.681
133,3769.049,3783.53
136,3824.854,3838.201
137,3840.92,3903.349
139,3940.386,3950.647
140,3955.535,3993.489
142,4017.931,4048.544
143,4052.215,4085.365
144,4088.952,4105.718
145,4110.857,4138.718
146,4143.172,4169.165
147,4173.953,4211.707
148,4213.409,4229.892
149,4241.821,4306.469
150,4309.388,4338.918
151,4348.01,4374.403
152,4377.123,4421.5
154,4434.714,4463.709
156,4477.64,4477.64
157,4489.602,4523.519
158,4528.107,4528.107
160,4556.752,4586.832
161,4588.868,4630.459
162,4633.629,4682.678
163,4685.848,4739.068
165,4756.335,4771.55
167,4797.993,4813.175
168,4817.98,4855.35
169,4858.52,4916.278
170,4921.116,4930.626
171,4943.605,4970.666
173,4982.978,4994.239
174,5000.696,5086.949
175,5089.952,5129.324
176,5133.378,5165.527
177,5168.613,5173.668
179,5182.677,5203.281
182,5228.757,5237.649
184,5246.658,5255.784
185,5258.62,5258.62
186,5304.332,5330.742
187,5334.329,5366.478
188,5372.4,5377.956
189,5380.792,5391.97
190,5400.145,5467.412
192,5481.893,5560.338
194,5585.413,5643.838
195,5650.728,5652.764
196,5666.16,5727.839
197,5739.317,5811.839
199,5822.433,5850.845
200,5853.381,5853.381
201,5891.886,5907.769
202,5924.585,5939.634
203,5946.274,5971.382
204,5973.217,5996.574
205,6000.361,6003.781
206,6026.304,6038.149
207,6041.903,6060.388
209,6091.419,6105.266
210,6107.601,6128.622
212,6169.113,6172.95
213,6185.012,6220.214
214,6222.333,6250.744
215,6258.202,6292.069
217,6298.459,6321.849
219,6363.524,6431.875
220,6437.214,6461.822
221,6478.555,6496.44
223,6512.539,6562.389
224,6564.758,6588.031
226,6613.64,6613.64
227,6637.998,6650.894
229,6670.664,6675.752
231,6698.692,6717.628
232,6725.469,6749.743
233,6753.28,6765.626
234,6768.879,6775.969
